year,ces_DET âges_NOUN,ces_DET ages_NOUN,ces_DET mages_NOUN
1800,1.0690159379933561e-07,2.2009151834367913e-08,4.087413785214267e-08
1801,9.28661236798689e-08,0.0,6.429193133428157e-08
1802,1.969299319171114e-07,0.0,4.699464284385613e-08
1803,2.418420654848319e-07,0.0,3.7056445689742645e-08
1804,1.384236476553724e-07,0.0,2.471850968355227e-08
1805,3.0703080255989335e-07,8.528632911009026e-09,1.9900144199169745e-08
1806,1.0374009207225754e-07,2.881669125542885e-08,2.881669125542885e-08
1807,1.1957211620838848e-07,2.8469551160981155e-09,1.7081731140677903e-08
1808,1.495608836776796e-07,4.5321479902327155e-09,7.024829296042867e-08
1809,1.9427662323323602e-07,0.0,2.7108365552308555e-08
1810,1.708292529656319e-07,7.020380277111826e-09,1.1934646337863342e-07
1811,1.6045291317823285e-07,3.5099073869560016e-08,2.757784534068719e-08
1812,1.4936365744233626e-07,0.0,1.0668832928217853e-08
1813,1.4378707646756084e-07,0.0,7.476928232108548e-08
1814,9.754699448194515e-08,0.0,2.8320092937406116e-08
1815,2.0498899289123074e-07,0.0,1.3486117556027466e-08
1816,1.877259148130861e-07,2.3176038865813098e-09,3.9399266071882266e-08
1817,1.696991948074711e-07,1.556873407970727e-09,6.227493454247224e-08
1818,1.4305413009729762e-07,2.384235475716423e-09,5.006894387982186e-08
1819,1.3663385911577564e-07,0.0,1.4594980157767168e-07
1820,1.3409123589269711e-07,1.1866481131050932e-09,4.153268484685668e-08
1821,1.5186691593171986e-07,4.930744257336528e-09,8.973954546132035e-08
1822,1.8547389402101544e-07,0.0,4.411270992932259e-08
1823,1.8678277591277492e-07,2.9648061783404955e-09,4.0519015698237126e-08
1824,1.3557991263013491e-07,1.6842225392110777e-09,2.4421227706739046e-08
1825,1.8843648152966352e-07,8.805443041381977e-10,9.421823676802887e-08
1826,9.336463513420767e-08,0.0,5.725189877736625e-08
1827,1.6130227820099208e-07,9.217273055917019e-10,5.622536525251576e-08
1828,1.8619770969507954e-07,9.172301251858528e-10,5.778549622137419e-08
1829,2.2204525473856762e-07,0.0,6.68707740847374e-08
1830,1.8055725981014348e-07,0.0,1.0854309029362241e-07
1831,2.1359952118160663e-07,1.5591206103948707e-09,4.677361675753389e-08
