year,voulions_VERB être_VERB,voulions_VERB mettre_VERB
1800,4.4018303668735825e-08,6.288328968651058e-09
1801,4.286128785224719e-08,3.095537337571841e-08
1802,2.6854081625060644e-08,3.3567602031325805e-08
1803,1.3652374342143503e-08,0.0
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,1.1371510844071508e-08,0.0
1806,2.305335300434308e-08,3.1698359492793315e-08
1807,5.124519120158766e-08,1.7081731584767113e-08
1808,1.1330369531492579e-08,4.5321479902327155e-09
1809,3.6144488291256494e-08,1.581321384946932e-08
1810,6.084329839950442e-08,2.3401267590372754e-09
1811,2.757784400841956e-08,3.008491944456182e-08
1812,3.200649700829672e-08,2.1337665856435706e-08
1813,2.8757416448144113e-09,0.0
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,1.622322720606917e-08,6.952811659743929e-09
1817,2.6466848268569265e-08,0.0
1818,1.0729059418679299e-08,1.4305412854298538e-08
1819,3.726378139390363e-08,1.8631890696951814e-08
1820,6.763894333516873e-08,5.933240565525466e-09
1821,8.776724769177235e-08,4.930744257336528e-09
1822,5.514088741165324e-08,5.012807946513931e-08
1823,2.8659792761231984e-08,5.929612356680991e-09
1824,3.621078548121659e-08,5.052667617633233e-09
1825,4.402721387464226e-08,3.6982861217893515e-08
1826,1.8496766784892316e-08,8.807984341885344e-10
1827,1.7512819638909605e-08,1.1060727445055818e-08
1828,3.8523666034961934e-08,2.4765213879618386e-08
1829,3.429270378774163e-08,1.2859763920403111e-08
1830,4.174734158368665e-08,1.7742621594152297e-08
1831,3.897801548191637e-08,7.795603274018958e-09
1832,4.19429042608499e-08,1.0823975493678972e-08
1833,2.7800709290204395e-08,3.359252431778259e-08
1834,3.360431222176885e-08,2.42697808516823e-08
1835,6.277362984974388e-08,6.050470346963266e-09
1836,4.032450107160912e-08,1.68018754465038e-08
1837,7.236206300831327e-08,2.5744196108234974e-08
1838,2.3354999711955315e-08,1.4517972601879592e-08
1839,4.4046291947097416e-08,3.146163862766116e-08
1840,5.414235459966221e-08,2.0383003729307347e-08
