year,anciens_ADJ âges_NOUN,anciens_ADJ ages_NOUN,anciens_ADJ mages_NOUN
1800,9.432493897065797e-09,0.0,1.8864987794131594e-08
1801,2.1430643926123594e-08,0.0,1.904946111963568e-08
1802,0.0,0.0,6.265952379180817e-08
1803,4.095712213825209e-08,0.0,3.90067853572873e-08
1804,0.0,0.0,1.9774807569206132e-08
1805,5.685755422035754e-09,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,0.0,7.780506905419315e-08
1807,1.9928686256776018e-08,0.0,0.0
1808,5.891792298484688e-08,0.0,2.039466551195801e-08
1809,6.7770917766551975e-09,0.0,9.036122250449807e-08
1810,1.1700633351097167e-08,0.0,5.616304044053777e-08
1811,1.2535384286138651e-08,0.0,1.4541045345595194e-07
1812,1.3336041604361526e-08,0.0,1.0935553529378694e-07
1813,2.300593315851529e-08,0.0,6.901779947554587e-08
1814,4.090680150170556e-08,0.0,4.720015844839054e-08
1815,6.47333635583891e-08,0.0,2.1577788444915313e-08
1816,3.476405652236281e-08,0.0,1.622322720606917e-08
1817,1.323342360137758e-07,0.0,4.0478709273372715e-08
1818,5.6029534789558966e-08,0.0,4.291623878494022e-08
1819,4.243930362690662e-08,0.0,5.175524986356095e-08
1820,2.966620371580575e-08,0.0,7.357218301251578e-08
1821,2.859831660373402e-08,0.0,4.930743990883002e-08
1822,7.819980396561732e-08,0.0,5.213320264374488e-08
1823,4.249555374258307e-08,0.0,2.3718449426723964e-08
1824,7.494790565942822e-08,0.0,3.2842339514616015e-08
1825,1.1270967092968931e-07,0.0,5.459374818883589e-08
1826,9.776862697208344e-08,8.807984341885344e-10,2.7304752237000685e-08
1827,7.281645508783186e-08,9.217273055917019e-10,3.133872894522938e-08
1828,7.33784091266898e-08,0.0,6.237164851263799e-08
1829,7.030004667285539e-08,0.0,4.200856285052623e-08
1830,6.679574937606958e-08,0.0,1.5655253093882493e-08
1831,1.1849316905454543e-07,0.0,5.6128343750572185e-08
1832,1.0823975316043288e-07,0.0,3.5177920576501265e-08
1833,1.807046032809012e-07,0.0,2.895907069699888e-08
1834,1.4001795989315724e-07,2.8003592777992026e-09,2.0535968481283362e-08
1835,1.0361430469174593e-07,7.563087933704082e-10,3.100866052818674e-08
