year,quelques_DET in_ADJ,quelques_DET mines_NOUN
1800,0.0,6.791395166239056e-07
1801,7.143547975374531e-09,4.071822079509957e-07
1802,6.713520406265161e-09,5.616979024125612e-07
1803,5.851017448321727e-09,1.2911245814706263e-06
1804,2.4718509461507665e-09,6.327938422145962e-07
1805,5.685755422035754e-09,6.65233400809484e-07
1806,8.645007376628655e-09,3.544453033299533e-07
1807,5.693910232196231e-09,8.597804512788798e-07
1808,6.798221985349073e-09,5.166648975318822e-07
1809,2.259030518203531e-09,3.094871807718391e-07
1810,7.020380277111826e-09,3.6271965875300793e-07
1811,0.0,2.732713664244102e-07
1812,8.00162425207418e-09,2.9339290108509886e-07
1813,1.4378708002027452e-08,5.521423904752965e-07
1814,6.293354282149721e-09,5.38081767587073e-07
1815,0.0,2.535390084545952e-07
1816,4.6352077731626196e-09,5.098728586006018e-07
1817,6.227493631882908e-09,4.7173264317024177e-07
1818,1.3113294672351117e-08,3.79093446412071e-07
1819,5.175524897538253e-09,2.9293472536551235e-07
1820,1.3053129244156025e-08,1.9461029232559213e-07
1821,2.9584463767662328e-09,2.0807740330752722e-07
1822,4.010246357211145e-09,1.8948414037822658e-07
1823,2.9648061783404955e-09,2.6584427104126007e-07
1824,5.052667617633233e-09,6.29899208348661e-07
1825,1.4969252504215547e-08,2.5711893769653216e-07
1826,5.284790383086602e-09,2.871402973170234e-07
1827,1.1060728055678481e-08,3.9081238867311185e-07
1828,1.4675682002973645e-08,4.03581243979545e-07
1829,8.573175946935407e-09,3.5835877199019706e-07
1830,4.174734336004349e-09,2.9327509754040193e-07
1831,6.236482441579483e-09,2.1827689122844163e-07
1832,0.0,2.232444897831698e-07
1833,1.1583628500844156e-09,2.6179001422210746e-07
1834,2.8003592777992026e-09,2.18428024112427e-07
1835,7.563087933704082e-09,2.3672465232493778e-07
1836,4.032449929525228e-09,2.3522624648109058e-07
1837,6.262101948095733e-09,2.2613145134187107e-07
1838,1.2624323808552163e-09,2.6763566918219794e-07
1839,7.690622472189546e-09,2.768624067783776e-07
1840,2.5478754661634184e-09,2.5351360477543494e-07
1841,7.0626033910059505e-09,2.5682193083298444e-07
1842,9.391571520467323e-09,2.0057711846988013e-07
