year,divers_DET auteurs_NOUN
1800,6.88572001195098e-07
1801,1.0786757087544174e-06
1802,7.742926868559152e-07
1803,8.26943811205183e-07
1804,1.092558107984587e-06
1805,5.316181370673689e-07
1806,1.1324959672265322e-06
1807,9.08178705572027e-07
1808,1.0627887050418394e-06
1809,6.34787593156716e-07
1810,9.103093248086225e-07
1811,9.978165635970981e-07
1812,1.3842810986375298e-06
1813,1.495385653527137e-06
1814,8.37016102650523e-07
1815,9.089643668858116e-07
1816,1.2329652676612568e-06
1817,1.2128044062365007e-06
1818,9.799207987271075e-07
1819,9.792093251803635e-07
1820,7.072422576470672e-07
1821,8.017389845349499e-07
1822,1.0176000273531827e-06
1823,8.153216484174663e-07
1824,8.699009583779116e-07
1825,1.1508714550245713e-06
1826,7.935994119634415e-07
1827,8.839364582513554e-07
1828,9.796017934604606e-07
1829,8.718919843886397e-07
1830,9.382715688843746e-07
1831,9.760094918931372e-07
1832,8.970369620442398e-07
1833,8.039038235096996e-07
1834,9.25985482069791e-07
1835,6.988293321796846e-07
1836,7.224806246597382e-07
1837,7.827627150902572e-07
1838,7.416790168690568e-07
1839,7.01944117054154e-07
1840,7.025766812773782e-07
1841,1.117817554074918e-06
1842,7.399216137571329e-07
1843,8.482324318492829e-07
1844,8.271261933145979e-07
1845,6.796717855195311e-07
1846,9.484292178285614e-07
1847,9.880385718474827e-07
1848,8.688839443493634e-07
1849,7.533094148470809e-07
1850,8.520190064587041e-07
1851,8.177888517479914e-07
1852,7.838696944872936e-07
1853,9.280382329279746e-07
1854,9.056043381860945e-07
1855,8.119613639223644e-07
1856,7.444798271194486e-07
1857,7.888518709364689e-07
1858,9.410538979182093e-07
1859,8.132200584043403e-07
1860,9.044515216771742e-07
1861,9.361188020307054e-07
1862,8.154965271955916e-07
1863,9.58467722966816e-07
1864,7.805817077155552e-07
1865,7.662742547154267e-07
1866,9.86259742319362e-07
1867,8.817558239115897e-07
1868,9.657453716727105e-07
1869,8.331283467555295e-07
1870,1.0476107377144217e-06
1871,8.082715794444084e-07
1872,7.849446603813703e-07
1873,1.1241716748600084e-06
1874,1.1525020866542945e-06
1875,8.662391906000266e-07
1876,1.1027930710838518e-06
1877,9.9018905785897e-07
1878,1.1287057120057398e-06
1879,1.1790997902494382e-06
1880,1.0897503059936753e-06
1881,9.573252839345514e-07
1882,9.949800912067985e-07
1883,9.403176335354146e-07
1884,1.2444198702610265e-06
1885,1.3181325329014726e-06
1886,1.1099958214799699e-06
1887,1.115140271679138e-06
1888,1.2173980579177623e-06
1889,1.164062432224e-06
1890,1.2066625316720092e-06
1891,1.0186003578382952e-06
1892,1.21044975287532e-06
1893,1.2489268925719443e-06
1894,1.2161970772694985e-06
1895,1.2085377960602273e-06
1896,1.2578362742488025e-06
1897,1.1501932846158525e-06
1898,1.2239021884852264e-06
1899,1.2514437486288443e-06
1900,1.260906827837971e-06
1901,1.436305879565225e-06
1902,1.155389739437851e-06
1903,1.3565352929845176e-06
1904,1.4409369839540886e-06
1905,1.309284542116984e-06
1906,1.3225698864971491e-06
1907,1.2265681448297983e-06
1908,1.3049560294575713e-06
1909,1.4055013082270307e-06
1910,1.3013007276185817e-06
1911,1.5024736796931393e-06
1912,1.2653683683083727e-06
1913,1.5558971711016056e-06
1914,1.5435994811241471e-06
1915,1.2369799975431306e-06
1916,1.3261866769198605e-06
1917,1.1328316134040506e-06
1918,1.2830282258846637e-06
1919,1.3986721256742385e-06
1920,1.3675450105665732e-06
1921,1.6001215783489897e-06
1922,1.7013519482134143e-06
1923,1.4289066712080967e-06
1924,1.3123673170412076e-06
1925,1.5210479915594988e-06
1926,1.817935128656245e-06
1927,1.6043734518689234e-06
1928,1.6979097665625886e-06
1929,1.6387538437356852e-06
1930,1.8959003966756427e-06
1931,1.9001324460532487e-06
1932,1.840106222061877e-06
1933,2.0303072574279213e-06
1934,2.0021220166199782e-06
1935,2.2703834758885932e-06
1936,3.1597006113770476e-06
1937,2.2915835415915353e-06
1938,2.5411821411580604e-06
1939,2.506694897874695e-06
1940,2.3811001312878943e-06
1941,2.384814166589422e-06
1942,2.7823721779896005e-06
1943,3.524527642184694e-06
1944,2.6123202871985995e-06
1945,1.6186285165531444e-06
1946,1.8960544423407555e-06
1947,1.6903795199141314e-06
1948,2.298317099302949e-06
1949,1.9074446981903748e-06
1950,1.8143926467928395e-06
1951,1.8689436842578289e-06
1952,2.3251292589065997e-06
1953,2.113824876914805e-06
1954,2.362022087254445e-06
1955,2.0657723212025303e-06
1956,2.124470057651706e-06
1957,2.136312104994431e-06
1958,2.0539980880585063e-06
1959,1.954738621634533e-06
1960,1.8374812498223037e-06
1961,1.8322296568840102e-06
1962,1.8353622408540105e-06
1963,1.8693360459565156e-06
1964,1.6317203233029431e-06
1965,1.5250585079229495e-06
1966,1.6545216681151942e-06
1967,1.3661959599176043e-06
1968,1.473633588489065e-06
1969,1.2171911407676816e-06
1970,1.2172825165635004e-06
1971,1.3370110565347204e-06
1972,1.2343133590775324e-06
1973,1.1671452710970698e-06
1974,1.1127380190600888e-06
1975,1.0137877382021543e-06
1976,1.0861414381224677e-06
1977,1.0760387283426098e-06
1978,8.96435253139316e-07
1979,9.848871371787027e-07
1980,1.0017235467785213e-06
1981,8.925350556410194e-07
1982,8.51048568506485e-07
1983,8.809865903458558e-07
1984,8.953668952926819e-07
1985,7.754054394126797e-07
1986,7.900731873178302e-07
1987,8.035723979560316e-07
1988,8.0113957778849e-07
1989,6.947962489789461e-07
1990,6.745429885768317e-07
1991,6.928252105353749e-07
1992,7.289656096531871e-07
1993,7.206508811918866e-07
1994,6.329912096703083e-07
1995,6.501518328150269e-07
1996,5.332754255960026e-07
1997,5.533308495841993e-07
1998,4.81104237337604e-07
1999,5.433969079149392e-07
2000,4.842162439899766e-07
2001,5.112874035262394e-07
2002,5.423952202932014e-07
2003,5.283658310872852e-07
2004,4.6646739093603173e-07
2005,4.7334408037613684e-07
2006,4.822049177732879e-07
2007,4.401916413598883e-07
2008,3.4187241837457805e-07
2009,3.5141579957098656e-07
2010,3.103531938108972e-07
2011,2.688252287441628e-07
2012,1.974466599108382e-07
2013,2.0918437826367153e-07
2014,2.0506766063022042e-07
2015,1.7843431976416468e-07
2016,1.897347541301997e-07
2017,1.7257093531952705e-07
2018,1.670208895632186e-07
2019,1.760181618237766e-07
