year,vingt - deux mètres
1800,2.0668611711016638e-08
1801,1.0459931587547544e-08
1802,4.927008578903269e-09
1803,3.214283594843437e-08
1804,2.9902459175445983e-08
1805,1.8733411266680378e-08
1806,3.1599316496766505e-09
1807,3.114948654570071e-08
1808,2.490148087730404e-09
1809,4.941918518852617e-08
1810,7.692871228925924e-09
1811,1.9315123722662975e-08
1812,0.0
1813,3.7764785076888074e-08
1814,1.3757515127110764e-08
1815,0.0
1816,1.2665704041125991e-08
1817,3.4122471959108225e-08
1818,5.473956143919878e-08
1819,6.783654526998362e-09
1820,2.589745307091107e-09
1821,8.856263644663187e-08
1822,2.521895403617691e-08
1823,7.5571104929395e-09
1824,1.0106292691602903e-08
1825,1.7299267796033746e-08
1826,1.1532709009998143e-08
1827,1.5090982685705967e-08
1828,1.6036972638744373e-08
1829,7.49239514874489e-09
1830,9.131136735618384e-09
1831,6.845792821508212e-09
1832,4.0030936787616156e-08
1833,2.914969421397018e-08
1834,4.09149727431668e-08
1835,1.2449408615111679e-08
1836,1.3218281580407165e-08
1837,3.340034715471063e-08
1838,1.238803726266724e-08
1839,2.980605628977173e-08
1840,1.3221225003690051e-08
1841,2.737718141077039e-08
1842,1.5403937680957824e-08
1843,1.6135444980136526e-08
1844,6.582371092633821e-09
1845,3.9652629624242763e-08
1846,2.562641793213416e-08
1847,1.2370259483418522e-08
1848,3.875967197197738e-08
1849,3.3944580479783326e-08
1850,2.600523352214168e-08
1851,3.811626958505343e-08
1852,3.923442548625644e-08
1853,6.537042196441689e-08
1854,1.7049551104264538e-08
1855,3.607028337127005e-08
1856,2.2684560008201515e-08
1857,1.5514121542992143e-08
1858,5.7362567640328876e-08
1859,3.2330710553196695e-08
1860,2.9606095353074124e-08
1861,2.943390953191738e-08
1862,5.8917912326705846e-08
1863,3.399220105393397e-08
1864,2.2048066483648654e-08
1865,3.818108140762888e-08
1866,4.2180520409829114e-08
1867,4.365131900385677e-08
1868,3.8410369995744986e-08
1869,6.214482084487827e-08
1870,2.827479761435825e-08
1871,2.799582077273044e-08
1872,2.719739811141153e-08
1873,1.705710428456797e-08
1874,2.7531688928661424e-08
1875,2.2633093621493572e-08
1876,2.2578825920049894e-08
1877,1.838041185919792e-08
1878,3.256950265040359e-08
1879,5.17480748252197e-08
1880,3.109472501705568e-08
1881,4.303259970583895e-08
1882,2.6379479933780203e-08
1883,2.5079794241378295e-08
1884,2.2552011813559147e-08
1885,3.906146162080404e-08
1886,5.0491383518647126e-08
1887,2.7369971178359265e-08
1888,4.892313398840997e-08
1889,3.6644529188833985e-08
1890,1.951823236368e-08
1891,2.6000666508707582e-08
1892,3.5969378586742096e-08
1893,2.6492472215977614e-08
1894,1.9484666324842692e-08
1895,1.7933285079152483e-08
1896,2.8619158598530703e-08
1897,2.0613892814935753e-08
1898,1.6854999174142904e-08
1899,2.0741394379797384e-08
1900,3.040082319216708e-08
1901,2.960326028755844e-08
1902,1.7302888011272444e-08
1903,1.1921984344187564e-08
1904,1.8399202161845096e-08
1905,1.367495094939386e-08
1906,1.3621576755440401e-08
1907,1.307248620463497e-08
1908,1.5732107172539145e-08
1909,5.4594586629264086e-09
1910,8.84753803553906e-09
1911,1.820261097407183e-08
1912,1.1495443708042785e-08
1913,1.9893739988674497e-08
1914,2.5853077900706012e-08
1915,2.207976557144775e-08
1916,1.3302696721950724e-08
1917,3.01525595602925e-08
1918,6.318848222441886e-09
1919,1.2161935458721018e-08
1920,5.006025982634554e-09
1921,3.3427838275201793e-09
1922,1.303021868181986e-08
1923,8.211990198958574e-09
1924,2.849811275851266e-09
1925,6.092593096695964e-09
1926,1.111113334673064e-08
1927,1.3576948454385729e-08
1928,6.325825196995538e-09
1929,1.2342626476424812e-08
1930,2.9064484152740988e-08
1931,1.6417109449662348e-08
1932,7.277292102259025e-09
1933,1.1419179379856814e-08
1934,2.256610009965243e-08
