year,leurs_DET in_ADJ,leurs_DET mines_NOUN
1800,1.5720821977538435e-08,3.2384895298775973e-07
1801,9.524730337773235e-09,3.8813277214444497e-07
1802,6.713520406265161e-09,3.983355441050662e-07
1803,1.3652374342143503e-08,5.051378497711312e-07
1804,7.4155526164076946e-09,3.3864358073287804e-07
1805,8.528632911009026e-09,2.3311596542008317e-07
1806,1.729001475325731e-08,2.420601958874613e-07
1807,8.540865792383556e-09,2.932363636354296e-07
1808,9.064295980465431e-09,3.421771848088895e-07
1809,2.259030518203531e-09,3.953303542303388e-07
1810,1.4040760554223652e-08,4.048419368629652e-07
1811,1.0028307073639553e-08,5.540639405055003e-07
1812,0.0,3.547386908664407e-07
1813,8.627225156487839e-09,3.767221601336246e-07
1814,3.1466771410748606e-09,2.108273662315696e-07
1815,1.8880564667256294e-08,2.77814015348099e-07
1816,9.270415546325239e-09,3.4068776244566834e-07
1817,7.784366928831332e-09,3.456259065615086e-07
1818,1.5497530370112145e-08,3.7670919272869696e-07
1819,7.24573512300708e-09,2.836187604771112e-07
1820,1.3053129244156025e-08,2.7530235069406217e-07
1821,9.861488514673056e-09,2.2681422695569609e-07
1822,6.015369535816717e-09,3.448811725093037e-07
1823,1.087095569118901e-08,2.6979736400534193e-07
1824,8.421112696055388e-09,2.8884415748109404e-07
1825,7.924898959288385e-09,3.143543265693438e-07
1826,1.4092774947016551e-08,3.258954279772297e-07
1827,1.013900075008678e-08,4.2307283365516923e-07
1828,1.2841221419535032e-08,3.4763022443984326e-07
1829,7.715858174606183e-09,3.086343269842473e-07
1830,1.1480519646056564e-08,3.3189138015643493e-07
1831,1.5591206548037917e-08,2.603731559247535e-07
1832,2.705993873419743e-09,2.6112840600944764e-07
1833,5.791814139399776e-09,3.2318322951141454e-07
1834,9.334531370086552e-09,1.9789206140430338e-07
1835,1.3613558280667348e-08,2.2235478525090002e-07
1836,1.008112526790228e-08,3.145311122665362e-07
1837,5.5663127440652715e-09,2.6370406658315915e-07
1838,1.7674054220151447e-08,4.147090351125371e-07
1839,4.194885327990505e-09,2.593837180597802e-07
1840,5.732719632334238e-09,2.5988328333781396e-07
1841,1.926164561183441e-09,2.3499207735255823e-07
1842,7.379091560011375e-09,2.4351001570721564e-07
1843,4.134837805480629e-09,2.0201635209105007e-07
1844,6.037417232818143e-09,2.3271500471100381e-07
1845,6.696273757711424e-09,2.5724850294395196e-07
1846,5.269050973311096e-09,1.7387868611606905e-07
1847,1.0247124926365814e-08,1.86066208662794e-07
1848,7.24069959545659e-09,1.930853170684088e-07
1849,7.54147322368226e-09,2.480306813268385e-07
1850,4.752297222410107e-09,2.0434877434638565e-07
1851,5.8044946626978344e-09,1.683303501032185e-07
1852,4.557382027314816e-09,2.402391301448148e-07
1853,8.957897534855874e-09,2.4604359349922333e-07
1854,4.676098175337984e-09,2.670571421781176e-07
1855,2.653468555990912e-09,2.324438455048039e-07
1856,3.6240324075009767e-09,1.6256374535394968e-07
1857,2.4407544874094356e-09,2.1869160016230182e-07
1858,5.3830437884982985e-09,1.8204475416006005e-07
1859,9.165912473463322e-09,1.4563616423934889e-07
1860,1.1442959468865865e-08,1.8171419657875276e-07
1861,7.545541969022906e-09,1.6411554293327413e-07
1862,7.228778020618165e-09,1.987913976764233e-07
1863,3.995696662428827e-09,1.3185799563331102e-07
1864,5.274200631788517e-09,1.769254680539234e-07
1865,3.294791106611683e-09,1.3037958979111863e-07
1866,1.1677471434268227e-08,1.999766923721502e-07
1867,1.6014277903764196e-08,2.1886180512353803e-07
1868,6.915823469455518e-09,2.1290857177280742e-07
1869,5.371870948067681e-09,2.1292143104201244e-07
1870,1.0321287824410774e-08,1.307363186597854e-07
1871,3.18635318130589e-09,1.3276472232703895e-07
1872,8.4662747923403e-09,1.3666986453664265e-07
1873,5.9860045809045914e-09,1.448613040633262e-07
