year,mes_DET arbres_NOUN,mes_DET marbres_NOUN
1800,5.030663263738688e-08,0.0
1801,1.6906396393956413e-07,0.0
1802,6.937304419807333e-08,0.0
1803,1.2677204952460386e-07,0.0
1804,9.640218934237055e-08,0.0
1805,9.381496113292087e-08,0.0
1806,2.4206021631556496e-07,0.0
1807,1.3380689622977116e-07,0.0
1808,1.1783584685787218e-07,0.0
1809,7.454800909911796e-08,0.0
1810,6.084329839950442e-08,0.0
1811,4.512738271955641e-08,0.0
1812,1.733685350835401e-07,0.0
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,5.349351184236184e-08,0.0
1815,8.900837666914185e-08,0.0
1816,3.244645441213834e-08,0.0
1817,7.628679554727569e-08,0.0
1818,1.1801965804636438e-07,0.0
1819,1.2421260198181017e-07,0.0
1820,5.458581142647745e-08,0.0
1821,1.5186691526558604e-07,0.0
1822,1.1429202118051762e-07,0.0
1823,8.993245226296409e-08,0.0
1824,5.726356722135506e-08,0.0
1825,6.516027606373598e-08,0.0
1826,5.460950347480065e-08,0.0
1827,1.2627664558451102e-07,0.0
1828,5.503380862137419e-08,0.0
1829,1.303122716400651e-07,0.0
1830,1.0854309273611307e-07,0.0
1831,9.354723373711238e-08,0.0
1832,1.9077256752098037e-07,2.705993873419743e-09
1833,1.1815301315110105e-07,1.1583628500844156e-09
1834,5.880754505582786e-08,1.8669061851994684e-09
1835,8.546289365085613e-08,3.025235173481633e-09
1836,1.1022030221852219e-07,1.3441500135158435e-09
1837,5.705470584871364e-08,0.0
1838,1.1109404951525903e-07,0.0
1839,1.1466019511630066e-07,6.9914751765765e-10
1840,6.433385513204826e-08,0.0
1841,6.356343318358881e-08,0.0
1842,9.525736510695992e-08,2.0124795163667386e-09
1843,5.257150720305859e-08,0.0
1844,6.696044829723746e-08,5.488561272137815e-10
1845,5.133809627411168e-08,5.022205318283568e-09
1846,7.727941753188361e-08,1.1123552745573306e-08
1847,4.1527821181830404e-08,0.0
1848,1.367687738618173e-07,0.0
1849,1.6842624717128274e-07,0.0
1850,1.0930283522725404e-07,0.0
1851,4.9660678236307376e-08,2.579775504329973e-09
1852,6.64075603395986e-08,6.510545436100301e-10
1853,5.4344579947240845e-08,5.971931837933653e-10
1854,4.416314913768815e-08,0.0
1855,9.658625899078288e-08,1.0613874223963649e-09
1856,5.436048738927113e-08,5.177189232874468e-10
1857,8.152120267723717e-08,7.810414537345878e-09
1858,6.704335819840423e-08,9.787352039936081e-10
1859,5.550468884507609e-08,0.0
1860,8.376246274366395e-08,0.0
1861,6.272231445336729e-08,9.431927239234028e-09
1862,6.054101597818828e-08,0.0
1863,7.142308106056205e-08,1.4983863039219614e-09
1864,6.041357347719156e-08,0.0
1865,5.883555465047152e-08,0.0
1866,7.63901262246236e-08,0.0
1867,4.901339423213358e-08,0.0
1868,3.457911823545601e-08,2.9639244392143382e-09
1869,6.836926491615714e-08,9.767038289254515e-10
1870,6.250113360195542e-08,4.013834153937523e-09
1871,6.054071377548098e-08,3.18635318130589e-09
1872,7.801068024892999e-08,0.0
