year,pourrions_VERB être_VERB,pourrions_VERB etre_VERB,pourrions_VERB mettre_VERB
1800,9.432493186523061e-08,0.0,6.288328968651058e-09
1801,4.7623650800687756e-08,2.3811825844433088e-09,7.143547975374531e-09
1802,8.503792514602537e-08,0.0,1.3427040812530322e-08
1803,5.655983770225248e-08,0.0,1.755305234496518e-08
1804,1.0628959046243835e-07,0.0,3.213406074564773e-08
1805,1.194008660831969e-07,0.0,5.685755422035754e-09
1806,1.3543845511776453e-07,0.0,2.881669125542885e-09
1807,6.547996633798903e-08,0.0,0.0
1808,9.970725756147658e-08,0.0,6.798221985349073e-09
1809,1.2650571079575457e-07,0.0,1.3554183553310395e-08
1810,1.2402671245581587e-07,0.0,1.6380887757350138e-08
1811,6.267691787797958e-08,0.0,1.2535384286138651e-08
1812,8.801787032552966e-08,0.0,1.8670457180292033e-08
1813,7.189353823378042e-08,0.0,2.8757416448144113e-09
1814,8.810695817373926e-08,0.0,0.0
1815,5.1247248222807684e-08,0.0,2.697223555614414e-09
1816,1.6454987417091615e-07,0.0,1.3905623319487859e-08
1817,6.85024303948012e-08,1.556873407970727e-09,6.227493631882908e-09
1818,6.795070817133819e-08,0.0,1.4305412854298538e-08
1819,1.397391713453544e-07,0.0,8.280840013696888e-09
1820,1.38837833674188e-07,0.0,3.678609061807947e-08
1821,9.171183990019927e-08,0.0,2.2681422962023134e-08
1822,1.162971443591232e-07,0.0,2.5064039732569654e-08
1823,8.400284201570685e-08,0.0,4.941343334508019e-09
1824,8.168479581627253e-08,0.0,9.263223965660927e-09
1825,8.012953145453139e-08,0.0,4.402721387464226e-08
1826,1.788020824733394e-07,0.0,2.9947145208097936e-08
1827,1.1245072784049626e-07,9.217273055917019e-10,1.2904182611350734e-08
1828,1.6968756710866728e-07,9.172301251858528e-10,4.586150570418113e-09
1829,1.0287811136322489e-07,0.0,1.8860987438529264e-08
1830,1.3463518655498774e-07,0.0,1.878630406793036e-08
1831,1.7462150481151184e-07,0.0,1.2472964883158966e-08
1832,6.629684889958298e-08,1.3529969367098715e-09,3.3824925083081325e-08
1833,9.151066393542351e-08,0.0,2.0850531967653296e-08
1834,1.6708810335330782e-07,0.0,1.9602515166639023e-08
1835,6.806779140333674e-08,0.0,3.2521278114927554e-08
1836,1.1022029866580851e-07,0.0,3.091545153210973e-08
1837,1.0784730619661786e-07,6.957890930081589e-10,3.409366655660051e-08
1838,7.763959075646198e-08,0.0,6.943378316748294e-09
1839,1.132618976384947e-07,0.0,2.0974425751774106e-08
1840,1.1083258044664035e-07,0.0,1.7835128929277744e-08
