year,des_DET auteurs_NOUN,des_DET moteurs_NOUN
1800,4.166017873785677e-06,4.0874140072588716e-08
1801,3.136017454608009e-06,2.6193007984787187e-08
1802,4.06167995947726e-06,6.937304419807333e-08
1803,4.199080336775296e-06,5.070882025393075e-08
1804,3.645980044097996e-06,3.213406074564773e-08
1805,4.454789291230554e-06,3.4114531644036106e-08
1806,4.1553668097549235e-06,1.152667650217154e-08
1807,3.6611842091360813e-06,6.263301344233696e-08
1808,4.910582291017818e-06,6.118399653587403e-08
1809,4.470621348673376e-06,3.6144488291256494e-08
1810,4.404118783440936e-06,2.2933242860290193e-07
1811,4.826122733447846e-06,3.5099073869560016e-08
1812,5.038356121644938e-06,2.533847762720143e-07
1813,4.463151014988398e-06,2.0130190847567064e-08
1814,3.908172942601595e-06,0.0
1815,4.617646681026599e-06,7.821948599939788e-08
1816,3.803187937023722e-06,4.4034472068688046e-08
1817,5.470853309930135e-06,1.71256075987003e-08
1818,4.352421886011371e-06,1.6689648174583738e-07
1819,4.876379669838116e-06,9.83349774941189e-08
1820,4.146148494754698e-06,7.357218123615894e-08
1821,4.121115990685098e-06,8.08642042215979e-08
1822,4.067392382012258e-06,1.2532019866284827e-07
1823,3.4836471201060704e-06,1.0673301498176357e-07
1824,3.524235623331151e-06,8.673746343390576e-08
1825,3.795146003682248e-06,1.4000654857682093e-07
1826,3.476511489353129e-06,1.26834976743595e-07
1827,3.2546191781612777e-06,4.147773030593882e-08
1828,3.5029019231913594e-06,8.255071293206129e-08
1829,3.7507645060941286e-06,9.859152116931114e-08
1830,3.5840093541850138e-06,6.366469884611092e-08
1831,3.431624429950375e-06,5.3010099421157975e-08
1832,3.0401840573901495e-06,1.1635773511375902e-07
1833,3.542273484313796e-06,7.181849892567982e-08
1834,3.3949689397516636e-06,1.4375177492809144e-07
1835,2.880780137104466e-06,1.1495893659230205e-07
1836,3.081463906262627e-06,6.38471249203576e-08
1837,3.0044173637833183e-06,9.25399477047506e-08
1838,3.2488696835031305e-06,1.2624323630916479e-07
1839,2.987457236258706e-06,1.4122779434799781e-07
1840,2.9835621671026047e-06,1.5669433839349267e-07
1841,3.311719028786797e-06,1.8426974834895304e-07
1842,2.9570032733516882e-06,1.0330728139607004e-07
1843,3.687684632325272e-06,9.037574244530333e-08
1844,2.7997150828795725e-06,1.5367970895852068e-07
1845,2.8727014438345577e-06,1.8135740464941819e-07
1846,3.383901765019459e-06,1.7387868211926616e-07
1847,3.035306209930866e-06,1.2512278946275046e-07
1848,2.881798494058785e-06,1.7779940630902047e-07
1849,2.737554751774951e-06,1.215015170696887e-07
1850,3.1752134503904017e-06,1.0726613819400654e-07
1851,3.280829439233912e-06,1.412427037550401e-07
1852,3.640697025630857e-06,1.2695563800235732e-07
1853,3.018811632671259e-06,1.2361898971136043e-07
1854,2.9225613635830427e-06,1.236568101248281e-07
1855,3.178324533337218e-06,1.586774267536839e-07
1856,2.939608116037107e-06,1.3564235779028877e-07
1857,2.7819720216371024e-06,1.0788134785499892e-07
1858,2.847630113933519e-06,1.693211899578273e-07
1859,3.075672625030279e-06,1.283227653026131e-07
1860,2.8094754185303827e-06,1.533356539518138e-07
1861,2.922954379869225e-06,1.9382610894069785e-07
1862,2.849493960788152e-06,2.3132088999844314e-07
1863,2.6666280561471467e-06,2.062778423628231e-07
1864,2.749776525590164e-06,1.5439024680929947e-07
1865,2.578880025083663e-06,1.732118692920892e-07
1866,2.94466887140743e-06,1.5618617510426702e-07
1867,2.5472408395899038e-06,2.877717246718703e-07
1868,2.3978148533387866e-06,2.4995762260004994e-07
1869,2.6932607894991634e-06,1.235530381338279e-07
1870,2.6508508543798825e-06,2.201874709228946e-07
1871,2.0690052986438445e-06,1.529449571435748e-07
1872,2.2877083445393964e-06,1.6569709515579234e-07
1873,2.5811651056528717e-06,2.0412274981396195e-07
1874,2.496191591205843e-06,2.5212850934819286e-07
1875,2.4419477711035142e-06,2.2828893042614595e-07
1876,2.7412630920764514e-06,2.5453721796964146e-07
1877,2.637823985907062e-06,1.6080521447747742e-07
1878,2.751408732848404e-06,2.3371273005778903e-07
1879,2.601961699433275e-06,2.517041965965916e-07
1880,2.7994645943607566e-06,2.592809860146872e-07
1881,2.6063233597994895e-06,3.3398310872456705e-07
1882,2.673468200597995e-06,2.93502472992202e-07
1883,2.5315272278447765e-06,3.665216632420254e-07
1884,2.5766423510376057e-06,3.789373943519081e-07
1885,2.760665777756799e-06,4.943802616175219e-07
1886,2.2935611632135533e-06,4.433529596781227e-07
1887,2.630503694867059e-06,4.0740490225843473e-07
1888,2.758167381600174e-06,6.587898817578264e-07
1889,2.5812364405908284e-06,6.365379019435125e-07
1890,2.737767228921939e-06,9.549741308845228e-07
1891,2.4120048696119056e-06,1.2404231757301432e-06
1892,2.623999229456331e-06,1.1784803319869752e-06
1893,2.5846874374124695e-06,1.1417704417482355e-06
1894,2.398996111985241e-06,1.4241478751841896e-06
1895,2.3093424239561955e-06,1.4089577042852852e-06
1896,2.377092305216877e-06,1.4595146966556172e-06
1897,2.65989474179662e-06,1.2894517169570463e-06
1898,2.442711773298356e-06,1.6058411613784074e-06
1899,2.3602759178231736e-06,1.7876188795895587e-06
1900,2.430970123867837e-06,1.64089185972216e-06
1901,2.646826677832337e-06,1.8699920065756714e-06
1902,2.2896652502879533e-06,3.4111742266418332e-06
1903,2.6039862852655915e-06,2.084485101860878e-06
1904,2.8077042522056672e-06,2.2734665634516205e-06
1905,2.6108279769232468e-06,1.9404454363325385e-06
1906,2.68886535614854e-06,2.2300040569689372e-06
1907,2.4829647955471046e-06,2.0746229711932074e-06
1908,2.64674759264949e-06,2.2111073345598697e-06
