year,différents_DET auteurs_NOUN,différents_DET moteurs_NOUN
1800,1.2576657937302116e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,1.755305234496518e-08,0.0
1804,9.887403784603066e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,0.0,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,1.42903374467096e-07,0.0
1812,1.3336041604361526e-08,0.0
1813,1.4953856464217097e-07,0.0
1814,1.5733386149463513e-08,0.0
1815,9.170560133497929e-08,0.0
1816,1.3905622608945123e-07,0.0
1817,6.538868291272593e-08,0.0
1818,4.172412104708201e-08,0.0
1819,4.7614829412623294e-08,0.0
1820,4.50926265216367e-08,0.0
1821,4.832129363308013e-08,0.0
1822,4.3110148340019805e-08,0.0
1823,7.214361374963119e-08,0.0
1824,4.968456579490521e-08,0.0
1825,6.251864448358901e-08,0.0
1826,5.989429041619587e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,6.695779575238703e-08,0.0
1829,3.600733933240008e-08,0.0
1830,3.652892388572582e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,5.953186388296672e-08,0.0
1833,4.51761508202253e-08,0.0
1834,4.480574844478724e-08,0.0
1835,5.596685070941021e-08,0.0
1836,3.427582484505365e-08,4.032449929525228e-09
1837,9.253994903701823e-08,0.0
1838,6.880256364638626e-08,0.0
1839,1.6919369727474987e-07,6.9914751765765e-10
1840,8.153201491722939e-08,2.5478754661634184e-09
1841,8.860357070261671e-08,3.2102742686390684e-09
1842,9.525736288651387e-08,0.0
1843,1.896118391186974e-07,5.31621990873532e-09
1844,1.103200801821913e-07,4.390849017710252e-09
1845,1.1272060618239266e-07,4.464182357111213e-09
1846,1.50460678582931e-07,2.9272506640865004e-09
1847,1.5748213400001987e-07,0.0
1848,1.3435520429538883e-07,0.0
1849,1.5920888074560935e-07,0.0
1850,1.3374322804793337e-07,0.0
1851,1.709101269398161e-07,0.0
1852,1.614615285916443e-07,6.510545436100301e-10
1853,1.5646460838070197e-07,5.971931837933653e-10
1854,1.4288077920809883e-07,0.0
1855,1.1516053177729191e-07,0.0
1856,1.361600823202025e-07,5.177189232874468e-10
1857,1.0739319833419358e-07,0.0
1858,8.710743060191817e-08,4.893676019968041e-10
1859,2.1081598333694274e-07,5.092173349652285e-10
1860,1.0252892224116295e-07,4.577183909670879e-10
1861,1.249730416930106e-07,2.357981809808507e-09
1862,1.4728635733263218e-07,4.517986262886353e-10
1863,1.0238972691922754e-07,0.0
1864,1.12676104890852e-07,4.794727948009836e-10
1865,1.7462392065681343e-07,2.3534221238463715e-09
1866,1.581324227117875e-07,0.0
1867,1.552899675516528e-07,6.308654931785895e-09
1868,1.5560603117137362e-07,2.4699371437009177e-09
1869,1.7434163623875065e-07,0.0
1870,1.9037041454339487e-07,1.7202146374017957e-09
1871,1.4763436695375276e-07,0.0
1872,1.2094677970253542e-07,0.0
1873,1.771857256471776e-07,0.0
