year,tes_DET ondes_NOUN,tes_DET mondes_NOUN
1800,3.458580977167003e-08,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,2.4616241489638924e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,3.460591457837836e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-08,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,3.852325747288887e-08,0.0
1809,1.129515236897305e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,6.13457871168066e-08,2.6672082320544632e-09
1813,5.751483289628823e-09,0.0
1814,4.405347908686963e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.0898113522728181e-08,1.556873407970727e-09
1818,1.3113295338484932e-08,5.960588467246453e-09
1819,2.794783426907088e-08,8.280840013696888e-09
1820,1.898636980968149e-08,1.1866481131050932e-09
1821,1.2819934447350079e-08,3.94459531705138e-09
1822,4.411270992932259e-08,1.0025615893027862e-09
1823,3.656594316225892e-08,0.0
1824,3.115811608722652e-08,8.421112696055388e-10
1825,4.4907758178780455e-08,2.641632912414593e-09
1826,1.2331177856594877e-08,3.5231937367541377e-09
1827,1.3825909306319772e-08,0.0
1828,2.5682442839070063e-08,9.172301251858528e-10
1829,1.1145129263923081e-08,8.57317605795771e-10
1830,4.0703660886265425e-08,1.2524203008013046e-08
1831,3.585977381703742e-08,1.5591206103948707e-09
1832,1.6235963684607668e-08,1.3529969367098715e-09
1833,4.51761508202253e-08,0.0
1834,3.733812548034621e-08,0.0
1835,2.117664621437143e-08,7.563087933704082e-10
1836,2.5538851033957144e-08,0.0
1837,1.948209416013924e-08,2.7831563720326358e-09
1838,1.830527018853445e-08,1.2624323808552163e-09
1839,1.7478688718597368e-08,6.9914751765765e-10
1840,1.52872523528913e-08,0.0
1841,3.659712533021775e-08,0.0
1842,2.4820581145945653e-08,6.708265054555795e-10
1843,2.3036953678001737e-08,2.953455480181333e-09
1844,1.5916826967554698e-08,0.0
1845,1.1160455504199973e-08,0.0
1846,3.688335725726688e-08,4.0981509297211005e-09
1847,1.294373674909366e-08,5.393223645455691e-10
1848,1.689496492707221e-08,0.0
1849,1.75967720394965e-08,0.0
1850,1.1541293254424545e-08,0.0
1851,2.7087643017509322e-08,1.2898877521649865e-09
1852,2.4740073101270355e-08,6.510545436100301e-10
1853,1.4929829816878737e-08,1.1943863675867306e-09
1854,1.6626126086993764e-08,0.0
1855,2.3350523292720027e-08,0.0
1856,1.2425253714809514e-08,1.0354378465748937e-09
1857,2.245494101771328e-08,2.4407544874094356e-09
1858,1.0276719919488642e-08,1.468102750479261e-09
1859,2.851617053600819e-08,1.018434669930457e-09
1860,1.6020143434047895e-08,1.373155145145688e-09
1861,1.9335450573976232e-08,0.0
1862,1.581295272501393e-08,1.3553959066214816e-09
1863,2.3474717281146695e-08,5.9935452156878455e-09
1864,1.438418395505181e-08,5.274200853833122e-09
1865,9.88437331983505e-09,0.0
1866,9.244664589402873e-09,1.9462452205409875e-09
1867,1.4073153309368536e-08,2.91168689159349e-09
1868,6.421836395986702e-09,2.9639244392143382e-09
1869,1.4162205408396744e-08,7.813630409359007e-09
1870,3.7271316255527154e-08,1.1468097582678638e-09
1871,5.3105884134652115e-09,3.18635318130589e-09
1872,2.9027228176659037e-08,6.047339518033823e-09
1873,9.577607318345116e-09,0.0
1874,8.961913877669758e-09,1.1949218281515073e-09
1875,4.577221712764867e-09,4.005069165202713e-09
1876,1.0278225381910033e-08,6.04601479992084e-10
1877,1.5462039981706255e-08,3.092407996341251e-09
1878,6.6429977074733415e-09,0.0
1879,6.109325489944695e-09,7.94212251520321e-09
1880,1.0910338410496934e-08,3.8507077526617195e-09
1881,1.9523021421719022e-08,4.183504653809678e-09
1882,1.9300616216355593e-08,1.3310770263785798e-09
1883,1.8958017378167824e-09,1.2638677882037541e-09
