year,différents_DET êtres_NOUN,différents_DET maîtres_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,3.738464116054274e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,1.3113295338484932e-08
1819,0.0,0.0
1820,7.119888678630559e-09,0.0
1821,0.0,0.0
1822,0.0,3.0076847679083585e-09
1823,9.882686891060644e-10,0.0
1824,0.0,5.052667617633233e-09
1825,0.0,9.68598712347557e-09
1826,0.0,1.0569580766173203e-08
1827,0.0,0.0
1828,0.0,3.668920500743411e-09
1829,0.0,8.57317605795771e-10
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,9.075705520444899e-09,5.294161553592858e-09
1836,0.0,7.392825018825988e-09
1837,1.1828414692161004e-08,6.957890930081589e-10
1838,0.0,1.199310784016916e-08
1839,1.3982950353153e-09,1.2584655095793096e-08
1840,0.0,6.3696887764308485e-09
1841,9.630822361827995e-09,6.420548537278137e-09
1842,7.379091560011375e-09,3.085801836277824e-08
1843,7.088293507706567e-09,1.3585895075607368e-08
1844,5.488561272137815e-10,4.39084892889241e-08
1845,4.464182357111213e-09,1.1160455670733427e-08
1846,2.3418005312692003e-09,3.6297908678761814e-08
1847,0.0,5.3932236454556914e-09
1848,1.126331028444838e-08,1.448139919091318e-08
1849,8.379414939696517e-10,1.5920887719289567e-08
1850,4.752297222410107e-09,1.2220192857625989e-08
1851,6.449438760824933e-09,1.5478653025979838e-08
1852,1.3021090872200602e-09,1.4323200403509873e-08
1853,1.3138249599364826e-08,8.360704129017904e-09
1854,4.676098175337984e-09,9.352196350675968e-09
1855,0.0,2.0166361025530932e-08
1856,1.0354378465748937e-09,1.0872097000458325e-08
1857,8.298565390418844e-09,8.298565390418844e-09
1858,5.3830437884982985e-09,1.9574704523961373e-08
1859,1.5276520048956854e-09,1.6804172275897145e-08
1860,3.661747127736703e-09,2.5174511364411956e-08
1861,9.431927461278633e-10,6.6023493339173456e-09
1862,3.6143890103090826e-09,1.626475132354699e-08
1863,9.989241656072068e-10,9.989241434027463e-09
1864,6.233146443435089e-09,6.233146443435089e-09
1865,5.177528628053096e-09,1.3649848362717876e-08
1866,3.8924903300596725e-09,6.3252967308358166e-09
1867,0.0,4.85281148598915e-09
1868,5.9278488784286765e-09,1.1855697756857353e-08
1869,0.0,1.7580669364747337e-08
1870,2.8670243956696595e-09,1.0321287824410774e-08
1871,5.3105884134652115e-09,2.549082545044712e-08
1872,6.047339518033823e-09,4.23313739617015e-09
1873,4.190203295451056e-09,1.1972008939764578e-09
1874,0.0,1.1949218503559678e-08
1875,1.3159512590732447e-08,1.3731664694205392e-08
1876,6.04601479992084e-10,6.650616057868319e-09
1877,1.2369631985365004e-09,6.184816214727107e-09
1878,1.2078177347163432e-09,7.850815109122777e-09
1879,0.0,7.94212251520321e-09
1880,6.417846254436199e-10,9.626769603698904e-09
1881,6.972507571312292e-10,4.8807553554297556e-09
1882,3.9932310791357395e-09,3.9932310791357395e-09
1883,1.0110942305630033e-08,1.64302811356265e-08
1884,1.9805090900604227e-09,3.300848483434038e-09
1885,0.0,3.86738152613475e-09
1886,0.0,9.680196200179125e-09
1887,2.6115698492645834e-09,5.223139698529167e-09
1888,2.53624587998047e-09,1.268122939990235e-09
1889,2.5060546970934183e-09,8.14467782106476e-09
1890,4.5880703680722945e-09,6.554386478008212e-10
1891,0.0,3.824531802365527e-09
1892,2.5074049503359674e-09,8.775916882086676e-09
1893,0.0,7.390100087434348e-09
1894,1.2603078580752936e-09,7.561847148451761e-09
1895,6.018614495673091e-10,5.416753268150387e-09
1896,0.0,3.5382172747233653e-09
1897,2.9133566670225264e-09,5.2440420894583895e-09
1898,1.6975064687230201e-09,7.921697076085366e-09
1899,1.1055156790007459e-09,4.4220627160029835e-09
1900,5.191053142894475e-10,2.07642125715779e-09
1901,2.235495566438317e-09,6.147612641171918e-09
1902,0.0,1.9641135384773634e-09
1903,1.6200660812870638e-09,1.0800440541913758e-09
1904,0.0,3.7622376325430196e-09
1905,1.0321518084666081e-09,4.64468330463319e-09
1906,0.0,1.2346042410626978e-08
1907,0.0,7.199980611716228e-09
1908,1.964555629285769e-09,1.080505640516094e-08
1909,1.6502950117569526e-09,1.1001967115120692e-09
1910,5.344150677544235e-10,4.275320542035388e-09
1911,0.0,7.448523575703803e-09
1912,3.125652625612929e-09,8.856016364688912e-09
1913,1.060597942803554e-09,9.545381374209683e-09
1914,2.0090231700464756e-09,0.0
1915,0.0,2.3561523843085297e-09
1916,0.0,4.394984820521586e-09
1917,1.0966424435210342e-09,3.289927441585405e-09
