year,grands_ADJ effets_NOUN,grands_ADJ méfaits_NOUN
1800,2.2260685454966733e-06,0.0
1801,1.990668579310295e-06,0.0
1802,1.6962828794930829e-06,0.0
1803,1.5466190461665974e-06,0.0
1804,2.261743702547392e-06,0.0
1805,1.975799932552036e-06,0.0
1806,2.0142867924732855e-06,0.0
1807,1.8590617401059717e-06,0.0
1808,1.8309877987121581e-06,0.0
1809,1.832073735386075e-06,0.0
1810,1.6263880979749956e-06,0.0
1811,1.2134252074247343e-06,0.0
1812,1.7176821529574227e-06,0.0
1813,2.3581080768053653e-06,0.0
1814,1.6016587096601143e-06,0.0
1815,1.2730895377899287e-06,0.0
1816,1.2677293170781923e-06,0.0
1817,1.3498092812369578e-06,0.0
1818,1.6641963611618849e-06,0.0
1819,1.4419013041333528e-06,0.0
1820,1.8167582993555698e-06,4.746592452420373e-09
1821,1.4309019888969488e-06,2.1695274909916407e-08
1822,1.1709919363056542e-06,0.0
1823,1.1374972928024363e-06,2.174191138237802e-08
1824,1.2867460554844001e-06,4.5474010335055937e-08
1825,1.4810755146754673e-06,1.7610886082763955e-09
1826,1.12037560029421e-06,1.145037931138404e-08
1827,1.0194304422839195e-06,3.6869092223668076e-09
1828,9.374091973768373e-07,1.9261833017480967e-08
1829,1.033067746902816e-06,4.286587973467704e-09
1830,1.147008219959389e-06,5.218417697960831e-09
1831,1.0103101431013783e-06,1.4032085715598441e-08
1832,9.99864710138354e-07,5.411987746839486e-09
1833,9.475407978243311e-07,4.6334514003376626e-09
1834,9.101167393055221e-07,2.8937046536725575e-08
1835,9.658062936068745e-07,7.563087933704082e-09
1836,9.731645604915684e-07,1.0753200108126748e-08
1837,8.41904807202809e-07,1.87863058442872e-08
1838,8.38255118651432e-07,1.3886756633496589e-08
1839,8.368795647584193e-07,1.1885507689157748e-08
1840,9.299745329371945e-07,7.64362617644565e-09
1841,8.391656933781633e-07,5.1364388298225094e-09
1842,8.224333214457147e-07,8.049918065466954e-09
1843,8.996225346891151e-07,1.4767278067040479e-08
1844,8.600575256423326e-07,1.756339607084101e-08
1845,6.947383894839732e-07,1.4508592549589139e-08
1846,8.044085006986279e-07,2.2247105491146613e-08
1847,6.126701919129118e-07,1.5640349459999925e-08
1848,6.235046612346196e-07,1.769948809737798e-08
1849,6.58622013816057e-07,6.703531951757213e-09
1850,5.94716027535469e-07,9.504594444820214e-09
1851,7.126629952836083e-07,4.514607354622058e-09
1852,6.2110603948895e-07,1.2370036550635177e-08
1853,7.470886771443475e-07,5.971931837933653e-09
1854,9.004086223285412e-07,4.1565315633818045e-09
1855,8.591931077717163e-07,9.552486801567284e-09
1856,9.401775855621963e-07,1.2425253714809514e-08
1857,7.234396548483346e-07,9.274867096564776e-09
1858,7.027318815744366e-07,1.9085335978274998e-08
1859,7.52113976432156e-07,2.34239969643113e-08
1860,6.687265567961731e-07,2.9751696217772405e-08
1861,7.427643140545115e-07,9.903524222920623e-09
1862,6.167051083139086e-07,9.487771457372673e-09
1863,7.696710895288561e-07,8.990317823531768e-09
1864,7.494159603993467e-07,7.671564716815737e-09
1865,6.274223665059253e-07,9.413688495385486e-09
1866,6.086881967348745e-07,8.75810357570117e-09
1867,6.420269755835761e-07,1.9896527092555516e-08
1868,7.380172064586077e-07,1.778354707937524e-08
1869,6.304622957031825e-07,2.9301114423674335e-08
1870,7.058613959998183e-07,1.490852596930381e-08
1871,5.310588448992348e-07,1.1683295220166201e-08
1872,5.490983880918066e-07,3.084143074261192e-08
1873,4.920495939586544e-07,2.3944017879529156e-09
1874,5.329351324689924e-07,2.0911132381229436e-08
1875,7.546694291704625e-07,1.716458086775674e-08
1876,6.124612923485984e-07,7.859819461941697e-09
1877,4.984961492482398e-07,2.4739263970730008e-09
1878,6.063244768483855e-07,6.6429977074733415e-09
1879,5.33955017090193e-07,1.4662380642960215e-08
1880,5.35248375399533e-07,1.9895322722618403e-08
1881,5.438556058834365e-07,6.9725074602899895e-09
