year,bons_ADJ effets_NOUN
1800,2.9460820556437284e-06
1801,4.078965972098558e-06
1802,3.381376473043929e-06
1803,4.63790686211496e-06
1804,3.2949774073642857e-06
1805,3.7469128919553896e-06
1806,2.521460505278128e-06
1807,2.2547884164225707e-06
1808,2.9300335615545237e-06
1809,4.825289220633522e-06
1810,2.854954557207634e-06
1811,2.742742040595658e-06
1812,3.806106066317483e-06
1813,4.089304558307916e-06
1814,3.3543577648842415e-06
1815,3.4821155301401063e-06
1816,3.995549320734426e-06
1817,3.193147268043539e-06
1818,3.5131710696134633e-06
1819,2.5898326656559334e-06
1820,2.8657552020305843e-06
1821,2.8263026230490595e-06
1822,2.16753808501835e-06
1823,2.502296338136034e-06
1824,2.0985413655694174e-06
1825,1.860590145952301e-06
1826,2.2645328439097057e-06
1827,2.355013199561995e-06
1828,2.945225958228548e-06
1829,2.6388235951912975e-06
1830,2.4923163399748205e-06
1831,2.7159881996752233e-06
1832,2.582871205802917e-06
1833,2.692035227624956e-06
1834,2.3289654897951095e-06
1835,2.386154299927057e-06
1836,2.1976852124794277e-06
1837,3.2785582746441833e-06
1838,2.1328794801434015e-06
1839,2.2687336951321413e-06
1840,2.3574217102861894e-06
1841,2.257464807087217e-06
1842,2.557190729390868e-06
1843,2.1701990480238464e-06
1844,2.4160646816540066e-06
1845,2.4352115026715637e-06
1846,2.403858243127388e-06
1847,1.91567298912787e-06
1848,2.9413329798444465e-06
1849,2.828052544145976e-06
1850,2.891433396712273e-06
1851,2.2089328481911252e-06
1852,2.4010891976899984e-06
1853,2.5774856737825758e-06
1854,2.0372200708607124e-06
1855,2.2533253911660722e-06
1856,1.883979194872154e-06
1857,1.927707927507072e-06
1858,1.942300023927146e-06
1859,1.8525326623830551e-06
1860,2.2428200594504233e-06
1861,1.6661500215064962e-06
1862,1.8708981350812337e-06
1863,1.6002764660072444e-06
1864,1.7141152355293343e-06
1865,2.180210245228409e-06
1866,1.7759487391799667e-06
1867,1.728571476178331e-06
1868,1.6168208176736698e-06
1869,1.5466105267591956e-06
1870,1.8549647773369315e-06
1871,1.6367234181302592e-06
1872,1.7434478749578375e-06
1873,1.7934069269642805e-06
1874,1.7577299722404405e-06
1875,1.5894402078941994e-06
1876,1.5901018528552413e-06
1877,1.5474409735816153e-06
1878,1.328599555705523e-06
1879,1.419807194480427e-06
1880,1.3201510000726557e-06
1881,1.4460980324315642e-06
1882,1.4189281589693792e-06
1883,1.4199554385641022e-06
1884,1.5216911641857678e-06
1885,1.4908755012754682e-06
1886,1.500430371947914e-06
1887,1.3534460601150045e-06
1888,1.3943012246997455e-06
1889,1.5167895748291471e-06
1890,1.3672450216439813e-06
1891,1.4820062013143342e-06
1892,1.4705930435621184e-06
1893,1.346229852039471e-06
1894,1.284883860641628e-06
1895,1.450486108112159e-06
1896,1.4040826163963516e-06
1897,1.3582068838502437e-06
1898,1.341595957438102e-06
1899,1.1795852419282937e-06
1900,1.1451463004519269e-06
1901,1.3452094664856418e-06
1902,1.2123490895632472e-06
1903,1.1945287319292675e-06
1904,1.249062926866884e-06
1905,1.2741914234837282e-06
1906,1.1821336443063046e-06
1907,1.1802825836682018e-06
1908,1.0873815945444676e-06
1909,1.1513558995090989e-06
1910,1.1126521646254162e-06
1911,1.0396011154156781e-06
1912,1.0523030882225726e-06
1913,1.0834008188354005e-06
1914,1.0674609409733193e-06
1915,8.281875625293367e-07
1916,8.152696864272002e-07
1917,8.422213886305485e-07
1918,9.005318828414488e-07
1919,7.053212098817596e-07
1920,7.640381731732759e-07
1921,7.065373179848677e-07
1922,8.189508555744851e-07
1923,6.316488869728687e-07
1924,7.979915315203812e-07
1925,7.423769941006242e-07
1926,6.899459483733494e-07
1927,7.001713004939347e-07
1928,6.501417444404467e-07
1929,6.751086241152393e-07
1930,6.795831613004566e-07
1931,6.706349697793712e-07
1932,5.414010937343505e-07
1933,5.609153745922413e-07
1934,7.021206123170032e-07
1935,6.403032166701905e-07
1936,5.201502570884031e-07
1937,5.137176264380372e-07
1938,4.511894609038336e-07
1939,4.93997847961225e-07
1940,3.600811717685559e-07
1941,3.482772967799974e-07
1942,3.7927646712176966e-07
1943,5.341952518111981e-07
1944,4.5305924167848843e-07
1945,3.747026822153998e-07
1946,3.215775201681481e-07
1947,2.9682967328525933e-07
1948,4.6531679842587437e-07
1949,2.915651338142311e-07
1950,2.91408911001767e-07
1951,3.528924124029942e-07
1952,2.0246023346714992e-07
1953,2.822742735109074e-07
1954,2.6092670957211794e-07
1955,2.524728501818174e-07
1956,2.2762179607838107e-07
1957,1.802347688872885e-07
1958,2.7712014594172274e-07
1959,2.3174735419573267e-07
1960,1.8547833025017724e-07
1961,2.0219143781474713e-07
