year,cents_ADJ mines_NOUN
1800,0.0
1801,9.524730337773235e-09
1802,2.6854081625060644e-08
1803,1.755305234496518e-08
1804,2.2246657849223084e-08
1805,1.421438877713399e-08
1806,3.458002950651462e-08
1807,8.540865792383556e-09
1808,4.5321479902327155e-09
1809,1.581321384946932e-08
1810,3.042164919975221e-08
1811,2.5070768572277302e-08
1812,1.600324850414836e-08
1813,6.901780125190271e-08
1814,0.0
1815,1.8880564667256294e-08
1816,2.0858434979231788e-08
1817,1.71256075987003e-08
1818,1.4305412854298538e-08
1819,1.2421260464634543e-08
1820,1.542642635854463e-08
1821,3.155676253641104e-08
1822,2.7069162911175226e-08
1823,7.906149512848515e-09
1824,1.6842225392110777e-08
1825,2.0252519661312363e-08
1826,1.4092774947016551e-08
1827,3.502563927781921e-08
1828,1.3758452155343548e-08
1829,1.0287811491593857e-08
1830,1.461157062010443e-08
1831,0.0
1832,1.2176972319366541e-08
1833,1.853380560135065e-08
1834,3.453776287187793e-08
1835,3.932805725526123e-08
1836,1.2769425516978572e-08
1837,2.7831564608504777e-08
1838,2.1461350030449466e-08
1839,2.307186797168015e-08
1840,1.9746034141121527e-08
1841,1.4125206782011901e-08
1842,1.542900918138912e-08
1843,2.4218335781256428e-08
1844,1.1525978393933656e-08
1845,1.785672942844485e-08
1846,2.3418005312692003e-08
1847,1.1325769655456952e-08
1848,6.43617736884039e-09
1849,6.703531951757213e-09
1850,4.752297222410107e-09
1851,1.7413483988093503e-08
1852,4.166749079104193e-08
1853,1.7318601663873778e-08
1854,9.871762074453727e-09
1855,6.368324534378189e-09
1856,2.0708757375587084e-08
1857,7.322263684272912e-09
1858,9.297984604472731e-09
1859,5.601390462572908e-09
1860,4.119465657481669e-09
1861,8.017138064531082e-09
1862,1.1294965851504912e-08
1863,9.989241434027463e-09
1864,5.753673537611803e-09
1865,1.5061901947888146e-08
1866,1.702964524952222e-08
1867,3.105799351033056e-08
1868,1.2349684830326169e-08
1869,6.8369265804335555e-09
1870,9.17447806614291e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,1.4366410283628284e-08
1874,5.974609140757536e-10
1875,6.293679799540541e-09
1876,2.478866001354163e-08
1877,4.9478527941460015e-09
1878,9.058632954861423e-09
1879,7.94212251520321e-09
1880,1.2193908105473383e-08
1881,2.091752326904839e-09
1882,2.6621540527571597e-09
1883,1.1374810426900694e-08
1884,7.922036360241691e-09
1885,1.933690763067375e-09
1886,7.744156427236248e-09
1887,9.793386546164129e-09
1888,4.4384300679212174e-09
1889,2.5060546970934183e-09
1890,3.9326319978272295e-09
1891,9.561330394092238e-09
1892,3.1342561879199593e-09
1893,1.2316833108982905e-09
1894,1.2603078580752936e-09
1895,4.213029924926559e-09
1896,4.717623180994224e-09
1897,8.157399200570126e-09
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,2.07642125715779e-09
1901,1.676621730339889e-09
1902,4.910283846193408e-10
1903,0.0
1904,2.6873125946735854e-09
1905,5.160758931310738e-09
1906,1.5432553013283723e-09
1907,9.771402353919711e-09
1908,3.437972351250096e-09
