year,anciens_ADJ êtres_NOUN,anciens_ADJ maîtres_NOUN
1800,0.0,9.998442891401282e-07
1801,0.0,7.786467079995418e-07
1802,0.0,6.333087583243469e-07
1803,0.0,9.96623363391791e-07
1804,2.4718509461507665e-09,6.402093681856513e-07
1805,5.685755422035754e-09,1.125779600208432e-06
1806,0.0,1.1152060004349096e-06
1807,0.0,7.088918128062005e-07
1808,0.0,1.1647620556942684e-06
1809,0.0,1.2334307051276028e-06
1810,0.0,8.401054998330437e-07
1811,0.0,7.295593409395451e-07
1812,2.6672082320544632e-09,1.1442323391008813e-06
1813,0.0,9.978823858336483e-07
1814,0.0,1.3939779783811446e-06
1815,0.0,1.105861679562281e-06
1816,0.0,9.455823715143197e-07
1817,9.341240669868967e-09,1.0742425964327396e-06
1818,0.0,1.2898714154552238e-06
1819,0.0,1.07236878577055e-06
1820,0.0,1.0632367093421635e-06
1821,0.0,9.526197864984098e-07
1822,0.0,8.261107780072052e-07
1823,0.0,8.400283828535748e-07
1824,0.0,9.271644874075946e-07
1825,0.0,1.0522504680920974e-06
1826,8.80798456392995e-09,1.1106868669230607e-06
1827,0.0,9.64126752378558e-07
1828,0.0,9.227334958339384e-07
1829,0.0,1.0107774115475365e-06
1830,0.0,9.904557645157297e-07
1831,0.0,1.1724587432038192e-06
1832,0.0,9.02448969886116e-07
1833,8.108539617524002e-09,9.811333333553662e-07
1834,1.213489042584115e-08,1.033332598154857e-06
1835,7.563087933704082e-10,9.287471769425792e-07
1836,1.4785650037651976e-08,8.770578574512911e-07
1837,1.3915781860163179e-09,1.043683622081737e-06
1838,1.2624323808552163e-09,1.1267209174548043e-06
1839,5.5931801412612e-09,1.0557127625432372e-06
1840,0.0,1.1013191509867681e-06
1841,5.1364388298225094e-09,1.094703554471721e-06
1842,1.0733224087289273e-08,1.1558341048711895e-06
1843,1.1813822142769936e-09,1.3893054272018368e-06
1844,4.390849017710252e-09,1.0916748316436298e-06
1845,0.0,1.0373643251071485e-06
1846,8.781752214304106e-09,1.0865954915839637e-06
1847,5.393223645455691e-10,1.3661034969913999e-06
