year,mauvais_ADJ êtres_NOUN,mauvais_ADJ maîtres_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,9.524730337773235e-09
1802,0.0,4.699464284385613e-08
1803,0.0,4.4857802805609026e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,5.1171799242411e-08
1806,0.0,5.187004603612877e-08
1807,0.0,1.7081731584767113e-08
1808,4.5321479902327155e-09,4.078933102391602e-08
1809,4.518061036407062e-09,8.584316191218022e-08
1810,0.0,1.0296557917399696e-07
1811,0.0,2.2563691359778204e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,4.026038169513413e-08
1814,0.0,7.237357380063258e-08
1815,0.0,1.8880564667256294e-08
1816,2.3176038865813098e-09,6.489290882427667e-08
1817,0.0,4.203558034987509e-08
1818,0.0,5.48374146092101e-08
1819,0.0,5.2790355198339967e-08
1820,0.0,1.542642635854463e-08
1821,0.0,3.550135829755163e-08
1822,0.0,2.90742860897808e-08
1823,0.0,1.087095569118901e-08
1824,0.0,3.115811608722652e-08
1825,0.0,3.52217717214387e-08
1826,0.0,3.435113882233054e-08
1827,0.0,9.217273166939322e-09
1828,0.0,3.5771975603893225e-08
1829,0.0,3.5150023336427694e-08
1830,0.0,3.235419043789989e-08
1831,0.0,3.585977381703742e-08
1832,0.0,4.058990654698391e-08
1833,0.0,5.09679658478035e-08
1834,0.0,1.7735608537350345e-08
1835,0.0,1.285724948729694e-08
1836,1.3441500135158435e-09,1.0753200108126748e-08
1837,0.0,7.653680356156656e-09
1838,0.0,3.28232410140572e-08
1839,2.0974426639952526e-09,3.216078425793967e-08
1840,0.0,4.458782143501594e-08
1841,0.0,5.072233477676491e-08
1842,0.0,3.957876515414682e-08
1843,0.0,3.9576303123567413e-08
1844,0.0,3.951764071530306e-08
1845,0.0,5.357019006169139e-08
1846,0.0,2.8101606375230404e-08
1847,0.0,6.741529290366088e-08
1848,0.0,5.390298696283935e-08
1849,0.0,3.77073661184113e-08
1850,0.0,2.647708541303473e-08
1851,0.0,6.900899762740664e-08
1852,0.0,2.148479971708639e-08
1853,0.0,2.9262466227919504e-08
1854,0.0,4.000661490977109e-08
1855,0.0,3.555647865027822e-08
1856,0.0,3.468716869292621e-08
1857,4.881509085841174e-10,2.147863931156735e-08
1858,4.893676019968041e-10,2.5447114637699997e-08
1859,0.0,1.5785737161877478e-08
1860,0.0,5.355305177090486e-08
1861,2.8295783494058924e-09,2.87673795895671e-08
1862,2.710791813242963e-09,2.4848924695675123e-08
1863,9.989241656072068e-10,2.7969877081091e-08
1864,0.0,2.3973639073915365e-08
1865,0.0,3.671338433264282e-08
1866,0.0,2.1895258939252926e-08
1867,0.0,2.91168689159349e-08
1868,9.87974813071446e-10,1.778354707937524e-08
1869,0.0,1.8557372527538973e-08
1870,1.7202146374017957e-09,2.1789386295267832e-08
1871,0.0,9.559059321873065e-09
1872,0.0,3.628403577593531e-09
1873,0.0,1.496501056408306e-08
1874,0.0,3.525019565131515e-08
1875,1.1443054281912168e-09,5.034943839632433e-08
1876,0.0,1.6928840551599933e-08
1877,6.184815992682502e-10,2.040989244278535e-08
1878,6.039088673581716e-10,1.4493812372506909e-08
1879,0.0,1.7717043832021773e-08
1880,0.0,2.2462462112571302e-08
1881,6.972507571312292e-10,2.649552932609822e-08
1882,0.0,2.0631693686823382e-08
1883,0.0,1.3270612164717477e-08
1884,0.0,2.970763546272792e-08
1885,1.2891271383708158e-09,2.513797880965285e-08
1886,1.2906927748801422e-09,2.710454793941608e-08
1887,0.0,2.0239665554644404e-08
1888,0.0,1.2681229177857745e-08
1889,6.265136742733546e-10,1.566284169030041e-08
1890,0.0,1.3764211992395303e-08
1891,1.2748440081367107e-09,9.561330394092238e-09
1892,0.0,3.384996816180319e-08
1893,5.542574843531156e-09,2.3401982574000613e-08
1894,2.520615716150587e-09,7.561847148451761e-09
1895,0.0,2.9491211250842753e-08
1896,1.7691086373616827e-09,2.5357223876198987e-08
1897,5.826713556089658e-10,2.5054868069140923e-08
1898,0.0,1.923840664552756e-08
1899,0.0,1.879376654301268e-08
1900,0.0,2.906989848838748e-08
1901,0.0,1.900171220370339e-08
1902,0.0,2.553347533407191e-08
1903,0.0,4.050165136604278e-08
1904,5.374625189347171e-09,3.0097901060344157e-08
1905,0.0,1.496620127827697e-08
1906,0.0,2.82930141537463e-08
1907,0.0,1.697138252154673e-08
1908,4.911389073214423e-10,2.99594742347864e-08
1909,5.500983557560346e-10,4.895875321819787e-08
1910,5.344150677544235e-10,4.008112952647025e-08
1911,0.0,4.415910481725405e-08
1912,5.209421227725386e-10,5.0531385908936244e-08
1913,0.0,6.098438376511695e-08
1914,1.3393487430235496e-09,9.04060383222216e-08
1915,0.0,4.123266705846618e-08
1916,0.0,3.625862454725848e-08
1917,0.0,2.631941953268324e-08
1918,0.0,1.1486376294556067e-08
1919,1.8415696745321952e-09,1.2246438296781292e-07
1920,1.514446346106979e-09,4.0132829060013364e-08
1921,7.572747429129834e-10,6.361108151331507e-08
1922,0.0,2.855261005407783e-07
1923,0.0,1.0509788639367912e-07
1924,0.0,8.250639726981035e-08
1925,0.0,4.7292165294976485e-08
1926,1.1146138456652466e-09,4.3469939869922314e-08
1927,0.0,5.7975968026369173e-08
1928,0.0,5.7130207120614784e-08
1929,0.0,6.127223350915756e-08
1930,0.0,5.04172987803031e-08
1931,0.0,4.334035530462188e-08
1932,3.287861094491973e-09,5.918149970085551e-08
1933,1.1470662197865522e-09,5.391211299610177e-08
1934,0.0,5.032263672433146e-08
