year,ces_DET arbres_NOUN,ces_DET marbres_NOUN
1800,6.759953691926057e-06,4.118855336798788e-07
1801,6.874474081541848e-06,3.9289511732931715e-07
1802,6.326374091258913e-06,5.191789114178391e-07
1803,1.1462143334028951e-05,3.354583624215479e-07
1804,7.4921802024618955e-06,2.719035983034246e-07
1805,8.093672704490018e-06,1.5351539417451932e-07
1806,5.858433382854855e-06,3.2274693406719734e-07
1807,5.258326325474627e-06,4.5266585502190537e-07
1808,4.817673470824957e-06,8.565759479495227e-07
1809,8.568502323669236e-06,3.162642769893864e-07
1810,4.289452476768929e-06,1.872101442756957e-07
1811,6.184958351695968e-06,6.342904121936499e-07
1812,5.217059481310571e-06,2.1070945166457022e-07
1813,4.175576862053276e-06,2.9620139230246423e-07
1814,3.316597712910152e-06,2.6117420759419474e-07
1815,2.9399737115909375e-06,3.155751571171095e-07
1816,5.701305553884595e-06,3.6849903040092613e-07
1817,4.430861508808448e-06,5.76043170497087e-07
1818,4.3750719100899005e-06,6.079800531910706e-07
1819,3.2057202474788937e-06,3.9644521621085005e-07
1820,3.3997468449342705e-06,3.358214115678493e-07
1821,3.413061108403781e-06,5.936615963264558e-07
1822,3.0888922424310294e-06,3.5290167943458073e-07
1823,2.960852953037829e-06,4.2792035070959855e-07
1824,2.948231497157394e-06,2.9726528083529047e-07
1825,3.467583525207374e-06,3.3372630525718705e-07
1826,3.6253664177365863e-06,3.3294180923348904e-07
1827,3.4472602408186503e-06,3.9265584295122835e-07
1828,2.9837496242635098e-06,3.182788468336639e-07
1829,3.1180640576167207e-06,5.306796069248776e-07
1830,3.5318252571414632e-06,3.3293505197207196e-07
1831,4.206507298931683e-06,2.1204040479005926e-07
1832,3.2634287094879255e-06,1.785955987543275e-07
1833,4.6311348000926955e-06,3.8110138689262385e-07
1834,3.859828609620308e-06,3.668470558437775e-07
1835,3.709694567533006e-06,4.787434662034684e-07
1836,3.455137715491219e-06,3.01761676979595e-07
1837,3.4511138551351905e-06,3.0823457386475184e-07
1838,3.0879095049840544e-06,3.478001180390322e-07
1839,3.0000420849773946e-06,2.950402520074391e-07
1840,2.4937330636021215e-06,1.898167192315725e-07
1841,2.8218310887950793e-06,3.447834457936949e-07
1842,2.9462699444593454e-06,2.5625572908083427e-07
1843,2.722495423768123e-06,3.3492185846917266e-07
1844,2.6603056539897807e-06,2.7278149872245194e-07
1845,3.224255607392479e-06,2.0144623391615823e-07
1846,3.438934072619304e-06,2.6345256465276634e-07
1847,2.3120748551264114e-06,1.9847063015276944e-07
1848,3.1215461433475866e-06,2.0837124026229503e-07
1849,4.1645692476777185e-06,2.438409814065068e-07
1850,2.862919671997588e-06,2.124955749138735e-07
1851,2.8777396039458836e-06,2.7603597985148554e-07
1852,2.9518814130824467e-06,2.6497920702084343e-07
1853,2.977605277010298e-06,2.430576273582119e-07
1854,2.505868991420357e-06,2.400397027813028e-07
1855,3.1369306157102983e-06,2.940043231092204e-07
1856,2.6005021993569244e-06,3.489425566272075e-07
1857,2.615024328633808e-06,1.8989070937891483e-07
1858,2.410624801996164e-06,2.319602465661319e-07
1859,2.691213666139447e-06,1.9961319885908324e-07
1860,2.846092911568121e-06,2.7280016468012036e-07
1861,2.7277133369807416e-06,2.768270697117714e-07
1862,2.5449815836964262e-06,3.221324114122126e-07
1863,2.7130780040351965e-06,2.492315829272229e-07
1864,2.446749618911781e-06,2.84327359878489e-07
1865,2.440498747091624e-06,2.1369073621713142e-07
1866,2.2654292877177795e-06,1.9462451206209153e-07
1867,2.784057954841046e-06,2.2225876605830308e-07
1868,2.6413505622713274e-06,2.272342068954103e-07
1869,2.347019204762546e-06,3.130335777257187e-07
1870,2.3761899115015694e-06,2.196140727050988e-07
1871,2.69034430289139e-06,2.3472801125024034e-07
1872,2.3947462750584236e-06,2.116568785792694e-07
1873,2.241758750187728e-06,2.4662338082848123e-07
1874,2.0534732101396003e-06,2.4914119939323243e-07
1875,2.534064350356857e-06,2.6490670279599726e-07
1876,2.8513006498087634e-06,3.0290534880350606e-07
1877,2.606899897727999e-06,2.9563420156364373e-07
1878,2.6173410390128993e-06,2.3190099973646738e-07
1879,2.01302265168124e-06,2.645337886519883e-07
1880,2.12494887819048e-06,2.6505704298074306e-07
1881,2.2625786755270383e-06,2.963315743897965e-07
1882,2.3606651780028187e-06,2.0964462521533278e-07
1883,2.1997618659952423e-06,2.7425930682056787e-07
1884,2.255799898875921e-06,2.3303990559497834e-07
1885,1.815735629406845e-06,2.475124034617693e-07
1886,1.9657250902582746e-06,1.9424925667976822e-07
1887,2.0513881509032217e-06,1.7693385778727588e-07
1888,1.9116953353659483e-06,1.7373283611732404e-07
1889,2.056844380149414e-06,1.973518060083279e-07
1890,2.0829839968428132e-06,2.667635357056497e-07
1891,1.830675941505433e-06,3.238103865044195e-07
1892,1.8893295816724276e-06,1.9620444069445853e-07
1893,1.8850912795187469e-06,1.8844754740010572e-07
1894,1.9005442197794764e-06,1.871557131494228e-07
1895,1.9024840867132298e-06,1.570858430000044e-07
1896,1.9401225586079818e-06,1.8457700612373173e-07
1897,2.0370190725316206e-06,2.872569915268741e-07
1898,1.9498691585795314e-06,1.4711722862159604e-07
1899,2.0739474564379634e-06,1.9070144929855815e-07
1900,1.9352246454218403e-06,1.3963932932181677e-07
1901,1.7224493262801843e-06,1.324531115898253e-07
1902,2.6790508513840905e-06,1.7382404315924305e-07
1903,1.8771166025999264e-06,1.8036735482951372e-07
1904,1.5796023262737435e-06,1.7306292754426522e-07
1905,1.7025343623799927e-06,1.7649796257845907e-07
1906,1.7706283585994242e-06,1.255181043546827e-07
1907,1.7434238941405056e-06,1.2805680249527995e-07
1908,1.7558216143243044e-06,1.5814673304248572e-07
1909,1.6519453822638752e-06,1.3917488494996633e-07
1910,1.7902904687616683e-06,1.6459984664152216e-07
1911,1.8424455703325293e-06,1.9153346419997774e-07
1912,1.599292360765503e-06,1.4794756086899952e-07
1913,1.711274833837706e-06,1.6492298682280193e-07
1914,1.6587833613357361e-06,1.794727388926276e-07
1915,1.5574167377963022e-06,7.421879988367408e-08
1916,1.334976687417111e-06,9.559091651567542e-08
1917,1.4387949107685927e-06,1.2721052233821695e-07
1918,1.5391743914960898e-06,1.1371512353974822e-07
1919,1.5349483248883189e-06,1.3075144711383047e-07
1920,1.584110933094962e-06,8.55662181109551e-08
1921,1.6766063168915935e-06,1.3025125711330077e-07
1922,1.7161077892069443e-06,1.0624227186895041e-07
1923,1.64016397263822e-06,1.560544311551837e-07
1924,1.6617304368082841e-06,1.4309703455506195e-07
1925,1.6387284631491639e-06,1.7047176315010404e-07
1926,1.7688921332137397e-06,1.2483675215779755e-07
1927,1.8206684302413123e-06,1.9734127976178684e-07
1928,1.6796280704056699e-06,1.4282551497046825e-07
1929,1.5529725914120718e-06,1.4928144587145198e-07
1930,1.5083174389474152e-06,1.481008085058022e-07
1931,1.6925549175539345e-06,1.585344531207511e-07
1932,1.6011883019473316e-06,1.3918611330154818e-07
1933,1.3604205548745085e-06,1.0897129065767786e-07
1934,1.3455314018528952e-06,9.225816910429785e-08
1935,1.4709020774716919e-06,1.0771455905000948e-07
1936,1.633199104844607e-06,1.8065824480828496e-07
1937,1.3409540287057098e-06,8.687871355661514e-08
1938,1.5960178814111714e-06,8.816345831164085e-08
1939,1.4345818897254503e-06,1.4682288185241532e-07
1940,1.3109997496485448e-06,6.846614097888448e-08
1941,1.5347813331345606e-06,7.083605968460915e-08
1942,1.957066615432268e-06,1.0619740997697136e-07
1943,1.6345214675084208e-06,6.096794002985462e-08
1944,1.6837095415667136e-06,6.426372145540427e-08
1945,1.3158164620108437e-06,9.149717028478221e-08
1946,1.4533632821667197e-06,7.517396571898871e-08
1947,1.4042785778656253e-06,6.794896756368018e-08
1948,1.4524842555374562e-06,6.958008391677595e-08
1949,1.2752294225037986e-06,6.67556560030036e-08
1950,1.331547295535529e-06,1.031630081360646e-07
1951,1.431826234465916e-06,6.503455063366914e-08
1952,1.187344878417207e-06,4.8506099581402395e-08
1953,1.216365063783087e-06,6.572034694229956e-08
1954,1.392586440829291e-06,6.15669777381811e-08
1955,1.2276374548036983e-06,1.0793449334300931e-07
1956,1.2218319938028799e-06,8.023449993288523e-08
1957,1.1211663206722733e-06,8.393285622076974e-08
1958,1.110962287498296e-06,6.617794828800427e-08
