year,pouvez_VERB être_VERB,pouvez_VERB etre_VERB,pouvez_VERB mettre_VERB
1800,6.131120926511358e-07,0.0,5.0306631749208464e-08
1801,8.072208856901852e-07,2.3811825844433088e-09,1.1191558257905854e-07
1802,8.794711447990267e-07,2.2378401354217203e-09,6.713520406265161e-08
1803,7.216254971353919e-07,0.0,7.021220937986072e-08
1804,8.997537292998459e-07,0.0,8.157108055684148e-08
1805,8.613919249000901e-07,0.0,9.097208675257207e-08
1806,9.192524430545745e-07,0.0,7.780506905419315e-08
1807,7.743718128949695e-07,0.0,5.4092147649953404e-08
1808,5.279952688397316e-07,0.0,7.024829073998262e-08
1809,6.686730102956062e-07,0.0,3.388545621874073e-08
1810,1.1092200793427764e-06,4.680253518074551e-09,8.190443878675069e-08
1811,5.415286068455316e-07,0.0,2.5070768572277302e-08
1812,6.588004453078611e-07,0.0,1.0668832928217853e-08
1813,6.326631591946352e-07,5.751483289628823e-09,6.901780125190271e-08
1814,5.443751547318243e-07,0.0,9.440030979135372e-09
1815,5.124724680172221e-07,2.697223555614414e-09,7.282503844407984e-08
1816,6.813755248913367e-07,0.0,5.5622493277951435e-08
1817,9.154415465673083e-07,0.0,1.0898114055635233e-07
1818,7.581868999295693e-07,0.0,6.675859509641668e-08
1819,8.363648476006347e-07,0.0,4.7614829412623294e-08
1820,9.754247685123119e-07,0.0,9.255855104584043e-08
1821,1.0965975434373831e-06,9.86148829262845e-10,8.678109963966563e-08
1822,1.029630766424816e-06,1.0025615893027862e-09,4.511527151862538e-08
1823,7.668965054108412e-07,0.0,7.412015179397713e-08
1824,8.993748110697197e-07,0.0,5.9789897477458e-08
1825,8.558890840504318e-07,0.0,1.1270967092968931e-07
1826,7.293011208275857e-07,0.0,6.165588928297439e-08
1827,8.839364795676374e-07,1.8434546111834038e-09,3.594736597278825e-08
1828,8.15417593003076e-07,1.8344602503717056e-09,5.044765671868845e-08
1829,7.484382535949408e-07,8.57317605795771e-10,6.77280880267972e-08
1830,7.879810937083676e-07,2.0873671680021744e-09,5.5315229730013016e-08
1831,9.354723715659929e-07,1.5591206103948707e-09,7.171954763407484e-08
1832,8.659180252834631e-07,1.3529969367098715e-09,6.900284432731496e-08
1833,9.359571890854568e-07,2.3167257001688313e-09,3.243415847009601e-08
1834,9.203847639582818e-07,1.8669061851994684e-09,5.1339920759119195e-08
1835,9.58243276727444e-07,3.025235173481633e-09,5.596685070941021e-08
1836,7.923764542283607e-07,0.0,6.25029770162655e-08
1837,8.669532007843372e-07,2.0873671680021744e-09,7.72325918774186e-08
1838,7.574594178549887e-07,9.468243078458727e-09,6.94337813911261e-08
1839,7.91435013525188e-07,0.0,6.641901251214222e-08
1840,9.095915629586671e-07,0.0,6.751869818799605e-08
1841,8.012844432414568e-07,6.420548537278137e-10,3.852328944731198e-08
1842,6.567391324097116e-07,1.341653010911159e-09,6.909512961783548e-08
1843,6.828389018664893e-07,5.906911071384968e-10,7.029224491361674e-08
1844,7.782779789522465e-07,1.097712254427563e-09,3.622450606144412e-08
1845,7.996466706572392e-07,1.1160455892778032e-09,5.4686232431322424e-08
1846,7.031256359368854e-07,1.7563503984519002e-09,4.5665110803838616e-08
1847,7.221526630019071e-07,1.6179670936367074e-09,4.6921044827286096e-08
1848,8.930196031542437e-07,0.0,4.585776380849893e-08
1849,6.82084362324531e-07,2.513824481908955e-09,4.1897074254393374e-08
1850,7.243858703986916e-07,0.0,3.4623880651452055e-08
1851,7.629686251675594e-07,1.9348316282474798e-09,4.1921353499674296e-08
1852,7.474106382687751e-07,6.510545436100301e-10,3.5156944022674e-08
1853,7.841146612008743e-07,5.971931837933653e-10,6.808001984381917e-08
1854,8.531280855095247e-07,2.5978321716024766e-09,8.365019965594911e-08
1855,8.496406280755764e-07,5.306937111981824e-10,4.0332722051061864e-08
1856,7.382672038147575e-07,0.0,4.659470320689252e-08
1857,7.283211402864254e-07,0.0,3.8075771868761876e-08
1858,8.231162951233273e-07,2.936205500958522e-09,7.29157747514364e-08
