year,excellents_ADJ auteurs_NOUN,excellents_ADJ moteurs_NOUN
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,2.145373123596528e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,3.7461699520235925e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,0.0
1810,2.3401266702194334e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,3.42512151974006e-08,0.0
1818,8.34482416500748e-09,0.0
1819,9.315945348475907e-09,0.0
1820,9.493184904840746e-09,0.0
1821,4.832129363308013e-08,0.0
1822,1.604098542884458e-08,0.0
1823,0.0,0.0
1824,7.57900142644985e-09,0.0
1825,6.163809906922779e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,5.530363722527909e-09,0.0
1828,2.0179061976932644e-08,0.0
1829,6.001223296081548e-09,0.0
1830,6.262101504006523e-09,0.0
1831,0.0,0.0
1832,6.764984572527055e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,1.4369867074037757e-08,0.0
1836,8.064899859050456e-09,0.0
1837,1.530736071231331e-08,0.0
1838,1.7042836475411605e-08,0.0
1839,1.0487212875887053e-08,0.0
1840,1.7835128929277744e-08,0.0
1841,1.3483152372373297e-08,0.0
1842,2.0795621225033756e-08,0.0
1843,3.898561473647533e-08,2.953455480181333e-09
1844,3.0735943568060975e-08,0.0
1845,1.674068350610014e-08,3.348136878855712e-09
1846,3.33706573485415e-08,0.0
1847,1.9954928376364478e-08,0.0
1848,4.585776380849893e-08,0.0
1849,1.0893239199560867e-08,0.0
1850,5.431196825611551e-09,0.0
1851,1.1608989325395669e-08,0.0
1852,3.2552726736412296e-08,7.812654523320361e-09
1853,2.8068079416243563e-08,3.5831591027601917e-09
1854,1.8704392701351935e-08,3.63696517347023e-09
1855,3.237231638308913e-08,5.306937111981824e-10
1856,2.433278972757691e-08,1.0354378465748937e-09
1857,2.5871997877402464e-08,0.0
1858,3.474509924217273e-08,0.0
1859,2.7497735644033128e-08,1.018434669930457e-09
1860,1.9224172476128842e-08,0.0
1861,1.9335450573976232e-08,9.431927461278633e-10
1862,3.6143891435358455e-08,0.0
1863,3.546180649127706e-08,0.0
1864,2.7809422320501653e-08,4.794727948009836e-10
1865,2.9182434246877165e-08,0.0
1866,2.0435575009969398e-08,9.731225825149181e-10
1867,1.8925964795357686e-08,0.0
1868,1.7289560005906424e-08,4.93987406535723e-10
1869,3.1742874995188686e-08,0.0
1870,1.9495765002375265e-08,0.0
1871,2.0180236370848093e-08,0.0
1872,2.2979889990892843e-08,0.0
1873,3.1725821969530443e-08,0.0
1874,1.6728906260254917e-08,1.1949218281515073e-09
1875,2.7463329388410784e-08,5.721527251978387e-09
1876,1.4510435519810017e-08,0.0
1877,9.895705588292003e-09,0.0
1878,5.918306911212312e-08,6.039088673581716e-10
1879,2.504823370941267e-08,2.443730107160036e-09
1880,2.2462462112571302e-08,0.0
1881,1.673401861523871e-08,4.8807553554297556e-09
1882,3.926677294430192e-08,0.0
1883,2.9068958795619437e-08,0.0
1884,2.178559910248623e-08,2.6406787867472303e-09
1885,2.8360796378024133e-08,0.0
1886,2.452316216761119e-08,2.5813855497602844e-09
1887,5.7454535351553204e-08,3.264462256069578e-09
1888,1.6485598663962264e-08,0.0
1889,3.633779144252003e-08,1.8795409673089125e-09
1890,2.6217545467943637e-08,0.0
1891,2.7409146952095398e-08,1.9122659011827636e-09
1892,1.817868522380195e-08,0.0
