year,autres_ADJ arbres_NOUN,autres_ADJ marbres_NOUN
1800,2.7354230951459613e-06,6.917161954334006e-08
1801,2.228786797786597e-06,5.2386017301842e-08
1802,2.4213429696828825e-06,1.1636768704192946e-07
1803,4.737374183605425e-06,1.501761204281138e-07
1804,3.3913795505213784e-06,9.39303390623536e-08
1805,3.627511887316359e-06,8.528632911009026e-09
1806,2.0690383735200157e-06,1.2391177506287931e-07
1807,2.3715135739621473e-06,2.8469551160981155e-09
1808,2.52440645454044e-06,2.0847880932706175e-07
1809,6.463086265284801e-06,6.09938268780752e-08
1810,2.4033101908571552e-06,9.360506680877734e-08
1811,2.3466238872060785e-06,7.270522672797597e-08
1812,1.9017194290427142e-06,5.3344166417446104e-08
1813,1.944001269293949e-06,6.614205716459765e-08
1814,1.3562178082793253e-06,4.72001566720337e-08
1815,1.6857646869539167e-06,2.1577788444915313e-08
1816,2.0742554625030607e-06,9.733936678912869e-08
1817,2.2154308680910617e-06,5.4490570278176165e-08
1818,1.803674081202189e-06,1.323250700124845e-07
1819,1.4098129668127513e-06,6.417651121637391e-08
1820,1.575868736836128e-06,7.119888323359191e-08
1821,1.5876996712904656e-06,1.5876996428687562e-07
1822,1.3524555697586038e-06,5.3135764233047666e-08
1823,1.631631562304392e-06,3.755420863171821e-08
1824,1.2859038633905584e-06,5.642145595174952e-08
1825,1.5092529110916075e-06,6.163810439829831e-08
1826,1.5581324532831786e-06,4.492072136486058e-08
1827,1.6655612853355706e-06,4.7929820112813104e-08
1828,1.3299836609803606e-06,3.3020285172824515e-08
1829,1.4900180076438119e-06,9.344761764396026e-08
1830,1.6281463786071981e-06,8.140732177253085e-08
1831,1.8522353002481395e-06,3.585977381703742e-08
1832,1.2880531130576856e-06,1.7588959622116818e-08
1833,1.908982085296884e-06,5.212632991913324e-08
1834,1.8305015601072228e-06,4.947301257551828e-08
1835,1.3711878636968322e-06,5.974839467626225e-08
1836,1.4805812043050537e-06,4.435695188931277e-08
1837,1.2252845635885024e-06,3.826840000442644e-08
1838,1.3242915883893147e-06,8.332053624826585e-08
1839,1.0668991308193654e-06,5.2436064379435265e-08
1840,1.0236090020043775e-06,3.567025785855549e-08
1841,1.107544676415273e-06,6.741576186186649e-08
1842,1.056551695910457e-06,6.305769062464606e-08
1843,9.273850309909903e-07,3.1306630177141415e-08
