year,dix_DET êtres_NOUN,dix_DET mètres_NOUN
1800,3.144164484325529e-09,6.256887559175084e-07
1801,0.0,2.4288061695187935e-07
1802,2.2378401354217203e-09,3.8938418356337934e-07
1803,0.0,3.276569771060167e-07
1804,0.0,6.772871756766108e-07
1805,8.528632911009026e-09,5.316181519443575e-07
1806,2.881669125542885e-08,8.011040222299926e-07
1807,0.0,4.3558412698985194e-07
1808,0.0,4.962701831701111e-07
1809,0.0,9.555699307384202e-07
1810,9.360507036149102e-09,3.884610464410798e-07
1811,0.0,7.019814844966277e-07
1812,0.0,5.121039521327475e-07
1813,0.0,8.224621173003044e-07
1814,6.293354282149721e-09,4.625615304121311e-07
1815,0.0,2.2926400333744823e-07
1816,4.6352077731626196e-09,4.1716869070285156e-07
1817,0.0,2.568841243055786e-07
1818,0.0,3.1829543445383024e-07
1819,0.0,4.067962628973021e-07
1820,0.0,2.2902308316474773e-07
1821,2.2681422962023134e-08,5.433680030364485e-07
1822,2.0051231786055723e-09,3.127992158624693e-07
1823,0.0,3.310700045222603e-07
1824,0.0,4.522137544427096e-07
1825,0.0,2.9146015645409307e-07
1826,4.403992281964975e-09,4.4568401846856176e-07
1827,0.0,4.48881195325157e-07
1828,0.0,3.980778823242659e-07
1829,0.0,4.6209419224396697e-07
1830,0.0,2.8075088787105074e-07
1831,0.0,4.427902626780167e-07
1832,0.0,4.1401705175303505e-07
1833,0.0,5.757063190614531e-07
1834,1.7735608537350345e-08,5.703398260337167e-07
1835,4.5378527602224494e-09,5.263909059749494e-07
1836,0.0,5.067445507656032e-07
1837,0.0,4.97489185846689e-07
1838,0.0,3.837794508854131e-07
1839,0.0,4.355689098289872e-07
1840,0.0,5.03205385804506e-07
1841,1.926164561183441e-09,5.932586635282178e-07
1842,6.708265054555795e-10,4.1054581956245784e-07
1843,3.5441467538532834e-09,5.812400352134262e-07
1844,0.0,6.152677149984243e-07
1845,0.0,6.20521350747083e-07
1846,1.1709002656346001e-09,6.170644404335235e-07
1847,0.0,4.880867487955243e-07
1848,0.0,5.0845801258248e-07
1849,1.6758829879393033e-09,4.960613813054238e-07
1850,1.3577992064028876e-09,5.953949635539857e-07
1851,6.449438760824933e-09,5.346584908139107e-07
1852,0.0,6.230591793610074e-07
1853,0.0,7.417139311627352e-07
1854,1.0391328908454511e-09,5.070968307485657e-07
1855,0.0,5.397154865249831e-07
1856,0.0,4.659470413947986e-07
1857,9.763018171682347e-10,5.135347569407145e-07
1858,3.9149408159744326e-09,5.529853774888238e-07
1859,0.0,5.341689872651045e-07
1860,4.577183909670879e-10,8.20689062486224e-07
1861,4.715963730639317e-10,5.918534462523439e-07
1862,0.0,8.349238673766024e-07
1863,0.0,7.297140820483605e-07
1864,0.0,7.815406672939673e-07
1865,9.41368871743009e-10,6.641357295222861e-07
1866,1.4596839292835284e-09,5.220802430372373e-07
1867,4.85281148598915e-10,6.303802368989864e-07
1868,9.87974813071446e-10,6.135323826761407e-07
1869,0.0,8.199428482846827e-07
1870,5.734048791339319e-10,5.854464077970079e-07
1871,0.0,6.680720616714098e-07
1872,4.23313739617015e-09,6.555315821277219e-07
1873,0.0,6.273332875394999e-07
1874,5.974609140757536e-10,5.353249800665871e-07
1875,2.2886108563824337e-09,7.020313574912507e-07
1876,6.04601479992084e-10,6.185073315734257e-07
1877,4.329371083855449e-09,6.463132589118459e-07
1878,0.0,6.159870493682718e-07
1879,0.0,7.520579301534269e-07
1880,0.0,8.548570971100844e-07
1881,0.0,7.195628000111753e-07
1882,0.0,6.695317527061206e-07
1883,0.0,7.096617871127364e-07
1884,0.0,7.697578761067803e-07
1885,6.445635691854079e-10,9.120574571142015e-07
1886,0.0,1.024164673957273e-06
1887,0.0,9.297188601209427e-07
1888,5.706553452000662e-09,8.211096211852009e-07
1889,3.759081934617825e-09,8.295041258321589e-07
