year,mauvais_ADJ effets_NOUN
1800,1.213647443876198e-06
1801,1.907327252581581e-06
1802,1.8014613374361943e-06
1803,2.0654093453309486e-06
1804,1.5622098192835665e-06
1805,1.7483697793974073e-06
1806,9.74004187526134e-07
1807,9.394951803187723e-07
1808,1.0446601628189e-06
1809,1.3802676006591241e-06
1810,1.387695180099513e-06
1811,1.0053377490493176e-06
1812,1.208245308248479e-06
1813,1.1963085171373677e-06
1814,9.408564629609373e-07
1815,1.704645245403924e-06
1816,1.6825803861308941e-06
1817,1.2174750319005057e-06
1818,1.1980783769516279e-06
1819,1.11170279559758e-06
1820,1.479750238786437e-06
1821,1.1311126724145026e-06
1822,1.0015590277134834e-06
1823,1.3865410082303242e-06
1824,9.734806170058619e-07
1825,8.620528486602552e-07
1826,9.450966942381456e-07
1827,1.0885599515120248e-06
1828,1.0199599103088985e-06
1829,1.1848128966818194e-06
1830,9.309657347245093e-07
1831,6.563897545497355e-07
1832,6.954404270231862e-07
1833,5.803398153148009e-07
1834,6.702193378060883e-07
1835,8.538726206097635e-07
1836,7.533960859618105e-07
1837,9.78975274179561e-07
1838,7.069621235089585e-07
1839,7.886384159050408e-07
1840,7.828347436955596e-07
1841,7.216696502609921e-07
1842,7.110760957829143e-07
1843,7.064665537015458e-07
1844,7.678497246921268e-07
1845,6.958544287449797e-07
1846,6.57460500264051e-07
1847,5.328504926183086e-07
1848,6.854529033262224e-07
1849,5.589069600464569e-07
1850,5.3429397439686e-07
1851,6.043124285426416e-07
1852,4.5573818696631463e-07
1853,5.111973564453365e-07
1854,5.897079301542263e-07
1855,5.487372760626386e-07
1856,5.389454078574829e-07
1857,5.027954561587222e-07
1858,4.409202052357841e-07
1859,5.983303408285678e-07
1860,5.204257949031899e-07
1861,4.0510128984649896e-07
1862,5.087252512581131e-07
1863,5.524050816774206e-07
1864,4.665270236792196e-07
1865,4.998668564626385e-07
1866,4.6807196990572564e-07
1867,4.420911139391137e-07
1868,4.6039626155902624e-07
1869,4.1607581868774446e-07
1870,4.610175157182539e-07
1871,5.363694397519936e-07
1872,3.477220222869448e-07
1873,3.926818800681353e-07
1874,5.179986106718104e-07
1875,4.514285008028196e-07
1876,4.5889251332198455e-07
1877,4.533470036038878e-07
1878,3.563062351275015e-07
1879,4.172669019197883e-07
1880,3.388622853428558e-07
1881,2.984233253844337e-07
1882,3.553975602699211e-07
1883,3.943267528616623e-07
1884,3.082992341418844e-07
1885,3.422632630645239e-07
1886,3.4332428300309914e-07
1887,2.964131766702849e-07
1888,3.5824474275969465e-07
1889,3.094977607531746e-07
1890,2.877375653298486e-07
1891,3.3400913146408584e-07
1892,3.1154507773578644e-07
1893,2.845188484812411e-07
1894,3.3335143290180724e-07
1895,3.3403311339164077e-07
1896,3.243365917504626e-07
1897,3.0473711165601713e-07
1898,2.891419406125806e-07
1899,3.9024703823997697e-07
1900,3.5351073268685695e-07
1901,2.928499194254641e-07
1902,3.2898902180278355e-07
1903,3.3103350549623656e-07
1904,2.7894305532072394e-07
1905,3.1532238797815637e-07
1906,3.2459804444329166e-07
1907,3.353133966044197e-07
1908,3.4379724644928444e-07
1909,3.031042066226064e-07
1910,3.2011461614800396e-07
1911,3.1762634788989885e-07
1912,3.511149802015723e-07
1913,2.895432462679537e-07
1914,2.517975670190964e-07
1915,2.6153290377806115e-07
1916,1.7689813192056647e-07
1917,1.4695008587750635e-07
1918,2.2743024885585328e-07
1919,1.6850361816977966e-07
1920,2.385252959591355e-07
1921,2.2188149273461022e-07
1922,2.4642304286004446e-07
1923,1.953334445303767e-07
1924,2.1786845738613891e-07
1925,1.8586921157748293e-07
1926,2.20693536001626e-07
1927,1.5385930951516968e-07
1928,1.8624447217785445e-07
1929,2.1946600270439376e-07
1930,1.628058612368477e-07
1931,1.7792356921120245e-07
1932,1.7096877513722575e-07
1933,2.0303072600924565e-07
1934,2.5400949965614927e-07
1935,2.656959150471039e-07
1936,1.2730950782469108e-07
1937,1.5361163718807802e-07
1938,1.5687909993289395e-07
1939,2.125872953229191e-07
1940,1.1157445101162011e-07
1941,1.8889615960304695e-07
1942,2.032921937455967e-07
1943,1.800005837715446e-07
1944,2.249230277584502e-07
1945,1.350672471644998e-07
1946,1.6287691817495897e-07
1947,1.335137607139103e-07
1948,1.1306763680885012e-07
1949,1.5903553673979332e-07
1950,1.9356358516020578e-07
1951,1.9616979252123912e-07
1952,1.1072044259208269e-07
1953,1.2820854067285836e-07
1954,1.3877000992756905e-07
1955,9.385607580014721e-08
1956,1.4128249858913478e-07
1957,1.0602045180663211e-07
1958,1.0174859338407671e-07
1959,1.007597205671118e-07
1960,9.896791752783685e-08
1961,1.0352757584541905e-07
1962,1.0400808259092287e-07
1963,8.535189977010305e-08
1964,1.8860301398415658e-07
1965,1.5376441808712116e-07
1966,1.0635023273142252e-07
1967,2.2728847359765325e-07
1968,1.1857337678389257e-07
1969,1.8712042215707214e-07
1970,1.4348022575605412e-07
1971,1.6237335431767974e-07
1972,1.287666804294929e-07
1973,1.1357199825035025e-07
1974,7.144475860920707e-08
1975,1.0794697402616293e-07
1976,9.941536638358173e-08
1977,9.696690028704325e-08
1978,1.0396034610948846e-07
1979,1.0767630698182984e-07
1980,1.0346974144148646e-07
1981,8.223214531533074e-08
1982,7.449002481507705e-08
1983,7.073153796000042e-08
1984,7.190770495713039e-08
1985,6.677269226429416e-08
1986,6.414099745777335e-08
1987,8.1273861252118e-08
1988,7.015967895540598e-08
1989,9.60421392415256e-08
1990,7.246705913122042e-08
1991,5.0408601737217396e-08
1992,9.422004254577843e-08
1993,8.419595626252274e-08
1994,8.809127638453873e-08
1995,1.0031534303234224e-07
