year,ces_DET in_ADJ,ces_DET mines_NOUN
1800,8.803660378475797e-08,3.3705444195675227e-06
1801,6.429193177837078e-08,2.838369539404084e-06
1802,9.84649659585557e-08,2.157277918968248e-06
1803,7.996390993803004e-08,2.6602627372085408e-06
1804,6.426812282356309e-08,2.0293895772738324e-06
1805,5.970043304159844e-08,1.4356532318515747e-06
1806,3.7461698632057505e-08,1.9220732667690754e-06
1807,5.693910143378389e-08,4.213493582483352e-06
1808,4.7587552565175884e-08,2.9594925763376523e-06
1809,6.77709144358829e-08,2.173187397147558e-06
1810,7.956430891908894e-08,1.5561842587885621e-06
1811,3.5099073869560016e-08,2.9733930659858743e-06
1812,8.268345652595599e-08,1.4722988908033585e-06
1813,5.7514832008109806e-08,3.2754697372183728e-06
1814,9.125363931161701e-08,2.3348343347606715e-06
1815,4.0458352890127e-08,1.0896783209091154e-06
1816,6.257530316133852e-08,1.270046894319421e-06
1817,6.850243305933645e-08,1.2968755243036867e-06
1818,6.437435784434342e-08,2.583319144378038e-06
1819,7.038714322504802e-08,1.6499573405326373e-06
1820,4.153268395867826e-08,9.350787166795271e-07
1821,4.3390549375743603e-08,1.122237392792158e-06
1822,3.60922172149003e-08,1.8587491439348014e-06
1823,6.52257359234909e-08,1.1365090415438317e-06
1824,6.315834255588015e-08,1.599169308974524e-06
1825,5.811592540538868e-08,1.2133900071376047e-06
1826,3.082794464148719e-08,1.3264824048064838e-06
1827,5.438191053031005e-08,2.385430349249873e-06
1828,4.035812395386529e-08,1.3804313425680448e-06
1829,5.744027831156018e-08,1.9195340996702726e-06
1830,6.262101548415444e-08,1.3651380754708953e-06
1831,5.924658252887127e-08,1.0009554216594552e-06
1832,4.3295900420403655e-08,1.1229874559148811e-06
1833,4.054269808762001e-08,1.2220728109468837e-06
1834,8.214386948424135e-08,8.279729115656664e-07
1835,4.689114518896531e-08,1.6306017585066002e-06
1836,3.696412465004073e-08,1.438912605067344e-06
1837,4.453050017616533e-08,1.1779709581105635e-06
1838,4.229148631296198e-08,1.668304406621246e-06
1839,4.4046294167543465e-08,1.4940782619987658e-06
1840,4.8409633190971135e-08,9.962193274759557e-07
1841,3.7239181072123984e-08,1.0138045922758465e-06
1842,5.836190686281384e-08,9.129948921327014e-07
1843,4.7845980732930116e-08,1.151256938669576e-06
1844,3.402908110849978e-08,1.1180198953297804e-06
1845,4.9664028445306485e-08,8.325699951683418e-07
1846,4.97632610674259e-08,1.4226438480591241e-06
1847,3.3977309854549276e-08,8.952751073820764e-07
