year,jeunes_ADJ auteurs_NOUN
1975,2.861451653402014e-07
1976,3.222429230120838e-07
1977,3.0853105248418444e-07
1978,3.196038274033697e-07
1979,3.423404510982664e-07
1980,3.4849974911432824e-07
1981,3.5296565670250857e-07
1982,3.128581242961559e-07
1983,4.698595024166252e-07
1984,4.656603875830001e-07
1985,4.006361677966197e-07
1986,3.7465533653247007e-07
1987,3.892590442200472e-07
1988,4.52140170525972e-07
1989,4.165484632778771e-07
1990,4.168218047384542e-07
1991,4.2788697030005096e-07
1992,4.6063134306884024e-07
1993,4.3759739887239135e-07
1994,4.85820734308362e-07
1995,4.0776830179112267e-07
1996,3.939512023265479e-07
1997,5.274383756415091e-07
1998,4.920709306688309e-07
1999,4.5382098745605504e-07
2000,4.943777280885797e-07
2001,4.1752949564433095e-07
2002,4.293597202220667e-07
2003,3.875238396844338e-07
2004,4.3695529594600657e-07
2005,5.309920609875007e-07
2006,4.2331908733928003e-07
2007,4.6935134800918377e-07
2008,3.491100606378694e-07
2009,3.0230341563353136e-07
2010,2.9429231229727293e-07
2011,2.0190571325962026e-07
2012,2.1004239103561417e-07
2013,1.8659245970553684e-07
2014,2.0918200371866646e-07
2015,1.7510945093945907e-07
2016,1.9077041946147233e-07
2017,1.5445854195661468e-07
2018,1.7321641054834913e-07
2019,2.1683395262650507e-07
