year,plusieurs_DET arrêts_NOUN,plusieurs_DET marais_NOUN
1800,9.118077315406481e-08,5.65949598296811e-08
1801,1.9049460320275102e-07,8.096020565062645e-08
1802,1.8126505096915935e-07,1.5664880947952042e-08
1803,3.1205426687108684e-07,9.361627917314763e-08
1804,5.413353640904006e-07,9.88740396223875e-08
1805,4.150601391472719e-07,1.9900143755080535e-08
1806,3.0833858488676924e-07,2.305335300434308e-08
1807,1.9643990185613802e-06,4.270432762965015e-08
1808,1.6995554545928826e-06,7.478044494746428e-08
1809,1.6016526274142961e-06,6.551188391767937e-08
1810,1.1794238758966458e-06,4.44624070894406e-08
1811,6.693894718523552e-07,4.763445815569867e-08
1812,2.0724207843159093e-06,4.000812481308458e-08
1813,1.5155158052948536e-06,8.627225156487839e-09
1814,4.940283098164855e-07,3.776012391654149e-08
1815,1.04382556287419e-06,1.3486118000116676e-08
1816,3.499581744392799e-07,3.9399266071882266e-08
1817,2.3820163264076655e-07,2.80237220096069e-08
1818,2.765713205121756e-07,1.3113295338484932e-08
1819,6.707480295631285e-07,2.794783426907088e-08
1820,4.046470172269778e-07,2.610625848831205e-08
1821,6.50858204664928e-07,1.577838126820552e-08
1822,6.235932943354783e-07,2.3058916553964082e-08
1823,5.395947191288997e-07,4.15072847204101e-08
1824,7.292683505966124e-07,3.03160057057994e-08
1825,1.3780517846839757e-06,2.201360693732113e-08
1826,1.3661183970725688e-06,3.08279450855764e-08
1827,1.9964613642287077e-06,2.4886637972620917e-08
1828,1.994975512786823e-06,4.9530425094701513e-08
1829,1.3339862334760255e-06,5.8297597527179335e-08
1830,1.1981487091361487e-06,2.400472176589119e-08
1831,9.760095025512783e-07,2.8064171431196883e-08
1832,1.233933204503046e-06,1.6235963684607668e-08
1833,9.846084196851734e-07,6.718504264036085e-08
1834,8.177049082291887e-07,1.8669061851994684e-08
1835,7.933679100347035e-07,2.4958190181223472e-08
1836,6.962697227663739e-07,1.8146025460019644e-08
1837,7.187501154248821e-07,3.131051051763478e-08
1838,8.048006634453486e-07,2.4617430760542902e-08
1839,9.340610915842262e-07,5.942753933396716e-08
1840,6.325100940784978e-07,2.8663599493938818e-08
1841,7.756022668559126e-07,3.2102741354123054e-08
1842,7.097344152384721e-07,2.1466447730489335e-08
1843,6.261325609102641e-07,1.7130042329061013e-08
1844,8.962820459146315e-07,1.0428266250528395e-08
1845,8.45404557026086e-07,3.961961692056093e-08
1846,8.049939452803301e-07,2.4003455223464698e-08
1847,1.0802627059547376e-06,2.6966118227278457e-08
1848,7.377468094205142e-07,2.654923125788855e-08
1849,9.083285874567082e-07,1.8434713311421547e-08
1850,9.178722706337794e-07,1.3577992064028876e-08
1851,8.055348743596369e-07,2.6442698919382224e-08
1852,8.79574692191909e-07,1.6927417689771573e-08
1853,5.989847622345223e-07,2.030456824897442e-08
1854,6.011384030557565e-07,1.9743524592996664e-08
1855,6.256878819499434e-07,2.1227748447927297e-08
1856,6.663042526611207e-07,5.177189343896771e-09
1857,4.7253008261805007e-07,2.2943092092830852e-08
1858,5.940922562786e-07,2.2021542755989998e-08
1859,5.514823868679741e-07,1.5276519604867644e-08
1860,3.853988737034797e-07,2.5632230560290736e-08
1861,4.484881444000166e-07,1.131831339762357e-08
1862,4.716777581847964e-07,1.581295272501393e-08
1863,5.75879802511281e-07,1.2986014319427142e-08
1864,4.3488181233897194e-07,1.4863656749852794e-08
1865,4.575052798827528e-07,1.5061901947888146e-08
1866,4.6661226349442586e-07,4.865612801552288e-09
1867,5.406031888810503e-07,1.7955402498159856e-08
1868,4.258171415472134e-07,1.7783547412442147e-08
1869,4.917703861906375e-07,7.813630631403612e-09
1870,2.975971256091725e-07,9.17447806614291e-09
1871,3.069520282394933e-07,5.3105884134652115e-09
1872,3.507456902696049e-07,4.8378714367913744e-09
1873,3.406036555020364e-07,1.0774807712721213e-08
1874,3.1127714805734286e-07,2.9873046258899194e-09
1875,2.3229399914725946e-07,8.58229043387837e-09
1876,4.2563945612528187e-07,3.02300739996042e-09
1877,2.7398733948302834e-07,9.895705588292003e-09
1878,3.502671539479252e-07,7.850815331167382e-09
1879,3.1218651486142335e-07,2.6270098096858874e-08
1880,3.6260830071910277e-07,1.7328185109022343e-08
1881,3.0748758916843144e-07,1.3247764274471052e-08
1882,3.4142124860636613e-07,6.655385131892899e-09
1883,2.7615510767020623e-07,5.0554711528150165e-09
1884,3.0433823638986723e-07,8.582206056928499e-09
1885,3.661121112941146e-07,6.445635636342928e-09
1886,4.0979495707915703e-07,2.5813855497602844e-09
1887,4.4527265430360785e-07,3.264462256069578e-09
1888,5.478291171812089e-07,6.974676391990897e-09
1889,3.0197959688393894e-07,3.132568371366773e-09
1890,3.8343160468912174e-07,1.3108773011527575e-08
1891,3.639679633238302e-07,5.0993759215245404e-09
1892,4.2625883622804395e-07,4.387958441043338e-09
1893,3.0484162394373016e-07,1.1085149687062312e-08
1894,2.854597340729015e-07,7.561847148451761e-09
1895,2.913009460314697e-07,4.213029924926559e-09
1896,3.5853935997920416e-07,1.8280790214930676e-08
1897,2.534620477945282e-07,4.661370844871726e-09
1898,2.336900557509125e-07,8.4875323436151e-09
1899,2.5758516031260115e-07,3.8693048765026106e-09
1900,2.1594781074441016e-07,1.0901211378033793e-08
1901,2.5149325111328835e-07,9.500856101851696e-09
1902,2.926529205637962e-07,5.892340670943241e-09
1903,2.5273031312167404e-07,8.100330184390714e-09
1904,2.0369829734079303e-07,1.827372564378038e-08
1905,2.7971313798502706e-07,3.096455536422127e-09
1906,2.51036201603938e-07,9.773950537805831e-09
1907,1.9851375299140273e-07,3.0857059130084963e-09
1908,1.9743784207548742e-07,9.331639461152008e-09
1909,2.1508845549078615e-07,7.701377313651392e-09
1910,2.0307772707894856e-07,3.740905585303267e-09
1911,2.2398775456622388e-07,1.9685384433643094e-08
1912,1.9691612607175557e-07,1.0418842455450772e-09
1913,1.5007460874016942e-07,1.590896969716482e-09
1914,1.9286621366632062e-07,6.696743604095445e-09
1915,2.0027295910551857e-07,4.712304768617059e-09
1916,1.1317086112683228e-07,0.0
1917,9.21179665880345e-08,2.1932848870420685e-09
1918,1.1486376383373909e-07,2.2972752589112133e-09
1919,1.629789148083205e-07,9.207848372660976e-10
1920,1.5447352552655502e-07,0.0
1921,1.7871684399040078e-07,0.0
1922,1.342784274882547e-07,0.0
1923,1.4437690154522898e-07,3.1847844361720945e-09
1924,1.2504875890329004e-07,0.0
1925,2.0016684487700331e-07,5.499089184013428e-09
1926,1.560459335081532e-07,6.687683296036084e-09
1927,1.0480271495083571e-07,3.3447675740205796e-09
1928,9.369354092569893e-08,3.4278122562625413e-09
1929,1.659920521035474e-07,4.4561625500705304e-09
1930,1.0398567162894778e-07,2.100720708497761e-09
1931,1.6195606988844702e-07,2.2810713318222042e-09
1932,1.0192369082062669e-07,1.0959536611565568e-09
1933,1.27324346621549e-07,3.4411986593596566e-09
1934,1.2101396329455838e-07,1.1981580172459871e-09
1935,8.736847689760907e-08,5.98414207075848e-09
1936,8.851041677360172e-08,1.2124714565686645e-09
1937,1.1457917281632035e-07,7.554670999887492e-09
1938,1.1279736789049366e-07,7.779128785578848e-09
1939,1.4529347325265007e-07,3.058810094103137e-09
1940,1.039670971536566e-07,1.01431314458722e-08
1941,1.0920559745386527e-07,0.0
1942,1.608132293995368e-07,0.0
1943,1.7129087925837894e-07,0.0
1944,1.2210107769305978e-07,3.2131861615880553e-09
1945,1.3071024795863195e-07,0.0
1946,6.9605523123073e-08,5.568441707737293e-09
1947,8.821444286155611e-08,1.1920870957027319e-09
1948,9.458542393758762e-08,1.0871887834440486e-09
1949,1.1387729959011494e-07,3.9268033269479474e-09
1950,1.1698897495193705e-07,2.1270722960764488e-09
1951,1.2473840094173738e-07,0.0
1952,1.6871685559749494e-07,4.2179215675730575e-09
1953,1.36827605246026e-07,1.0773827385790469e-09
1954,1.2899747581229803e-07,1.9545072227344917e-09
1955,1.586167783784731e-07,8.447047061821422e-09
1956,1.2820078154618386e-07,3.488456634670456e-09
1957,1.9083680768972044e-07,8.835037701437898e-10
1958,1.7123544004959967e-07,3.3088973783179654e-09
1959,1.3951346033991285e-07,6.200598257066758e-09
1960,1.7786541306463732e-07,3.460416619915918e-09
1961,1.6397655500099972e-07,2.779263708063695e-09
1962,1.5284114596170184e-07,4.4393695941558065e-09
1963,1.3966674750065522e-07,2.5864212993553792e-09
1964,1.2472134969243598e-07,1.825190498738749e-09
1965,1.302346355203099e-07,1.0944086747954884e-09
1966,1.2241355484832184e-07,3.3234448526542337e-09
1967,1.0846738263126099e-07,4.437302025817047e-09
1968,1.0869226407805854e-07,5.838840522187638e-09
1969,1.4715294938127954e-07,4.541757636644661e-09
1970,1.480789464380905e-07,5.978342709767048e-09
1971,1.0687866591752027e-07,1.0276794970565106e-09
1972,1.2363654100511212e-07,4.6171320100540925e-09
1973,1.334195331992305e-07,3.859242703185828e-09
1974,1.5582834045346772e-07,3.937900228123681e-09
1975,1.6620407095047085e-07,1.7134440533084216e-09
1976,1.5769333927551088e-07,4.570821499072508e-09
1977,1.0636975034117313e-07,5.876781838942691e-10
1978,1.4732666642203185e-07,2.3762365408686037e-09
1979,1.2932860826708747e-07,4.0963813452421505e-09
1980,1.404232214952117e-07,5.116635559687666e-09
1981,1.4232486833520852e-07,4.427884725544118e-09
1982,1.2042554153879337e-07,3.724501262958313e-09
1983,1.5346218695810876e-07,2.526126308133314e-09
1984,1.2409877925279034e-07,1.1598016991243298e-09
1985,1.4557650729329907e-07,6.015557940663996e-09
1986,1.4326819908205835e-07,5.994485463567401e-10
1987,1.3932662668025841e-07,4.888653482026939e-09
1988,1.3732108428143874e-07,1.798966087207532e-09
1989,1.6848535011604326e-07,8.232182935330457e-09
1990,1.7326709667031537e-07,3.2691906959314565e-09
1991,1.6822405513039485e-07,2.344586080837985e-09
1992,1.614413704942308e-07,2.7549720282848966e-09
1993,1.6949974224189646e-07,3.877445031719162e-09
1994,1.7196260770901972e-07,6.857404422078162e-09
1995,1.6430026583691415e-07,3.2534704930142766e-09
1996,1.8790084155284603e-07,2.135236876199542e-09
1997,1.5583406387520427e-07,3.3564262480467733e-09
1998,1.3589168013083963e-07,2.86087753487152e-09
1999,1.8829228665140363e-07,7.769341614505265e-09
2000,1.4888765598186637e-07,4.418031274155965e-09
2001,1.3362695838736727e-07,3.066848330846028e-09
2002,1.53342750053298e-07,3.9430991805033955e-09
2003,1.337582293814421e-07,2.9168460979889232e-09
2004,1.4756050248365682e-07,8.809582507929292e-10
2005,1.3286061317785425e-07,4.053374746959548e-09
2006,1.3012532029677004e-07,5.353256671281059e-09
2007,1.0944873807261501e-07,6.790614959228947e-09
2008,9.664388400665302e-08,3.405951826129794e-09
2009,1.0919160864375499e-07,1.430457752249481e-09
2010,1.2281861749841028e-07,4.723793023408973e-10
2011,1.166311474065651e-07,3.4415747474092484e-09
