year,ses_DET yeux_NOUN
1800,3.450406188676425e-05
1801,3.3608010426178225e-05
1802,2.996467912907974e-05
1803,3.191730081653077e-05
1804,3.6257108490644896e-05
1805,3.653950864190847e-05
1806,2.7900320105800347e-05
1807,2.5616901552893978e-05
1808,2.9701432595174992e-05
1809,2.538472597279906e-05
1810,3.952474207835621e-05
1811,2.8826368634327082e-05
1812,2.6912131033896003e-05
1813,3.0379334930330515e-05
1814,2.5497525143691746e-05
1815,2.351709167669469e-05
1816,2.675673772500886e-05
1817,2.7477259322949976e-05
1818,3.165191753851104e-05
1819,3.0402068318835518e-05
1820,3.261027802636818e-05
1821,2.9223534284028574e-05
1822,3.093103043738665e-05
1823,2.8087584837521717e-05
1824,3.0324426234074053e-05
1825,2.9271052994772617e-05
1826,2.7310917516842892e-05
1827,2.4136350816661434e-05
1828,2.6153899625569466e-05
1829,2.669258390142204e-05
1830,3.08471114749409e-05
1831,2.804078428653156e-05
1832,3.4198352295788936e-05
1833,3.1413643000632874e-05
1834,2.9645537324540783e-05
1835,3.165833015827957e-05
1836,3.0483977525364025e-05
1837,2.8849502314187703e-05
1838,2.710189926347084e-05
1839,2.691787892672437e-05
1840,2.7604320052887488e-05
1841,2.719680185236939e-05
1842,2.9066241268083104e-05
1843,2.808913404805935e-05
1844,3.03308877391828e-05
1845,3.0301753554340394e-05
1846,2.741311720910744e-05
1847,2.5968371005546942e-05
1848,2.4697221988390083e-05
1849,2.4393314902226848e-05
1850,2.5292405553045683e-05
1851,2.3733934881420282e-05
1852,2.6593624511406233e-05
1853,2.850403097909293e-05
1854,2.9359140512497106e-05
1855,3.1411229883815395e-05
1856,2.945717051261454e-05
1857,2.9637593456754985e-05
1858,3.2142153486347524e-05
1859,3.377689392891625e-05
1860,3.403914411137521e-05
1861,3.206100916486321e-05
1862,3.181746592417767e-05
1863,3.1499575811722025e-05
1864,3.088284211116843e-05
1865,3.0833125492790714e-05
1866,3.026362662694737e-05
1867,2.9755984428447846e-05
1868,2.7807538685920008e-05
1869,3.133558868739783e-05
1870,2.7837659672513837e-05
1871,2.523166926948761e-05
1872,2.850897101325245e-05
1873,2.59906325936754e-05
1874,2.674354573173332e-05
1875,2.760522409062105e-05
1876,2.577174291218398e-05
1877,2.7753742756431166e-05
1878,2.380186060690903e-05
1879,2.6109422719855502e-05
1880,2.544547635352501e-05
1881,2.6306573772671982e-05
1882,2.7382916186979855e-05
1883,2.506439420812967e-05
1884,2.6408109079056885e-05
1885,2.534423981614964e-05
1886,2.5025241370713047e-05
1887,2.5954434477171162e-05
1888,2.543030336710217e-05
1889,2.489201551725273e-05
1890,2.4050009869824862e-05
1891,2.3258890792021703e-05
1892,2.3844168026698753e-05
1893,2.403075677648303e-05
1894,2.451361785915651e-05
1895,2.5231236463696405e-05
1896,2.5228078925465525e-05
1897,2.4360906650144898e-05
1898,2.444579104121658e-05
1899,2.457008554301865e-05
1900,2.5483398189862783e-05
1901,2.4263509772026737e-05
1902,2.0536279976113292e-05
1903,2.296767604548222e-05
1904,2.162480484457774e-05
1905,2.1227749357422e-05
1906,2.3070638349054207e-05
1907,2.2676854200653906e-05
1908,2.4040759058152616e-05
1909,2.5009121486618824e-05
1910,2.574544578237692e-05
1911,2.3100532303033106e-05
1912,2.394510534031724e-05
