year,aux_ADP arbres_NOUN,aux_ADP marbres_NOUN
1800,2.729134664036792e-06,8.803660733747165e-08
1801,2.078772435964993e-06,1.2858386355674156e-07
1802,1.946920860973478e-06,1.3874608839614666e-07
1803,4.249789107291235e-06,6.241085648284184e-08
1804,4.170012644522103e-06,9.640218934237055e-08
1805,3.3318527314918356e-06,2.55858996212055e-08
1806,1.948008243601862e-06,7.492339904047185e-08
1807,1.8305920832517586e-06,7.117387923472052e-08
1808,2.089320306097875e-06,1.2916622127434607e-07
1809,3.2281545578882742e-06,2.9367397402779716e-08
1810,1.759775322796031e-06,2.574139479349924e-08
1811,1.8502226843963854e-06,5.515568801683912e-08
1812,1.2935960427284954e-06,3.200649700829672e-08
1813,1.423492111740643e-06,7.189353823378042e-08
1814,1.0667235375017015e-06,1.2586708564299443e-08
1815,1.0006699606712743e-06,1.8880564667256294e-08
1816,2.697690888453508e-06,1.622322720606917e-08
1817,2.0753122056405005e-06,8.407116069975018e-08
1818,1.5807481368312892e-06,1.227881227805483e-07
1819,1.4098129614836807e-06,6.521161566297451e-08
1820,1.556882315512098e-06,2.1359666035891678e-08
1821,1.1833785751313997e-06,1.4989461760706035e-07
1822,1.1669817325810072e-06,7.920236555492011e-08
1823,1.4389191553831893e-06,5.929612001409623e-08
1824,1.0812709163587897e-06,7.915846111927749e-08
1825,1.6791979362551501e-06,1.2944001070991362e-07
1826,1.5634171788292406e-06,4.932471231455793e-08
1827,1.5236152632880362e-06,6.175572764277604e-08
1828,1.2639431000716073e-06,6.328887747208967e-08
1829,1.580893632890934e-06,9.001834788691099e-08
1830,1.414191280524335e-06,8.036363685626213e-08
1831,1.7306239072922835e-06,4.5214498811674275e-08
1832,1.7007171155825063e-06,1.474766704312458e-07
1833,1.8533805210552146e-06,1.0425265739577583e-07
1834,1.7520914443736046e-06,9.241185594532908e-08
1835,1.7682499589000145e-06,5.52105419160398e-08
1836,1.6969893490426102e-06,8.400937900887584e-08
1837,1.5488265390217748e-06,6.679575115242642e-08
1838,1.3627957908823873e-06,6.56464820281144e-08
1839,1.2976178176415942e-06,9.368577025270497e-08
1840,1.1166063798029313e-06,5.159447979963261e-08
1841,1.3932589997267542e-06,1.0658110749517391e-07
1842,1.4040399198833597e-06,7.177843741601464e-08
1843,1.2180050630306027e-06,8.565020964690362e-08
1844,1.3968388814511457e-06,5.927646118397689e-08
1845,1.22151189430042e-06,4.51998474204629e-08
1846,1.2979429264703413e-06,7.259581980001428e-08
1847,1.1115434368491606e-06,6.040410482910374e-08
1848,1.2140240048807982e-06,5.7121075647259545e-08
1849,1.913858373114863e-06,5.446619866233959e-08
1850,1.4134690191625054e-06,5.091746846375145e-08
1851,1.36986078480561e-06,8.25528145842469e-08
1852,1.3724229859235493e-06,7.487127051675202e-08
1853,1.34846224764118e-06,5.971931926751495e-08
1854,1.3539901004833155e-06,6.442624012059639e-08
1855,1.305506515336674e-06,1.1675261291088646e-07
1856,1.3227718955732826e-06,1.0561466340375247e-07
1857,1.5122914787113473e-06,7.859229933515621e-08
1858,1.2336956700664814e-06,7.732008361349685e-08
1859,1.3570641854698806e-06,5.3467818617036755e-08
1860,1.3827672713517813e-06,6.774232311212991e-08
1861,1.5284438270590783e-06,6.649509060041581e-08
1862,1.417744117659936e-06,9.216692126168269e-08
1863,1.5108728490531576e-06,3.396342079797776e-08
1864,1.3257422626367088e-06,6.664671858835902e-08
1865,1.4760663349377978e-06,5.601144792422019e-08
1866,1.3487478920382046e-06,3.0166800613073974e-08
1867,1.483989777284478e-06,5.143979997512815e-08
1868,1.5170353666604797e-06,7.162817572403668e-08
