year,les_DET eaux_NOUN,les_DET maux_NOUN
1800,6.798626600357238e-05,1.92014128970186e-05
1801,5.570538405663683e-05,2.1152044269001635e-05
1802,6.57835489619174e-05,1.9205144553779974e-05
1803,6.877285841255798e-05,1.750819501467049e-05
1804,6.552382501467946e-05,2.0719054646178847e-05
1805,6.032870669514523e-05,1.931735442894933e-05
1806,5.051277844358992e-05,1.6226679463215987e-05
1807,5.490352896231343e-05,1.7904500793974876e-05
1808,5.092548053653445e-05,1.5377577881281468e-05
1809,5.907139029659447e-05,1.7028571448918228e-05
1810,5.2238649459468434e-05,1.809619971027132e-05
1811,5.3568709972751094e-05,1.422264676875784e-05
1812,5.794242997581023e-05,1.5045721625028818e-05
1813,4.849650667893002e-05,1.6104152450679976e-05
1814,4.401571959533612e-05,2.3744825853100338e-05
1815,5.169229098100914e-05,2.154542096377554e-05
1816,5.242188080956112e-05,2.000787503675383e-05
1817,4.4865978225061554e-05,1.953409139332507e-05
1818,5.1160924613213865e-05,1.9451785817636846e-05
1819,4.7381931381096365e-05,2.0381217268550245e-05
1820,3.839281180262333e-05,2.1610048520415148e-05
1821,3.80860542463779e-05,2.1662732024196885e-05
1822,4.8787653213366866e-05,2.0507396925495414e-05
1823,3.7892198633926455e-05,1.945802284808451e-05
1824,4.0812080214891466e-05,1.805907612606461e-05
1825,4.547130765786278e-05,1.795429830053763e-05
1826,4.5599815848618164e-05,1.826687849870723e-05
1827,4.266859968993231e-05,1.5229700608188068e-05
1828,4.227238491694152e-05,1.526729522538517e-05
1829,4.606024685926968e-05,1.4181748269948002e-05
1830,4.466026530280942e-05,1.3936306856976444e-05
1831,4.8145645450858865e-05,1.2820649033074005e-05
1832,4.258693161318661e-05,1.3923691881245759e-05
1833,5.670186237693997e-05,1.455830425811655e-05
1834,4.441183205017296e-05,1.5662409850847325e-05
1835,5.218606474954868e-05,1.424280708306469e-05
1836,4.175064509581716e-05,1.5064560898281343e-05
1837,4.713414455181919e-05,1.3302791614933085e-05
1838,4.5350988330028486e-05,1.3200624351838997e-05
1839,4.228024772601202e-05,1.2027434451056251e-05
1840,4.3711350599551224e-05,1.3967453242003103e-05
1841,4.367578185338061e-05,1.2634355556429e-05
1842,3.850678172057087e-05,1.2945610080805636e-05
1843,4.213517991047411e-05,1.275243073450838e-05
1844,4.2020973978651455e-05,1.343489986993518e-05
1845,4.3623432247841265e-05,1.2893116291934348e-05
1846,4.385255556371703e-05,1.2183217734218488e-05
1847,3.948055450564425e-05,1.1773946425819304e-05
1848,4.3825539705721894e-05,1.1712233998650845e-05
1849,4.31640432907443e-05,1.1019768180631218e-05
1850,3.981474583270028e-05,1.1567770684450807e-05
1851,4.472298724067514e-05,1.1468391932112354e-05
1852,4.753544521918229e-05,1.2018467117513865e-05
1853,4.7953417379176244e-05,1.2389369942411577e-05
1854,4.652613529287919e-05,1.3498336272732558e-05
1855,4.722218659480859e-05,1.1889131371844996e-05
1856,4.4654809698840836e-05,1.2369340112172722e-05
1857,4.9362308800482424e-05,1.1030258207256338e-05
1858,4.278541041458084e-05,1.0221421490541616e-05
1859,4.789290733242524e-05,1.0308595705055268e-05
1860,4.40297640125209e-05,1.0196134837769932e-05
1861,4.351419875092688e-05,1.0428881950019786e-05
1862,4.55652457276301e-05,1.0759583972230757e-05
1863,4.365847894405306e-05,1.0965689767772346e-05
1864,4.697203030445962e-05,1.0188796892407481e-05
1865,4.387814396977774e-05,1.0396478074881088e-05
1866,4.269624105290859e-05,1.0470312645338709e-05
1867,4.248054256095202e-05,8.753501560931909e-06
1868,4.514106421993347e-05,8.453606682223835e-06
