year,vastes_ADJ marais_NOUN
1800,1.9493819536364754e-07
1801,8.096020565062645e-08
1802,1.0741632650024258e-07
1803,2.2038832980797451e-07
1804,3.287561867182376e-07
1805,2.04687196969644e-07
1806,1.930718269704812e-07
1807,1.8789903322158352e-07
1808,1.3143228727585665e-07
1809,1.603911670144953e-07
1810,1.4742798271072388e-07
1811,1.6295999216708879e-07
1812,1.1735716043403954e-07
1813,1.3803560250380542e-07
1814,1.4160046646338742e-07
1815,1.9420009778059466e-07
1816,1.4369143741532753e-07
1817,1.370048607896024e-07
1818,1.585516571367407e-07
1819,1.3456364911235141e-07
1820,1.3053129066520341e-07
1821,7.790576006527772e-08
1822,1.2732532184145384e-07
1823,1.7690010167825676e-07
1824,1.4905369027928828e-07
1825,9.862095851076447e-08
1826,1.2859656806085695e-07
1827,1.7328473234101693e-07
1828,9.630916508740484e-08
1829,1.8775256194203394e-07
1830,1.763825281386744e-07
1831,1.4187997976478073e-07
1832,1.6371262745451531e-07
1833,2.7337364372215234e-07
1834,1.8389026479326276e-07
1835,1.8151411040889798e-07
1836,1.1761312634916976e-07
1837,1.593356984130878e-07
1838,2.1082620094148297e-07
1839,1.50316722624666e-07
1840,2.08925783340419e-07
1841,1.2584274600158096e-07
1842,1.1873628835701311e-07
1843,1.222730645622505e-07
1844,1.6904768074255117e-07
1845,2.0591041050010972e-07
1846,1.2587177877776412e-07
1847,1.5478552484182728e-07
1848,1.0378335701943797e-07
1849,1.3993623326769011e-07
1850,9.165144376765966e-08
1851,1.4188765362632694e-07
1852,9.830923630715915e-08
1853,1.7736637403231725e-07
1854,1.7405476171461487e-07
1855,2.0484776541707106e-07
1856,1.1752219819527454e-07
1857,1.2838368945722323e-07
1858,1.1646948649968181e-07
1859,1.1202781280417184e-07
1860,1.2907658231142705e-07
1861,8.913171711810719e-08
1862,1.0617267776069639e-07
1863,8.041339327746755e-08
1864,8.630509995555258e-08
1865,1.1578837444403689e-07
1866,9.585257743083275e-08
1867,9.851207494193659e-08
1868,8.842374654705054e-08
1869,8.25314714347769e-08
1870,1.1640118913192055e-07
1871,8.815577245968598e-08
1872,1.1913258646245595e-07
1873,7.18320549708551e-08
1874,1.3203886339852033e-07
1875,1.1156978274584617e-07
1876,1.0096844960116869e-07
1877,1.3421050937267864e-07
1878,1.1776222663684166e-07
1879,9.286174673661662e-08
1880,9.562590719269792e-08
1881,1.2132163362821302e-07
1882,7.320923600673268e-08
1883,1.0679682560521542e-07
1884,1.1156868140460574e-07
1885,6.574548194748786e-08
1886,1.0519146087517584e-07
1887,8.291734587828614e-08
1888,7.989174832800927e-08
1889,5.200063668553412e-08
1890,7.537544632896243e-08
1891,6.437961985739094e-08
1892,1.0217674883961081e-07
1893,8.375446469699455e-08
1894,4.600123659770361e-08
1895,5.1760085995056215e-08
1896,3.3023361822870356e-08
1897,3.612562338162206e-08
1898,4.0174320758978865e-08
1899,6.080335879232734e-08
1900,5.398695179792412e-08
1901,6.203499935963919e-08
1902,5.794134949610452e-08
1903,7.722314876446035e-08
1904,6.019580212068831e-08
1905,5.625227217365136e-08
1906,5.452835694086389e-08
1907,4.577130496841164e-08
1908,4.174680867663483e-08
1909,2.7504917454734823e-08
1910,2.4583092894658876e-08
1911,6.650467554436545e-08
1912,3.80287765722187e-08
1913,3.340883480973389e-08
1914,3.683209115479258e-08
1915,6.950649833470379e-08
1916,4.724608615447323e-08
1917,4.276905585243185e-08
1918,5.054005569604669e-08
1919,2.5781975665495338e-08
1920,3.407504323149624e-08
1921,4.392193631019836e-08
1922,3.32007097370024e-08
1923,2.5478275489376756e-08
1924,2.836157442231979e-08
1925,2.969508017258704e-08
1926,3.78968714187522e-08
1927,3.3447673075670536e-08
1928,3.5420729460611255e-08
1929,3.676334259239411e-08
1930,3.151081173768944e-08
1931,4.676196141417677e-08
1932,2.082311922890767e-08
1933,3.326492148403304e-08
1934,4.553000465534751e-08
1935,2.6330225111337313e-08
1936,3.6374142808881516e-08
1937,2.392312481447334e-08
1938,3.759912203804561e-08
1939,3.364691281149135e-08
1940,4.057252667166722e-08
1941,2.9515025090631752e-08
1942,5.158160121254696e-08
1943,3.774205836748479e-08
1944,3.213186161588055e-08
1945,3.267756198965799e-08
1946,1.9489545977080525e-08
1947,3.2186353138285995e-08
1948,2.717971980814582e-08
1949,5.3993545634511975e-08
1950,1.595304155443955e-08
1951,3.1984203729962246e-08
1952,3.1634410646574906e-08
1953,2.5857186614075545e-08
1954,4.10446503451567e-08
1955,2.0648336374051723e-08
1956,2.703553825256222e-08
1957,1.5903067307476704e-08
1958,2.0680609225109947e-08
1959,2.40273188012452e-08
1960,2.9759583242139342e-08
1961,2.36237411854745e-08
1962,1.8391673961559718e-08
1963,2.2631185814248056e-08
1964,3.346182708696688e-08
1965,1.860494691641179e-08
1966,2.326411419062424e-08
1967,2.7609878827661305e-08
1968,3.6829611360644776e-08
1969,2.634219598007803e-08
1970,2.115413444414571e-08
1971,2.0553589052951793e-08
1972,2.4111690422046195e-08
1973,2.0950174928202614e-08
1974,1.7439271360331077e-08
1975,1.9419033492340532e-08
1976,2.2282755196556536e-08
1977,2.703319701424789e-08
1978,2.1386128423728223e-08
1979,1.0533551808578068e-08
1980,2.8425754194927322e-08
1981,1.707898356073656e-08
1982,1.6760255405756652e-08
1983,1.8314416649900522e-08
1984,1.8556827185989277e-08
1985,1.142956040922627e-08
1986,1.019062523255343e-08
1987,1.7721369260925712e-08
1988,1.6190695006912392e-08
1989,1.5366742545097622e-08
1990,1.1442167213715493e-08
1991,1.3481369798284959e-08
1992,1.2121876835635703e-08
1993,1.3294098266669607e-08
1994,7.384897138251745e-09
1995,1.3556126887692699e-08
1996,1.6548085568501847e-08
1997,1.006927874414032e-08
1998,1.2873949017944142e-08
1999,1.553868322901053e-08
2000,1.6346715980830595e-08
2001,1.1391150245287918e-08
2002,1.1829298429688606e-08
2003,1.2500768420409258e-08
2004,1.2333415178034102e-08
2005,1.1259373877692269e-08
2006,9.471146533712727e-09
2007,1.3980677948666198e-08
2008,1.5326783397995314e-08
2009,1.8119131084404216e-08
2010,1.4643758206034363e-08
2011,1.606068167347985e-08
2012,1.974466634635519e-08
2013,1.2551062411603198e-08
2014,1.3209215943277286e-08
2015,2.349569960813369e-08
2016,2.8998760726040018e-08
2017,1.3081178806828575e-08
2018,2.1426172835958823e-08
2019,2.0663000199760972e-08
