year,autres_ADJ êtres_NOUN,autres_ADJ etres_NOUN,autres_ADJ mètres_NOUN
1800,1.3708556707570096e-06,0.0,0.0
1801,1.250120817530842e-06,0.0,7.143547975374531e-09
1802,1.1748660426746937e-06,6.713520406265161e-09,0.0
1803,1.7631066384637961e-06,5.851017670366332e-09,1.950339223455444e-09
1804,1.1444669780757977e-06,2.4718509461507665e-09,0.0
1805,1.4242817769627436e-06,1.421438877713399e-08,8.528632911009026e-09
1806,8.270390594589117e-07,1.3832011802605848e-07,0.0
1807,7.829126502656436e-07,3.4732852327579167e-07,1.1387820464392462e-08
1808,9.336224593425868e-07,1.3596443526608937e-08,0.0
1809,7.545161793132138e-07,0.0,4.518061036407062e-09
1810,7.067182536957262e-07,0.0,9.594519667643908e-08
1811,2.8831382792304794e-07,3.008491944456182e-08,5.0141535368197765e-09
1812,5.014351245336002e-07,0.0,1.1735716043403954e-07
1813,4.744973693959764e-07,4.026038169513413e-08,8.627225156487839e-09
1814,3.8704129678990284e-07,0.0,0.0
1815,9.035699122250662e-07,0.0,5.394447111228828e-09
1816,1.6269578964056564e-06,4.6352077731626196e-09,0.0
1817,1.8993855519511271e-06,1.556873407970727e-09,0.0
1818,1.6212801483561634e-06,2.384235475716423e-09,2.384235475716423e-09
1819,1.2152132740084198e-06,5.175525119582858e-09,2.070210003424222e-09
1820,1.0193307389272377e-06,1.898636980968149e-08,1.1866481131050932e-08
1821,1.0502485565666575e-06,4.930744257336528e-09,2.9584463767662328e-09
1822,1.1208638852622244e-06,1.1028177482330648e-08,0.0
1823,7.421897976200853e-07,4.941343556552624e-09,1.9765373338032077e-08
1824,8.463218250653881e-07,8.421112696055388e-09,1.6842225392110777e-08
1825,8.338754469150444e-07,8.805443041381977e-10,5.283265824829186e-09
1826,8.42924123389821e-07,1.7615968683770689e-09,1.2331177856594877e-08
1827,8.27711119200103e-07,9.217273055917019e-10,1.013900075008678e-08
1828,9.906085551847355e-07,1.8344602503717056e-09,1.4675682002973645e-08
1829,9.344761906504573e-07,0.0,1.971830521085849e-08
1830,8.787815772848262e-07,5.218417920005436e-09,4.174734336004349e-09
1831,8.621937013231218e-07,4.677361609140007e-09,9.354723218280014e-09
1832,8.320931215166638e-07,0.0,5.411987746839486e-09
1833,8.5487175738308e-07,2.3167257001688313e-09,1.2741991461950875e-08
1834,7.74766078848188e-07,2.8003592777992026e-09,1.7735608537350345e-08
1835,9.370666020913632e-07,4.5378527602224494e-09,7.563087933704082e-09
