year,autres_ADJ archers_NOUN,autres_ADJ marchés_NOUN
1800,3.144164395507687e-08,6.288328791015374e-08
1801,2.3811825844433088e-09,1.3334621939975477e-07
1802,0.0,1.5217312920867698e-07
1803,0.0,9.361627917314763e-08
1804,2.4718509461507665e-09,7.909923027682453e-08
1805,2.842877711017877e-09,1.0802935435094696e-07
1806,5.76333825108577e-09,8.06867319624871e-08
1807,8.540865792383556e-09,4.839823830593559e-08
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,0.0,3.6144488291256494e-08
1810,1.8721014072298203e-08,2.574139479349924e-08
1811,2.5070767684098882e-09,8.273353557797236e-08
1812,0.0,4.000812481308458e-08
1813,2.8757416448144113e-09,7.476928232108548e-08
1814,1.2586708564299443e-08,9.754699448194515e-08
1815,5.394447111228828e-09,6.74305908887618e-08
1816,0.0,5.3304887615013286e-08
1817,1.556873407970727e-09,4.826307531402563e-08
1818,4.768470951432846e-09,3.9339884239097955e-08
1819,7.24573512300708e-09,3.519356894798875e-08
1820,1.779972080839798e-08,1.293446416639199e-07
1821,2.2681422962023134e-08,3.4515210245444905e-08
1822,4.010246357211145e-09,3.8097340393505874e-08
1823,4.941343334508019e-09,4.941343334508019e-08
1824,3.9579230559638745e-08,4.968456579490521e-08
1825,4.226612659863349e-08,4.490776106536032e-08
1826,1.8496766784892316e-08,4.580151724553616e-08
1827,2.3043183361437514e-08,6.267745789045875e-08
1828,2.2013523448549677e-08,5.77854990524429e-08
1829,7.715858174606183e-09,4.9724420136953995e-08
1830,2.1917355041978226e-08,9.810625556383457e-08
1831,7.795603274018958e-09,1.0602020239502963e-07
1832,2.570694235259907e-08,3.92369123858316e-08
1833,8.108539617524002e-09,4.749287541017111e-08
1834,1.9602515166639023e-08,5.694063887062839e-08
1835,2.117664621437143e-08,7.865611451052246e-08
1836,3.8308275662757296e-08,5.040562456315456e-08
1837,3.409366655660051e-08,7.792837664055696e-08
1838,4.3553917805638775e-08,6.375283589932224e-08
1839,2.0974425751774106e-08,9.718150550952487e-08
1840,1.9746034141121527e-08,6.051204337609306e-08
1841,1.3483152372373297e-08,1.020867186340979e-07
1842,8.049918065466954e-09,1.1471133376517173e-07
1843,2.0674189471492355e-08,9.923610377882142e-08
1844,1.1525978393933656e-08,1.7782939210064796e-07
1845,1.674068350610014e-08,1.0937246486264485e-07
