year,puissions_VERB hériter_VERB,puissions_VERB mériter_VERB
1800,0.0,1.2576657937302116e-08
1801,0.0,2.6193008650921e-08
1802,0.0,6.713520406265161e-09
1803,0.0,9.751696339321825e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,7.521229861140455e-09
1812,1.8670457180292033e-08,8.00162425207418e-09
1813,0.0,1.4378708002027452e-08
1814,0.0,6.293354282149721e-09
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,1.8682481339737933e-08
1818,0.0,1.4305412854298538e-08
1819,0.0,8.280840013696888e-09
1820,0.0,4.746592452420373e-09
1821,1.2819934447350079e-08,9.861488514673056e-09
1822,3.0076847679083585e-09,1.303330066093622e-08
1823,0.0,1.9765373782121287e-09
1824,8.421112696055388e-10,9.263223965660927e-09
1825,0.0,3.522177216552791e-09
1826,0.0,2.642395191543301e-09
1827,0.0,8.295545583791863e-09
1828,0.0,5.503380862137419e-09
1829,0.0,3.429270423183084e-09
1830,0.0,2.922314124020886e-08
1831,0.0,2.6505050598757407e-08
1832,0.0,2.705993873419743e-09
1833,0.0,1.3900354645102198e-08
1834,0.0,3.733812370398937e-09
1835,0.0,5.294161553592858e-09
1836,6.720750067579218e-10,2.016224964762614e-09
1837,0.0,1.3219993100221927e-08
1838,0.0,1.3255539776935166e-08
1839,0.0,6.292327547896548e-09
1840,0.0,7.0066574764382494e-09
1841,0.0,5.1364388298225094e-09
1842,6.708265054555795e-10,1.0733224087289273e-08
1843,0.0,1.0041748765843295e-08
1844,0.0,2.195424508855126e-09
1845,0.0,1.2276501593078137e-08
1846,0.0,2.9272506640865004e-09
1847,0.0,7.550513103637968e-09
1848,0.0,8.04522137798358e-09
1849,0.0,0.0
1850,0.0,9.504594444820214e-09
1851,0.0,6.449438760824933e-10
1852,0.0,8.463708844885787e-09
1853,0.0,1.7915795513800958e-09
1854,0.0,2.0263090760863633e-08
1855,0.0,1.1675261646360013e-08
1856,0.0,9.836659486950339e-09
1857,0.0,6.345961978126979e-09
1858,0.0,3.9149408159744326e-09
1859,0.0,1.018434669930457e-08
1860,0.0,5.492620580582752e-09
1861,0.0,3.772770984511453e-09
1862,0.0,1.671654992208005e-08
1863,0.0,9.989241434027463e-09
1864,0.0,8.151037178549814e-09
1865,0.0,7.530950973944073e-09
1866,0.0,1.6543083347642096e-08
1867,4.85281148598915e-10,1.261730986357179e-08
1868,0.0,8.397785578040384e-09
1869,0.0,6.348574999037737e-09
1870,0.0,9.747882501187632e-09
1871,0.0,8.496941816815706e-09
1872,0.0,3.0236697590169115e-09
1873,0.0,1.7958012854535355e-09
1874,0.0,2.3898436563030145e-09
1875,0.0,4.005069165202713e-09
1876,0.0,6.650616057868319e-09
1877,4.9478527941460015e-09,3.0924081073635534e-09
1878,0.0,1.2078177347163432e-09
1879,0.0,2.443730107160036e-09
1880,1.2835692508872398e-09,3.2089231272180996e-09
1881,6.972507571312292e-10,4.183504653809678e-09
1882,6.655385131892899e-10,4.6587693702804245e-09
1883,0.0,6.319338941018771e-10
1884,0.0,2.6406787867472303e-09
1885,0.0,3.2228177904158883e-09
1886,0.0,9.034849313138693e-09
1887,0.0,1.9586774424595887e-09
1888,0.0,1.9021844099853524e-09
1889,0.0,2.5060546970934183e-09
1890,0.0,1.3108772956016423e-09
1891,0.0,3.824531802365527e-09
1892,0.0,1.8805537127519756e-09
1893,0.0,5.542574843531156e-09
1894,0.0,3.150769645188234e-09
1895,0.0,6.018614495673091e-10
1896,0.0,2.358811590497112e-09
1897,0.0,1.1653427112179315e-09
1898,0.0,2.8291773368493978e-09
1899,0.0,5.527578395003729e-10
