year,nouveaux_ADJ archers_NOUN,nouveaux_ADJ marchés_NOUN
1800,0.0,4.087413785214267e-08
1801,0.0,1.6668277424969347e-08
1802,0.0,6.713520406265161e-09
1803,0.0,2.145373123596528e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,2.881669125542885e-09,1.152667650217154e-08
1807,0.0,2.562259560079383e-08
1808,9.064295980465431e-09,9.064295980465431e-09
1809,0.0,4.0662548883574345e-08
1810,0.0,2.106114038724627e-08
1811,0.0,0.0
1812,0.0,1.600324850414836e-08
1813,0.0,4.601186631703058e-08
1814,0.0,7.552024783308298e-08
1815,0.0,3.236668177919455e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,2.490997452753163e-08
1818,0.0,1.7881765401739358e-08
1819,4.140420006848444e-09,4.140419918030602e-08
1820,0.0,4.153268307049984e-08
1821,0.0,4.6348993976153e-08
1822,0.0,4.511527151862538e-08
1823,0.0,7.906149335212831e-08
1824,0.0,5.642145595174952e-08
1825,0.0,8.541280038798504e-08
1826,0.0,6.253669226907732e-08
1827,0.0,5.438191053031005e-08
1828,0.0,5.6868266540277546e-08
1829,0.0,6.344150449422159e-08
1830,0.0,4.905312778191728e-08
1831,0.0,5.456922025359745e-08
1832,0.0,5.547287429408243e-08
1833,0.0,4.865124125785769e-08
1834,1.5868701908061666e-08,8.401077877806529e-08
1835,0.0,2.117664621437143e-08
1836,0.0,3.8308275662757296e-08
1837,0.0,4.174734513640033e-08
1838,0.0,3.597932263232906e-08
1839,2.0974426639952526e-09,5.872839281551023e-08
1840,0.0,4.713569623504554e-08
1841,0.0,3.467096121312352e-08
1842,2.0124795163667386e-09,4.8299508392801727e-08
1843,2.953455480181333e-09,9.214781471200695e-08
1844,9.330554107123135e-09,8.232841963717874e-08
1845,2.7901139176833567e-09,7.031087534414837e-08
1846,0.0,8.313391930414582e-08
1847,0.0,1.094824426672858e-07
1848,1.045878850192139e-08,1.1102405750307298e-07
1849,0.0,7.709061833338637e-08
1850,0.0,6.85688590351674e-08
1851,0.0,9.867641637129054e-08
1852,0.0,5.859491025717034e-08
1853,2.9859659189668264e-09,1.0331442013011838e-07
1854,0.0,5.507404310378661e-08
1855,5.306937111981824e-10,4.563965916304369e-08
1856,5.177189343896771e-09,4.34883880018333e-08
1857,0.0,9.323682093054231e-08
1858,0.0,6.753273140702731e-08
1859,0.0,8.503929649350539e-08
1860,0.0,5.858795404378725e-08
1861,0.0,1.1837069280318246e-07
1862,0.0,7.002878987805161e-08
1863,0.0,7.641769883548477e-08
1864,6.233146443435089e-09,1.0836085095888848e-07
1865,4.706844358715045e-10,7.860430173423083e-08
1866,0.0,4.379051787850585e-08
1867,4.367530337390235e-09,7.76449837758264e-08
1868,0.0,5.3844626535237694e-08
1869,0.0,3.41846337903462e-08
1870,1.7202146374017957e-09,2.1789386295267832e-08
1871,0.0,5.416800519242315e-08
1872,0.0,7.196333484671413e-08
1873,5.986004469882289e-10,6.9437653849036e-08
1874,5.974609140757536e-10,9.200898176686678e-08
1875,0.0,7.037478155780263e-08
1876,1.209202959984168e-09,1.1729268578619667e-07
1877,6.184815992682502e-10,8.040260723873871e-08
1878,0.0,7.0657335982105e-08
1879,5.498392852132383e-09,9.04180126326537e-08
1880,0.0,7.765594034481182e-08
1881,0.0,8.645909588267386e-08
1882,0.0,7.254369904785563e-08
1883,0.0,8.847074184359371e-08
1884,0.0,7.988053596363898e-08
1885,2.5782542767416317e-09,1.1602143956679356e-07
1886,5.162771099520569e-09,7.550552538759803e-08
1887,0.0,7.76942030711325e-08
1888,0.0,8.496423475889969e-08
1889,1.2530273485467092e-09,9.773613385277713e-08
1890,1.3108772956016423e-09,7.537544632896243e-08
1891,2.5496880162734215e-09,1.1601080274203923e-07
1892,0.0,8.901287884555131e-08
1893,0.0,1.4225942379653134e-07
1894,6.301539290376468e-10,7.246769939683873e-08
1895,0.0,9.870527861721712e-08
1896,2.358811590497112e-09,1.2914493652260717e-07
1897,5.826713556089658e-10,1.1711694514193738e-07
1898,2.26334195829736e-09,1.5107806916603295e-07
1899,2.2110313580014918e-09,1.7743526825597655e-07
1900,5.191053142894475e-10,1.541742733479623e-07
1901,0.0,1.525725715212367e-07
1902,4.910283846193408e-10,1.6154834270309948e-07
1903,0.0,1.301453049773471e-07
1904,1.0749250378694342e-09,1.456523364140594e-07
1905,1.0321518084666081e-09,1.3882441862733685e-07
1906,0.0,1.4969576511703053e-07
1907,5.142843373384665e-10,1.439996140106814e-07
1908,1.4734167219643268e-09,1.512707825668258e-07
1909,0.0,1.765815653698155e-07
1910,0.0,1.1970897162427718e-07
1911,0.0,1.2236860413850081e-07
1912,0.0,1.3857059855126863e-07
1913,0.0,9.545381335351877e-08
1914,6.696743715117748e-10,1.372832514334732e-07
1915,1.1780761921542648e-09,2.203002509304497e-07
1916,0.0,2.505141480924067e-07
1917,0.0,2.017822140487624e-07
1918,1.1486376294556067e-09,1.9067384471327387e-07
1919,9.207848372660976e-10,1.5561263921881618e-07
1920,0.0,1.3402849674548634e-07
1921,0.0,1.2267851445812994e-07
1922,0.0,1.372296054569233e-07
1923,0.0,8.174279741979262e-08
1924,0.0,1.3922954167355783e-07
1925,2.1996355847875293e-09,9.788378463326808e-08
1926,1.1146138456652466e-09,1.4601441478134802e-07
1927,0.0,1.3267577969600097e-07
1928,0.0,1.2682906458394427e-07
1929,0.0,1.4482527888048935e-07
1930,0.0,1.7646054573106085e-07
1931,0.0,1.710803445575948e-07
1932,0.0,1.6658495383126137e-07
1933,0.0,1.9958952179877087e-07
