year,nombreux_ADJ effets_NOUN,nombreux_ADJ méfaits_NOUN
1800,3.144164484325529e-09,0.0
1801,2.8574191901498125e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,4.095712213825209e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,3.695740957709859e-08,0.0
1806,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,0.0,0.0
1809,1.8072244145628247e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,3.200649700829672e-08,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,3.776012391654149e-08,0.0
1815,3.236668177919455e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,2.80237220096069e-08,1.556873407970727e-09
1818,4.410835785506606e-08,2.384235475716423e-09
1819,3.519356894798875e-08,0.0
1820,1.1866481131050932e-09,1.1866481131050932e-08
1821,5.621048160264763e-08,0.0
1822,1.0025615893027862e-08,5.012807946513931e-09
1823,1.7788837070042973e-08,0.0
1824,1.2631669044083083e-08,3.3684450784221553e-09
1825,5.283265824829186e-09,0.0
1826,1.8496766784892316e-08,0.0
1827,2.2121454890111636e-08,1.2904182611350734e-08
1828,2.935136400594729e-08,7.337841001486822e-09
1829,2.743416338546467e-08,5.143905745796928e-09
1830,7.305785310052215e-09,5.218417697960831e-09
1831,1.4032085715598441e-08,1.5591206548037917e-08
1832,2.1647950987357945e-08,1.3529969367098715e-09
1833,1.7375443306377747e-08,2.3167257001688313e-09
1834,2.333632664885954e-08,2.8003592777992026e-09
1835,3.781543966852041e-08,9.832014313815307e-09
1836,2.1506400216253496e-08,3.36037508930076e-09
1837,2.1569462660409044e-08,9.045257876039159e-09
1838,9.468243078458727e-09,5.680945491803868e-09
1839,4.194885150354821e-08,2.7965900706306e-09
1840,2.993753511759678e-08,5.732719632334238e-09
1841,1.3483152372373297e-08,1.4125206782011901e-08
1842,2.5491406319133603e-08,3.4882980060046975e-08
1843,1.3585895075607368e-08,1.2404512972352677e-08
1844,1.3172547497219966e-08,9.879410178825765e-09
1845,2.7343116215661212e-08,4.464182357111213e-09
1846,1.1123552745573306e-08,1.4636253098387897e-08
1847,1.5101026207275936e-08,1.833696039454935e-08
1848,3.218088551193432e-08,1.609044275596716e-08
1849,2.76520690789539e-08,1.5920887719289567e-08
1850,1.3577992064028876e-08,2.308258650884909e-08
1851,6.449438760824933e-09,3.8696632564949596e-09
1852,9.114764054629632e-09,9.765818376195057e-09
1853,1.3138249599364826e-08,3.1651239851271384e-08
1854,1.8704392701351935e-08,2.5458755104068587e-08
1855,1.0613874223963649e-08,2.4411910715116392e-08
1856,2.4332790005132665e-08,2.019103817474388e-08
1857,1.2691923956253959e-08,1.3668225662399891e-08
1858,1.9085335978274998e-08,2.838332058274773e-08
