year,tes_DET arbres_NOUN,tes_DET marbres_NOUN
1800,6.288328968651058e-09,0.0
1801,2.6193008650921e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,2.9255088573876264e-08,0.0
1804,4.449331636457998e-08,0.0
1805,3.980028751016107e-08,2.842877711017877e-09
1806,3.45800286183362e-08,2.881669125542885e-09
1807,7.402083657126468e-08,1.9928686256776018e-08
1808,2.039466595604722e-08,2.2660739951163578e-09
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,2.106114083133548e-08,0.0
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,3.467370524035118e-08,0.0
1813,1.7254449646841863e-08,3.1633157648869314e-08
1814,1.5733386149463513e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,6.952811659743929e-09,0.0
1817,2.3353101674672416e-08,0.0
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,3.519356983616717e-08,0.0
1820,2.1359666924070098e-08,0.0
1821,1.676452932031225e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,1.680056804787e-08,0.0
1824,1.9368559200927393e-08,8.421112696055388e-10
1825,7.044354433105582e-09,5.283265824829186e-09
1826,2.6423953691789848e-08,0.0
1827,1.013900075008678e-08,9.217273055917019e-10
1828,1.3758452155343548e-08,3.668920500743411e-09
1829,5.143905634774626e-09,1.714635211591542e-09
1830,1.3567886369969528e-08,1.0436835840010872e-09
1831,1.7150327158432788e-08,0.0
1832,9.470978779013706e-09,1.2176972319366541e-08
1833,1.9692167896323554e-08,9.266902800675325e-09
1834,1.4001795944906803e-08,5.60071877764301e-09
1835,1.9664028627630614e-08,2.2689263801112247e-09
1836,1.2769424795333606e-08,2.016224964762614e-09
1837,1.4611571286238245e-08,6.957891152126194e-09
1838,1.9567702125300457e-08,2.5248647617104325e-09
1839,1.887698375391267e-08,4.894032734625853e-09
1840,1.5287252519424754e-08,1.2739377330817092e-09
1841,2.6966302968389755e-08,1.2841097074556274e-09
1842,2.5491406319133603e-08,4.695785538189057e-09
1843,2.3036953678001737e-08,5.906911071384968e-10
1844,1.3721402902788782e-08,8.232841963717874e-09
1845,1.4508593104700651e-08,2.2320911785556063e-09
1846,3.571245699163228e-08,4.6836010625384006e-09
1847,2.3730183151826623e-08,1.0786447290911383e-09
1848,1.7699487875333375e-08,0.0
1849,7.541473445726865e-09,2.513824481908955e-09
1850,2.5798184921654865e-08,3.394498016007219e-09
1851,2.450786706909014e-08,3.8696632564949596e-09
1852,1.8229526776991634e-08,3.906327261660181e-09
1853,8.957897534855874e-09,2.388772735173461e-09
1854,9.352196184142514e-09,1.0391328908454511e-09
1855,1.1144567935161831e-08,1.5920811335945473e-09
1856,2.019103728656546e-08,3.1063135952358323e-09
1857,3.709946772012529e-08,4.881509196863476e-09
1858,4.159624444888266e-08,2.4468380654951716e-09
1859,1.6294954496842706e-08,6.619825576592575e-09
1860,1.556242534839214e-08,4.119465657481669e-09
1861,1.8392258938071393e-08,4.244367302064234e-09
1862,1.671654947799084e-08,3.614389121331385e-09
1863,2.996772519026081e-08,1.9978483312144135e-09
1864,1.678154748496752e-08,5.753673759656408e-09
1865,1.1767110841276462e-08,4.23615986733239e-09
1866,1.4110277612999766e-08,2.4328065117984465e-09
1867,1.261730986357179e-08,1.455843445796745e-09
1868,1.432563490055827e-08,9.87974813071446e-10
1869,1.0255389870650333e-08,1.4650557433881772e-09
1870,1.204150201772336e-08,1.1468097582678638e-09
1871,6.37270636261178e-09,7.434824089713743e-09
1872,2.297988932475903e-08,5.442605477412599e-09
1873,5.387403856360606e-09,1.7958012854535355e-09
1874,2.3898436563030145e-08,0.0
1875,2.5174720086340585e-08,2.8607636259891933e-09
1876,3.748529131542e-08,6.04601479992084e-10
1877,1.6699003180242755e-08,1.2369631985365004e-09
1878,2.3552446215546752e-08,6.039088673581716e-10
1879,2.6881031622849605e-08,1.832797580370027e-09
1880,6.417846032391594e-09,6.417846254436199e-10
1881,9.761510488814906e-09,2.7890030285249168e-09
1882,6.655385353937504e-09,1.9966155395678697e-09
1883,1.3270612164717477e-08,0.0
1884,2.1125431182156262e-08,0.0
1885,1.9336907408629145e-08,1.2891271383708158e-09
1886,1.6133659630490627e-08,2.5813855497602844e-09
1887,1.6975203687152884e-08,1.3057849246322917e-09
1888,1.0779045211961602e-08,1.268122939990235e-09
1889,1.3156787215251597e-08,2.5060546970934183e-09
1890,1.7041405175888258e-08,1.3108772956016423e-09
1891,5.736797703548291e-09,0.0
1892,3.761107425503951e-09,6.268512375839919e-10
1893,8.621783065265731e-09,1.847525021858587e-09
1894,1.3863386660872834e-08,2.520615716150587e-09
1895,1.3240951890480801e-08,3.0093072478365457e-09
1896,1.7691086817706037e-08,5.89702897624278e-10
1897,8.740070556179091e-09,0.0
1898,1.0185039034382726e-08,1.13167097914868e-09
1899,7.738609753005221e-09,0.0
1900,1.1939422339679595e-08,2.595526460424935e-09
1901,1.1736351668290013e-08,0.0
1902,6.38336894454028e-09,4.910283846193408e-10
1903,1.566063789759653e-08,5.400220270956879e-10
1904,2.3648349944949132e-08,3.2247751136083025e-09
1905,1.2901897883388358e-08,0.0
1906,1.3374879870298173e-08,3.086510713679047e-09
1907,3.857132568896304e-08,2.0571372938427146e-09
1908,3.1432890068572306e-08,1.4734167219643268e-09
1909,1.8703344373260933e-08,2.750491723269022e-09
1910,3.15304897746671e-08,5.344150677544235e-10
1911,3.830669514925944e-08,5.320374141248863e-10
1912,2.1358627533274444e-08,2.6047106693738442e-09
1913,1.8030165360727324e-08,5.30298971401777e-10
1914,2.343860217024485e-08,2.678697486047099e-09
1915,1.767114321538088e-08,0.0
1916,1.3184954239520152e-08,0.0
1917,2.0836206759966558e-08,7.676496771580332e-09
1918,3.9053679401490626e-08,0.0
1919,2.9465114792515124e-08,8.287063479883727e-09
1920,3.331782005844275e-08,0.0
1921,1.8174594496045415e-08,7.572747429129834e-10
1922,1.696925089333945e-08,2.2133805899215986e-09
1923,2.0170301429089932e-08,4.246379248229459e-09
1924,2.191576142784868e-08,0.0
1925,2.749544503188872e-08,1.0998177923937646e-09
1926,2.0063049888108253e-08,5.57306911730393e-09
1927,3.4562596340492746e-08,0.0
1928,1.828166551476329e-08,1.1426041224282812e-09
1929,7.798284462623428e-09,2.2280812750352652e-09
