year,les_DET oies_NOUN
1800,1.2576657759666432e-06
1801,1.1977348979286262e-06
1802,1.163676898841004e-06
1803,2.1687771649681054e-06
1804,1.3867083934471225e-06
1805,2.2146017630841897e-06
1806,5.79215488016871e-07
1807,5.523092792003581e-07
1808,9.789439445739845e-07
1809,1.5790623262290637e-06
1810,8.284048975681912e-07
1811,6.86939027438882e-07
1812,3.040617375660304e-07
1813,4.486156939265129e-07
1814,4.6256154684343187e-07
1815,5.772058635500343e-07
1816,7.207747927395758e-07
1817,6.896949305001954e-07
1818,1.624856460047397e-06
1819,3.560761119292266e-07
1820,6.028172503391716e-07
1821,3.8361188581248484e-07
1822,7.128213184159904e-07
1823,6.453394680860924e-07
1824,4.7326652907742073e-07
1825,8.04817498867294e-07
1826,4.862007410011415e-07
1827,7.521294603796136e-07
1828,6.741641236374107e-07
1829,5.332515518041703e-07
1830,5.604580937124126e-07
1831,5.347783620379687e-07
1832,4.7354891563600177e-07
1833,5.444305370971847e-07
1834,6.823541847111869e-07
1835,6.239547474251594e-07
1836,6.431757593183818e-07
1837,5.656765456052426e-07
1838,5.655697066231369e-07
1839,5.949745203182033e-07
1840,4.834593818614508e-07
1841,4.25040309615099e-07
1842,4.320122641843227e-07
1843,4.690087438419255e-07
1844,4.7476054065853646e-07
1845,6.679532877917893e-07
1846,3.9225158054989606e-07
1847,7.286245065074581e-07
1848,5.044354058902911e-07
1849,4.047257355921374e-07
1850,4.4332145066050543e-07
1851,5.559416085265667e-07
1852,5.162862439789251e-07
1853,6.819946207770045e-07
1854,4.494249861153321e-07
1855,5.046897229021852e-07
1856,4.902798327321989e-07
1857,4.115112304248214e-07
1858,4.0519638666580704e-07
1859,5.412980277341717e-07
1860,4.641264600979689e-07
1861,4.7253954882364724e-07
1862,4.716777590729748e-07
1863,4.390271755028152e-07
1864,5.489963399440967e-07
1865,5.492887309443972e-07
1866,4.1406367046192827e-07
1867,5.74572872835688e-07
1868,6.001947054912193e-07
1869,4.903053287819148e-07
1870,4.656047671858232e-07
1871,5.703572205639773e-07
1872,4.3540843108758054e-07
1873,5.225781896101012e-07
1874,5.580284909711963e-07
1875,4.828969011327899e-07
1876,4.6554313826163707e-07
1877,6.110598054220873e-07
1878,4.813153733351783e-07
1879,4.661415058393459e-07
1880,6.327996473487474e-07
1881,5.68956634694473e-07
1882,5.051437419467675e-07
1883,6.243506760483797e-07
1884,5.644450800090794e-07
1885,4.10586999510798e-07
1886,4.5238780543854773e-07
1887,4.968511522207564e-07
1888,4.3496617152527506e-07
1889,4.4858378878132044e-07
1890,4.817473957530183e-07
1891,4.2707273628650455e-07
1892,5.904938618073174e-07
1893,5.413248107544177e-07
1894,3.7494157112405446e-07
1895,3.9482110825161953e-07
1896,5.183488394067126e-07
1897,4.492396001865018e-07
1898,4.837893285980499e-07
1899,5.378333831629334e-07
1900,4.2981919623485965e-07
1901,3.917705884148859e-07
1902,3.3831854984178733e-07
1903,3.9529613271582775e-07
1904,4.6651745932990707e-07
1905,4.180214836502216e-07
1906,4.840677552131467e-07
1907,4.4639880325547665e-07
1908,4.16976919659362e-07
1909,3.9001974716512677e-07
1910,5.509819449578401e-07
1911,4.878783039785617e-07
1912,4.3759138845800294e-07
1913,3.887091333254489e-07
1914,4.855139064119385e-07
1915,2.473959943571913e-07
1916,2.6809406961092463e-07
1917,3.893080684491679e-07
1918,3.652667697195966e-07
1919,4.797288877256278e-07
1920,4.3616053879702577e-07
1921,4.4300572987765463e-07
1922,4.84730355410079e-07
1923,4.299459046563925e-07
1924,4.963275417324553e-07
1925,3.838364168728958e-07
1926,4.514186233706141e-07
1927,4.325899194412841e-07
1928,3.850575769348552e-07
1929,4.1999331834574605e-07
1930,3.497700085119959e-07
1931,3.25052660343772e-07
1932,2.487814780849362e-07
1933,4.886502225076583e-07
1934,3.9059950296405077e-07
1935,4.176931147625851e-07
1936,4.910509403543983e-07
1937,3.361828575521031e-07
1938,3.656190541434512e-07
1939,4.863508173968967e-07
1940,3.52473818132637e-07
1941,1.345885138448466e-06
1942,5.006449459443729e-07
1943,6.532279093196536e-07
1944,4.530592363494179e-07
1945,4.6837837075486277e-07
1946,4.705333092047681e-07
1947,3.7193117963241207e-07
1948,5.175018493730477e-07
1949,3.16107669373622e-07
1950,4.094614123317797e-07
1951,4.040671335303614e-07
1952,4.112473401818306e-07
1953,3.8247087186249473e-07
1954,4.3780963210338086e-07
1955,3.144178606362402e-07
1956,3.1657744337110216e-07
1957,3.454499761801344e-07
1958,4.309838868010729e-07
1959,6.960171283765249e-07
1960,4.429333402278246e-07
1961,4.2383771337028975e-07
1962,3.640283017247725e-07
1963,3.633921794587991e-07
1964,3.814648197320025e-07
1965,3.2175616215823766e-07
1966,3.5505469142549373e-07
1967,3.3033247959224354e-07
1968,3.876091891896749e-07
1969,5.173062227470382e-07
1970,3.3386743991670187e-07
1971,3.2834358609790115e-07
1972,3.303814661848037e-07
1973,2.84481314949403e-07
1974,3.200950375870093e-07
1975,2.918566441856285e-07
1976,2.7653470180410977e-07
1977,3.7846475819947045e-07
1978,4.829700692710048e-07
1979,3.388292570960516e-07
1980,3.54753392883822e-07
1981,3.554958780682682e-07
1982,3.401711134998209e-07
1983,3.5555230404327176e-07
1984,3.815747575686146e-07
