year,certains_DET auteurs_NOUN,certains_DET moteurs_NOUN
1800,4.4961552703171037e-07,0.0
1801,5.833897276374955e-07,0.0
1802,6.579249998139858e-07,0.0
1803,5.34392945894524e-07,0.0
1804,6.080753500725677e-07,0.0
1805,7.192480637741028e-07,0.0
1806,7.031272843960323e-07,0.0
1807,3.786450371023875e-07,0.0
1808,1.155697759713803e-06,0.0
1809,1.1724368391696771e-06,4.518061036407062e-09
1810,9.032889067839278e-07,2.3401266702194334e-08
1811,5.239790468181127e-07,0.0
1812,9.388572692614616e-07,0.0
1813,1.0582729146335623e-06,0.0
1814,8.527495225507664e-07,0.0
1815,8.22653161591802e-07,5.394447111228828e-09
1816,8.853246740159193e-07,0.0
1817,7.068205505333935e-07,0.0
1818,7.116942697393824e-07,0.0
1819,5.27903537772545e-07,0.0
1820,7.808144601995082e-07,0.0
1821,7.110133211085667e-07,0.0
1822,6.245958843464905e-07,0.0
1823,5.988908071685728e-07,0.0
1824,4.193714104872015e-07,0.0
1825,5.86442528316411e-07,0.0
1826,5.769229964869282e-07,0.0
1827,6.230876579138567e-07,0.0
1828,5.75103314304215e-07,9.172301251858528e-10
1829,7.338638710052692e-07,0.0
1830,5.771570315005192e-07,0.0
1831,4.864456144559881e-07,1.5591206103948707e-09
1832,6.967934282897659e-07,0.0
1833,8.143291125861651e-07,4.6334514003376626e-09
1834,6.030107044807664e-07,0.0
1835,8.531163189218205e-07,0.0
1836,7.480194526010564e-07,0.0
1837,9.657552695330196e-07,0.0
1838,7.688213372603059e-07,1.2624323808552163e-09
1839,8.249940535165479e-07,1.3283802502428443e-08
1840,7.567189967971899e-07,1.9109065441114126e-09
1841,9.95827065253252e-07,0.0
1842,9.498903352778143e-07,4.695785538189057e-09
1843,1.0744671428142283e-06,1.1813822142769936e-09
1844,1.0488640498351742e-06,0.0
1845,9.75981876649712e-07,0.0
1846,1.362927903869604e-06,7.610851948669506e-09
1847,1.0311843468002735e-06,2.6966118227278457e-09
1848,1.2349415783319273e-06,1.6090443422100975e-09
1849,1.154683431536796e-06,5.02764896381791e-09
1850,1.0475420708644378e-06,0.0
1851,1.0448091103398838e-06,3.2247193804124663e-09
1852,1.3385680830424462e-06,0.0
1853,1.1764705902805872e-06,2.9859659189668264e-09
1854,1.201757171997997e-06,0.0
