year,quelques_DET arbres_NOUN,quelques_DET marbres_NOUN
1800,1.5029105782105034e-06,9.432493186523061e-08
1801,1.3572740513723147e-06,1.42870949737528e-07
1802,9.242279475074611e-07,6.713520406265161e-09
1803,1.5212646431450594e-06,6.631153581793114e-08
1804,1.2754751423926791e-06,2.7190360185613827e-08
1805,1.5522112164489954e-06,1.449867568226182e-07
1806,1.0460458810257478e-06,1.9595350408962986e-07
1807,1.170098570923983e-06,1.8505208743135881e-07
1808,1.2168817384861086e-06,9.517511045942229e-08
1809,1.4073759757593507e-06,4.292158095609011e-08
1810,9.734927104432245e-07,2.3401267590372754e-09
1811,1.0253943401039578e-06,7.270522672797597e-08
1812,1.0935553262925168e-06,1.0668832572946485e-07
1813,1.0381427415495637e-06,7.476928232108548e-08
1814,9.691765860964097e-07,6.293354282149721e-09
1815,9.548171391315918e-07,2.4275012000529728e-08
1816,1.26541166878269e-06,4.6352077731626196e-08
1817,9.870577244441847e-07,4.514932783195036e-08
1818,1.0025710714955949e-06,9.179306914575136e-08
1819,6.345193703793939e-07,2.4842519708023758e-08
1820,1.0122108591303913e-06,4.034603673375159e-08
1821,8.263927000484728e-07,9.269799239319809e-08
1822,6.606881015613908e-07,4.0102463572111446e-08
1823,6.848702085449077e-07,3.458940478484607e-08
1824,7.157945631774965e-07,3.8737119290033206e-08
1825,5.996506473593399e-07,3.6982860329715095e-08
1826,8.984143740065065e-07,3.08279450855764e-08
1827,7.733292335387887e-07,3.133872805705096e-08
1828,7.191084421265259e-07,1.559291185060374e-08
1829,6.995711849810959e-07,3.257806824308318e-08
1830,9.215726066713614e-07,2.087367190206635e-08
1831,1.0040736952987572e-06,1.5591206103948707e-09
1832,9.132729346106316e-07,5.0060886991332154e-08
1833,1.4514286448275016e-06,5.444305450907905e-08
1834,9.427876221934639e-07,2.2402874888527435e-08
1835,9.552179989213982e-07,4.310960122211327e-08
1836,7.688537841943344e-07,2.0834324820917516e-08
1837,7.95286936750017e-07,2.5048407792382932e-08
1838,6.653018900237839e-07,3.8504189392440935e-08
1839,7.34104887101239e-07,6.292327547896548e-08
1840,5.790046984088804e-07,3.4396318682183846e-08
1841,7.094706404586759e-07,3.9165347853753474e-08
1842,7.721213286515649e-07,4.427454936006825e-08
1843,5.895097174857256e-07,1.5357968674578615e-08
1844,5.192178882396092e-07,2.4698525225019807e-08
1845,5.552326776125938e-07,2.5669049108500985e-08
1846,7.218600295288979e-07,6.439951460990301e-09
1847,4.92940642971007e-07,3.235934098455573e-08
1848,6.540765369322799e-07,4.907585399172021e-08
1849,6.980052376093226e-07,2.513824526317876e-08
1850,6.123674509694865e-07,2.104588769924476e-08
1851,7.468449858549775e-07,2.450786795726856e-08
1852,6.464971669117858e-07,2.3437962681782665e-08
1853,6.449686118514819e-07,2.7470886676539408e-08
1854,5.4762304202427e-07,2.597832238215858e-08
1855,6.447928342367959e-07,4.192480318465641e-08
1856,5.058113927702834e-07,4.711242040933428e-08
1857,5.384304451183652e-07,2.391939402102139e-08
1858,5.38304366415332e-07,2.1042807440974087e-08
1859,6.803143470790474e-07,1.1202781591279631e-08
1860,7.021400207918305e-07,2.700538503930261e-08
1861,5.819499477865975e-07,3.0182168320180836e-08
1862,5.8101305100422e-07,2.8011515107451146e-08
1863,4.734900542757714e-07,2.5972028638854283e-08
1864,5.278995729440794e-07,3.8837296045812764e-08
1865,5.982398967319114e-07,3.859612363044107e-08
1866,6.111209884807067e-07,1.2650593683716238e-08
1867,4.852811414934877e-07,3.736664666575962e-08
1868,5.117709562796335e-07,2.76632952100897e-08
1869,5.659998763007934e-07,3.125452274765905e-08
1870,6.175570419486576e-07,3.95649366602413e-08
1871,6.011586535237257e-07,2.9739295914765762e-08
1872,6.464605739608942e-07,1.269941263259966e-08
1873,5.225781976037069e-07,1.6760812737715014e-08
1874,5.93278691951582e-07,3.465273401559443e-08
1875,5.824514914820611e-07,3.146839827605774e-08
1876,6.245533086257637e-07,4.232210315535667e-08
1877,6.506426402097532e-07,2.659470932364627e-08
1878,6.202144149369815e-07,3.8650167510922984e-08
1879,6.390354023722011e-07,2.8102895788251203e-08
1880,5.679793915192022e-07,1.7969969734465963e-08
1881,5.208463100814242e-07,1.5339516823420496e-08
1882,5.497348070093722e-07,2.0631693242734173e-08
1883,5.112345284885578e-07,4.2971503688704615e-08
1884,5.248348955433357e-07,1.650424152899177e-08
1885,5.246747569742638e-07,1.2891271161663553e-08
1886,5.730675916026939e-07,2.0005738787798322e-08
1887,5.183966145239083e-07,2.611569827060123e-08
1888,4.84422976398946e-07,1.9021843211675105e-08
1889,4.3104140701188953e-07,2.1301465480405568e-08
1890,4.6732776581848157e-07,1.3108773289083331e-08
1891,4.449205519563293e-07,2.995883496836882e-08
1892,4.945856275639926e-07,3.510366997083736e-08
1893,5.992139371358007e-07,2.1554457829697782e-08
1894,5.608369981757733e-07,2.5206157383550476e-08
1895,4.7246122392152756e-07,1.8657704714541978e-08
1896,4.458153988196045e-07,2.122930498060782e-08
1897,5.197428620817846e-07,3.6708294626208726e-08
1898,4.985010662039713e-07,2.7160103499568322e-08
1899,4.101463204619904e-07,2.1004797901014172e-08
1900,5.424650666441266e-07,2.076421168339948e-08
1901,4.750427962108006e-07,2.235495566438317e-08
1902,4.350511488837583e-07,3.780918689244572e-08
1903,4.6387890861865344e-07,2.5381035495541937e-08
1904,5.310129544966458e-07,4.46093881834031e-08
1905,5.217527352385787e-07,1.0321517862621477e-08
1906,4.1770777059468855e-07,2.0062319250335747e-08
1907,5.369128395216194e-07,1.542852956504248e-08
1908,6.345514478311998e-07,2.6030361865991836e-08
1909,5.247938226204951e-07,2.2554032752530873e-08
1910,5.167793588611858e-07,1.1757131712641922e-08
1911,4.868142298164457e-07,2.1813534867298756e-08
1912,4.756201548161698e-07,2.344239469209697e-08
1913,5.096173225638267e-07,2.9696742065432602e-08
1914,5.009164212310679e-07,2.7456649065449312e-08
1915,4.476689419163904e-07,3.416420923940677e-08
1916,3.812649396195411e-07,1.7579939282086343e-08
1917,4.551066190572328e-07,1.7546279096336548e-08
1918,4.3303638364022845e-07,1.4932290071101306e-08
1919,4.2448181858389944e-07,1.9336482248721865e-08
1920,5.376284519797991e-07,1.0601124422748853e-08
1921,4.2331658178795806e-07,1.0601846289759465e-08
1922,4.7071229047901397e-07,5.902348387820666e-09
1923,4.7347127818397894e-07,3.078624999375279e-08
1924,5.079299967292172e-07,3.480738519634485e-08
1925,6.027001617781025e-07,1.3197813508725176e-08
1926,4.692524413485444e-07,1.5604594061358057e-08
1927,4.994852815798367e-07,1.5608914605280688e-08
1928,5.747298956748637e-07,7.998228745975666e-09
1929,4.589847506508704e-07,2.339485272173647e-08
1930,4.337988173119811e-07,2.7309368988426286e-08
1931,4.847276606767537e-07,1.4826963656844327e-08
1932,4.778357940438127e-07,1.4247397261968331e-08
1933,4.3244396863428847e-07,2.064719240024715e-08
1934,4.3972397811842256e-07,7.188948103475923e-09
1935,4.4522018072257197e-07,1.555876938397205e-08
