year,aux_ADP airs_NOUN,aux_ADP mers_NOUN
1800,1.5720823043352539e-07,5.439404517915136e-07
1801,1.7620750725200196e-07,3.095537242092661e-07
1802,2.0364345232337655e-07,4.5651938762603095e-07
1803,2.262393496987869e-07,4.7003175041027134e-07
1804,1.6808586700278738e-07,4.795391113088243e-07
1805,1.478296409729296e-07,3.809456021741653e-07
1806,2.4494187300660997e-07,4.437770462217827e-07
1807,8.54086508184082e-08,3.0462420186339045e-07
1808,7.931259204951857e-08,4.3735228461017073e-07
1809,1.3102376783535874e-07,3.614448900179923e-07
1810,1.8721014161116045e-07,1.427477371862551e-07
1811,1.1783261077980001e-07,3.8358274423444527e-07
1812,9.601949813031752e-08,2.907256968498473e-07
1813,1.35159851311073e-07,2.7607120967054755e-07
1814,1.384537871018665e-07,2.9578765747828584e-07
1815,4.855002422310406e-08,3.6142796822069556e-07
1816,9.270415368689555e-08,3.6849903040092613e-07
1817,1.4945985393755024e-07,4.732895210191046e-07
1818,1.1563542035020191e-07,5.769849711345643e-07
1819,1.8528379808202544e-07,3.4986549479754103e-07
1820,1.6257079860082513e-07,3.19208337984378e-07
1821,1.3608853222102368e-07,2.1202200251035919e-07
1822,1.5639960793123464e-07,2.556532194830652e-07
1823,9.388552868472289e-08,3.20199065595439e-07
1824,1.2800091475639874e-07,4.202135244213423e-07
1825,1.1799293964109836e-07,6.049339269509346e-07
1826,1.2595417842042878e-07,3.100410435052936e-07
1827,6.267745611410191e-08,3.7145611475608575e-07
1828,1.0823315454988602e-07,3.824849734712643e-07
1829,9.51622528555518e-08,3.180648180389767e-07
1830,1.7533884189013804e-07,3.965997481536476e-07
1831,1.309661297188569e-07,2.5101841627517274e-07
1832,3.125422969318947e-07,2.3812746363649495e-07
1833,1.3089500561225265e-07,4.899874816999272e-07
1834,1.1388127951761362e-07,4.70460367107961e-07
1835,1.459675971204888e-07,2.722711727187743e-07
1836,1.196293524241554e-07,3.9316386768462053e-07
1837,1.0715152298779174e-07,2.7483668563199615e-07
1838,1.205622943700746e-07,2.9982769977898727e-07
1839,1.3703291867894762e-07,2.572862911609519e-07
1840,1.2038711361128662e-07,2.605202595318268e-07
1841,8.154096420298629e-08,2.5361166500204035e-07
1842,1.3483613425790963e-07,2.0594373317806003e-07
1843,1.3290549683020458e-07,2.7762482635029784e-07
1844,1.3007890231619967e-07,2.2832414714457627e-07
1845,8.816759988761191e-08,3.84477708004205e-07
1846,9.777017462297977e-08,2.0959114110929988e-07
1847,8.46736130100112e-08,2.7936898128189114e-07
1848,1.3757328987118456e-07,2.5181545332264577e-07
1849,9.133561951202296e-08,1.784815377714466e-07
1850,1.1948632749891885e-07,2.3761486023232692e-07
1851,8.513259319720134e-08,2.1476631539840696e-07
1852,1.367214490510804e-07,3.3789730968791787e-07
1853,9.913406562311877e-08,3.2487308021522665e-07
1854,7.79349695889664e-08,3.07063770410565e-07
1855,1.2895856826844465e-07,2.6959241239410403e-07
1856,9.629572161884425e-08,2.749087438802533e-07
1857,1.0836950115056254e-07,3.9247333072367496e-07
1858,1.1598011928626306e-07,2.7355648579696634e-07
1859,1.5632971717138844e-07,2.9636448783953995e-07
1860,1.2587255593388136e-07,2.8012366337648587e-07
1861,1.6788831125325032e-07,3.3153225764692706e-07
1862,9.307051873630456e-08,2.0647196763423636e-07
1863,1.143768160183356e-07,2.2375901953530786e-07
1864,1.2466292620416652e-07,2.8528632567415e-07
1865,1.0355057483701913e-07,1.830962452764595e-07
1866,1.2942529759030208e-07,2.505790566154076e-07
1867,1.1889387963037734e-07,2.2225876605830308e-07
1868,9.682153423451467e-08,2.3563199214038377e-07
1869,1.1573940161824225e-07,2.773838736480627e-07
1870,1.0665330840708975e-07,2.0814596446427913e-07
1871,4.99195342840153e-08,2.0392660204926472e-07
