year,leurs_DET êtres_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,2.2378401354217203e-08
1803,5.070882025393075e-08
1804,1.4831105232815389e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,1.5862518409903714e-08
1809,2.259030518203531e-09
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,1.1502966579257645e-08
1814,3.1466772298927026e-08
1815,2.697223555614414e-09
1816,3.7081662185300956e-08
1817,1.556873407970727e-09
1818,7.152706427149269e-09
1819,0.0
1820,1.1866481131050932e-09
1821,8.875339574387908e-09
1822,1.303330066093622e-08
1823,0.0
1824,6.736890156844311e-09
1825,1.584979791857677e-08
1826,7.0463874735082754e-09
1827,8.295545583791863e-09
1828,3.668920500743411e-09
1829,1.3717081692732336e-08
1830,1.0436835840010872e-09
1831,0.0
1832,1.3529969367098715e-09
1833,1.18153010930655e-07
1834,6.16079063320285e-08
1835,1.5126175867408165e-09
1836,4.032449929525228e-09
1837,8.349468672008697e-09
1838,1.8936486156917454e-08
1839,3.4957374772659477e-09
1840,7.64362617644565e-09
1841,5.1364388298225094e-09
1842,5.366612043644636e-09
1843,1.7130041385371442e-08
1844,8.781698035420504e-09
1845,1.674068439427856e-09
1846,9.952652035849496e-09
1847,2.1572894581822766e-09
1848,0.0
1849,8.379414939696517e-10
1850,5.0238568860550004e-08
1851,3.2247193804124663e-09
1852,0.0
1853,0.0
1854,0.0
1855,5.837630823180007e-09
1856,5.177189232874468e-10
1857,4.393358121745905e-09
1858,7.34051397444091e-09
1859,1.2221216039165483e-08
1860,1.373155145145688e-09
1861,2.8295783494058924e-09
1862,1.1294965851504912e-08
1863,5.9935452156878455e-09
1864,4.315255264231155e-09
1865,1.1296426905005319e-08
1866,5.352174259343201e-09
1867,4.85281148598915e-10
1868,4.44588676984381e-09
1869,1.4650557433881772e-09
1870,8.601073631098188e-09
1871,1.0621177271019633e-09
1872,1.269941218851045e-08
1873,4.190203295451056e-09
1874,3.5847653734322193e-09
1875,1.1443054503956773e-08
1876,1.813804439976252e-09
1877,1.8554447978047506e-09
1878,3.0195443923020093e-09
1879,5.498392852132383e-09
1880,1.0268554007097919e-08
1881,3.4862537301449947e-09
1882,8.652000893505374e-09
1883,3.791603475633565e-09
1884,1.8484751507230612e-08
1885,2.5782542767416317e-09
1886,8.38950331427668e-09
1887,9.793386768208734e-09
1888,2.0924028509838877e-08
1889,1.3783300722991498e-08
1890,9.831579994568074e-09
1891,1.466070642663908e-08
1892,1.6298132621272998e-08
1893,1.0469308087124318e-08
1894,1.764431090123253e-08
1895,3.0694934372021976e-08
1896,1.9460195621601173e-08
1897,1.1653426668090106e-08
1898,2.319925584970406e-08
1899,2.1004797901014172e-08
1900,2.180242297811219e-08
1901,5.029864968975062e-09
1902,9.329539640834383e-09
1903,1.8900771392438287e-08
1904,2.418581335206227e-08
1905,2.6319871837543474e-08
1906,3.6009292214700395e-08
1907,1.902852053703441e-08
1908,1.1296195090437777e-08
1909,1.870334465081669e-08
1910,3.366815093386322e-08
1911,1.968538476671e-08
1912,2.7088990606216612e-08
1913,2.0151361468379037e-08
1914,1.7411533548283842e-08
1915,4.005459075528961e-08
1916,5.0542325880087446e-08
1917,3.61891991929042e-08
1918,1.8378202071289707e-08
1919,1.6574126959767455e-08
1920,4.164727540612034e-08
1921,2.196096815509918e-08
1922,4.131644004701229e-08
1923,3.6094224498128824e-08
1924,4.898817351772777e-08
1925,2.0896538499570738e-08
1926,1.3375366592072169e-08
1927,4.5711821883287485e-08
1928,2.6279895593006586e-08
1929,2.0052731031228177e-08
1930,1.3654684494213143e-08
1931,1.596749932275543e-08
1932,1.753525857850491e-08
1933,1.3764794637438627e-08
1934,5.990790086229936e-09
1935,1.196828414151696e-08
1936,1.576212937948185e-08
1937,1.3850230295986421e-08
1938,2.852347158466273e-08
1939,2.9058696782158222e-08
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,2.4273694831933312e-08
1943,5.2258233296242906e-08
1944,3.213186161588055e-08
1945,3.267756198965799e-08
1946,3.6194869323935563e-08
1947,2.5033829231801974e-08
1948,1.7395020535104777e-08
1949,1.570721330779179e-08
1950,1.4889506516624351e-08
1951,3.0918066329377325e-08
1952,1.6871685715180718e-08
1953,1.1851210013347213e-08
1954,3.127211556375187e-08
1955,1.8771215692936494e-08
1956,3.488456457034772e-08
1957,1.9437083054185678e-08
1958,1.4062814024384807e-08
1959,1.3176271296266862e-08
1960,2.0070416439921246e-08
1961,1.945484662257968e-08
1962,2.3465238307984748e-08
1963,1.939815952312074e-08
1964,2.007709548612624e-08
1965,2.0793764932136583e-08
1966,2.4925835617750636e-08
1967,1.1832804958089582e-08
1968,2.560107012494761e-08
1969,3.2246479264586014e-08
1970,2.9431840076199478e-08
1971,3.134422532635739e-08
1972,2.1033601527165047e-08
1973,1.5988290802404492e-08
1974,1.2938814464291681e-08
1975,2.1132476213381324e-08
1976,7.427584713948221e-09
1977,1.704266772151186e-08
1978,1.9603952239322098e-08
1979,1.6385525491990904e-08
1980,1.9329512213062117e-08
1981,1.2651098835192442e-08
1982,1.3035754697909852e-08
1983,1.136756866415567e-08
1984,1.6237223121606803e-08
1985,2.285912048538563e-08
