year,mes_DET égaux_NOUN,mes_DET egaux_NOUN,mes_DET mégots_NOUN
1800,1.2891074163690064e-07,6.288328968651058e-09,0.0
1801,7.143547975374531e-08,4.7623651688866175e-09,0.0
1802,8.280008501060365e-08,1.3427040812530322e-08,0.0
1803,5.070882025393075e-08,1.950339223455444e-09,0.0
1804,3.287561867182376e-07,0.0,0.0
1805,2.3595885068061762e-07,2.842877711017877e-09,0.0
1806,1.2391177506287931e-07,0.0,0.0
1807,1.4519470425966574e-07,0.0,0.0
1808,1.4956088989492855e-07,0.0,0.0
1809,8.810219043198231e-08,0.0,0.0
1810,1.2168659679900884e-07,0.0,0.0
1811,5.515568801683912e-08,0.0,0.0
1812,5.867858021701977e-08,0.0,0.0
1813,6.614205716459765e-08,0.0,0.0
1814,8.181360300341112e-08,6.293354282149721e-09,0.0
1815,8.361393355471591e-08,0.0,0.0
1816,9.965696534663948e-08,0.0,0.0
1817,8.095742032310227e-08,0.0,0.0
1818,6.795070817133819e-08,0.0,0.0
1819,6.314140676977331e-08,5.175524897538253e-09,0.0
1820,1.1510486785937246e-07,0.0,0.0
1821,1.4200543319020653e-07,0.0,0.0
1822,1.2832788343075663e-07,0.0,0.0
1823,8.795591099897138e-08,0.0,0.0
1824,1.1536924660049408e-07,8.421112696055388e-10,0.0
1825,7.924898426381333e-08,0.0,0.0
1826,9.688783109140786e-08,0.0,0.0
1827,6.636436467033491e-08,0.0,0.0
1828,7.33784091266898e-08,0.0,0.0
1829,6.172686539684946e-08,0.0,0.0
1830,1.0019362406410437e-07,2.0873671680021744e-09,0.0
1831,5.3010101197514814e-08,0.0,0.0
1832,7.982681893281551e-08,0.0,0.0
1833,6.834341093053808e-08,0.0,0.0
1834,5.414027981487379e-08,0.0,0.0
1835,8.621920244422654e-08,0.0,0.0
1836,4.9061476659062464e-08,0.0,0.0
1837,5.844628248041772e-08,0.0,0.0
1838,4.481634974240478e-08,0.0,0.0
1839,4.824117993962318e-08,0.0,0.0
1840,4.395085184683012e-08,6.369688665408546e-10,0.0
1841,5.714288064950779e-08,0.0,0.0
1842,6.507016792056675e-08,0.0,0.0
1843,5.9069112268161916e-08,5.906911071384968e-10,0.0
1844,4.9945906965831455e-08,1.097712254427563e-09,0.0
1845,5.245414413934668e-08,0.0,0.0
