year,des_DET airs_NOUN,des_DET mers_NOUN
1800,1.9305169658423438e-06,1.9871119860681574e-06
1801,1.514432067750704e-06,1.7073079163765215e-06
1802,1.609007057368217e-06,2.1863697270418925e-06
1803,1.7045964781914336e-06,2.2487412110194782e-06
1804,2.031861363605003e-06,2.414998274247182e-06
1805,1.6289689126480766e-06,2.203230280883872e-06
1806,2.4321286673512077e-06,1.4927045910440029e-06
1807,1.6853974180719433e-06,1.3579975934874255e-06
1808,1.8400520644945573e-06,2.0054755296428084e-06
1809,1.6468332475483294e-06,1.6897547858718553e-06
1810,2.5975406430234216e-06,1.6427690425757646e-06
1811,2.2062274780410007e-06,1.6020220670043273e-06
1812,1.7150148821087896e-06,1.4536284638211328e-06
1813,2.2286997882758897e-06,1.2883322995094204e-06
1814,2.0359000529879268e-06,1.2051772912968772e-06
1815,1.151714417169103e-06,1.812534222267459e-06
1816,1.3418926556596489e-06,2.18318285760688e-06
1817,1.6627408570002444e-06,2.9845262474736955e-06
1818,1.6308170760481744e-06,2.3794671051291516e-06
1819,1.495726777989148e-06,2.050543017162454e-06
1820,1.940169710223927e-06,1.7455594019111231e-06
1821,1.4900709235377008e-06,1.6044641739654253e-06
1822,1.6903187969319333e-06,1.3524556408128774e-06
1823,1.6691858242268154e-06,1.6731389109736483e-06
1824,1.5318003860897988e-06,1.7246438801521435e-06
1825,1.7681329573804305e-06,2.3299202780435735e-06
1826,1.4621254500468694e-06,1.9483261155528453e-06
1827,1.1825761010442193e-06,2.1098338436331687e-06
1828,1.3740107824844472e-06,2.0188234657325665e-06
1829,1.3717082136821546e-06,1.6683400474448717e-06
1830,1.652151127018442e-06,2.3075843671449547e-06
1831,1.4437456314908559e-06,1.4920784785488195e-06
1832,1.6290083664216581e-06,1.968610519043068e-06
1833,1.692368128303201e-06,1.7861954830777904e-06
1834,1.4617875230271693e-06,1.4589871426551326e-06
1835,2.072286044096927e-06,1.419591619367111e-06
1836,1.4785650712667575e-06,1.5995385425071618e-06
1837,1.4423708147859315e-06,1.2009319334538304e-06
1838,1.5433235649453536e-06,1.2321340250309731e-06
1839,1.7059199706181971e-06,1.1521950540327452e-06
1840,1.4790416997811917e-06,1.0420810525602064e-06
1841,1.596790447422336e-06,1.1723921673478799e-06
1842,1.6992035796192795e-06,9.606235487069625e-07
1843,1.7130041811697083e-06,1.2321816083016301e-06
1844,1.6449218165348611e-06,1.195957512578616e-06
1845,1.343718853519249e-06,1.2025391740166924e-06
1846,1.5087050151407766e-06,9.665781721679423e-07
1847,1.3671822181038351e-06,9.017469713157311e-07
1848,1.5519232903216107e-06,1.0700144947861645e-06
1849,1.539298523312027e-06,1.0264783760760565e-06
1850,1.2220192786571715e-06,9.653952339760963e-07
