year,vingt - six auteurs
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.0257161342508425e-08
1811,0.0
1812,0.0
1813,0.0
1814,3.439378781777691e-09
1815,1.4782087554010559e-08
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,1.0795871974167426e-09
1824,9.187538507759996e-10
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,1.0228743407836305e-09
1835,1.6599210894696625e-09
1836,0.0
1837,0.0
1838,0.0
1839,7.642578792044219e-10
1840,2.0875616790760887e-09
1841,0.0
1842,8.068728796217783e-09
1843,3.227089262480831e-09
1844,1.0172755970927483e-08
1845,0.0
1846,1.9219814628712584e-09
1847,1.7671799579233038e-09
1848,5.2854098875343425e-09
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,2.273273569386447e-09
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,3.0107892290409666e-09
1861,0.0
1862,2.970651058475937e-09
1863,6.579135902740063e-09
1864,0.0
1865,0.0
1866,5.339306219376283e-10
1867,1.5969995326159392e-09
1868,1.0819822815477664e-09
1869,0.0
1870,0.0
1871,4.665970276818143e-09
1872,9.286916125006428e-09
1873,1.968127438800593e-09
1874,3.933098291497572e-09
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,7.066983109815794e-10
1881,2.305317714501598e-09
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,1.440524810547572e-09
1888,0.0
1889,4.8398436369723186e-09
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,1.3917619279268933e-09
1895,6.64195753952157e-10
1896,1.3008708554806958e-09
1897,2.576736601866969e-09
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,1.0133686778601714e-08
1904,0.0
1905,5.697896043876938e-10
1906,0.0
1907,5.683689630053834e-10
1908,0.0
1909,1.8198196283236712e-09
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,2.954637423613349e-09
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,1.0134946215600849e-09
1920,5.006025816101101e-09
1921,1.6713919137600897e-09
1922,8.143886676137413e-10
1923,2.346282945708822e-09
1924,0.0
1925,2.4370372386783856e-09
1926,7.40742223115376e-09
1927,2.4685360422438407e-09
1928,0.0
1929,0.0
1930,1.1625793661096395e-09
1931,2.5257091973429624e-09
1932,2.4257640340863418e-09
1933,8.88158435685682e-09
1934,1.3274176202671129e-09
1935,0.0
1936,4.0266878720274235e-09
1937,0.0
1938,0.0
1939,0.0
1940,5.629229971049199e-09
1941,0.0
1942,3.3643954289175326e-09
1943,0.0
1944,0.0
1945,0.0
1946,3.079471788680621e-09
1947,0.0
1948,0.0
1949,0.0
1950,2.35255281921809e-09
1951,0.0
1952,1.1680282296921973e-09
1953,5.954130521956813e-09
1954,1.0806723294010112e-09
1955,0.0
1956,9.646891063752605e-10
1957,1.9557553354587753e-09
1958,9.148918289625385e-10
1959,1.7148831243929408e-09
1960,0.0
1961,0.0
1962,2.0982773296651658e-09
1963,0.0
1964,0.0
1965,4.223704497263725e-09
1966,1.8331725026854429e-09
1967,5.43188660717675e-10
1968,2.4704671641728737e-09
1969,9.985481330687662e-10
1970,1.5173632350595767e-09
1971,3.96643262678964e-09
1972,1.6959012527628659e-09
1973,8.530594008959724e-09
1974,3.7315741607812924e-09
1975,3.7893400639532615e-09
1976,5.680231285332127e-09
1977,3.247330404576587e-09
1978,1.9630408409909705e-09
1979,4.509011830577947e-09
1980,1.878500244245629e-09
1981,2.0888477614278145e-09
1982,2.0456143445812813e-09
1983,5.553545179282082e-09
1984,2.5472526310466037e-09
1985,1.3216827632334116e-09
1986,1.975063113057729e-09
1987,6.713679834291497e-09
1988,7.902976051354926e-09
1989,5.425025928484928e-09
1990,1.1939991217957413e-09
1991,1.2859849851665217e-09
1992,4.224525174123528e-09
1993,5.459464380574985e-09
1994,3.4640220691883883e-09
1995,2.964428980067879e-09
1996,6.416885245386084e-09
1997,6.804512564517751e-09
1998,4.6823038779564286e-09
1999,3.988114227748696e-09
2000,2.890411632261447e-09
2001,4.29972013549218e-09
2002,9.54669232555716e-10
2003,6.3531053751120226e-09
2004,5.755984133770653e-09
2005,5.885922416126732e-09
2006,4.4874184368381975e-09
2007,2.617814492955617e-09
2008,1.3946513943707828e-09
2009,4.694127087034872e-09
2010,2.0707451309220914e-09
2011,4.19642653959329e-09
2012,1.874782551425369e-09
2013,1.5400972164236748e-09
2014,7.185465555892279e-10
2015,4.902833139475149e-10
2016,6.877464014953816e-10
2017,4.7413335479973284e-09
2018,3.151493177533382e-09
2019,5.665002356103344e-10
