year,nos_DET auteurs_NOUN,nos_DET moteurs_NOUN
1800,1.3111165628743038e-06,0.0
1801,8.500821593315777e-07,2.3811825844433088e-09
1802,9.645090983667615e-07,0.0
1803,7.508806163514237e-07,1.950339223455444e-09
1804,1.57951275170376e-06,0.0
1805,1.6573977319467303e-06,0.0
1806,8.731457370458884e-07,0.0
1807,1.3124463471569925e-06,0.0
1808,2.0598612877620326e-06,0.0
1809,1.3283098878602573e-06,0.0
1810,1.993788004028829e-06,0.0
1811,1.065507623465578e-06,0.0
1812,1.8430408488256944e-06,0.0
1813,2.631303672728791e-06,0.0
1814,1.4380315001005783e-06,0.0
1815,1.23802561269315e-06,2.697223555614414e-09
1816,1.2376004665526352e-06,0.0
1817,1.6845370112150704e-06,0.0
1818,1.376895975013781e-06,2.2650237241350624e-08
1819,1.7731349046812284e-06,0.0
1820,1.094089509656726e-06,4.746592452420373e-09
1821,1.4654171738293087e-06,0.0
1822,1.2812736827072513e-06,0.0
1823,1.1276145350791467e-06,0.0
1824,1.2564300222450697e-06,0.0
1825,1.6237236450944437e-06,0.0
1826,1.4832645882645323e-06,0.0
1827,1.4314424958139504e-06,0.0
1828,1.1391997674081722e-06,0.0
1829,1.600612009156066e-06,8.57317605795771e-10
1830,1.3870555009010133e-06,5.218417697960831e-09
1831,1.2472965096321786e-06,0.0
1832,1.294818083863447e-06,1.3529969367098715e-09
1833,1.478070970506451e-06,5.791814139399776e-09
1834,1.003462080317874e-06,0.0
1835,8.901754569023979e-07,2.2689263801112247e-09
1836,8.582397736378589e-07,1.3441500135158435e-09
1837,1.0040236619879295e-06,0.0
1838,1.082535773244686e-06,0.0
1839,7.341048942066664e-07,9.088918062616358e-09
1840,1.20323414432022e-06,6.369688665408546e-10
1841,1.3810599992503114e-06,6.420548537278137e-10
1842,1.087409709388254e-06,1.341653010911159e-09
1843,1.0112631683711903e-06,4.7255288571079745e-09
1844,7.376626527388908e-07,2.195424508855126e-09
1845,1.0351323102009147e-06,7.812319235966925e-09
1846,1.0824973086798195e-06,2.3418005312692003e-09
1847,7.302424513966344e-07,1.6179670936367074e-09
1848,7.095885763419574e-07,4.02261068899179e-09
1849,5.93262561077168e-07,0.0
1850,5.865692784823295e-07,9.504594444820214e-09
1851,7.087933298066673e-07,8.384270167027807e-09
1852,9.674670593540213e-07,3.2552727180501506e-09
1853,7.566437929540371e-07,2.388772735173461e-09
1854,6.520558955003253e-07,1.2469595134234623e-08
1855,6.686740832151372e-07,1.3798036491152743e-08
1856,7.336077301189903e-07,5.694908100650764e-09
1857,6.907335584060981e-07,4.002837528105374e-08
1858,7.932648697916989e-07,8.808616946964776e-09
1859,9.405243943660935e-07,1.2221216039165483e-08
1860,7.900219145540177e-07,2.1055045706930287e-08
1861,7.908671300072001e-07,1.0846716413936974e-08
1862,7.901957773670532e-07,1.8523744316212287e-08
1863,1.2546487744291568e-06,1.6482248454963155e-08
1864,7.120170877339405e-07,1.2466292331758666e-08
1865,9.168932830760923e-07,2.2592853810010638e-08
1866,6.787530246743501e-07,6.811858188626729e-09
1867,8.502125812270833e-07,1.747012134956094e-08
1868,9.400580402996184e-07,7.854399530771161e-08
1869,7.613406474149542e-07,4.883519144627257e-10
1870,6.456539010102347e-07,2.6376624440160867e-08
1871,4.7582874174167955e-07,3.18635318130589e-09
1872,6.343658768281912e-07,7.256807044164759e-09
1873,9.122670798222821e-07,8.380406590902112e-09
1874,6.613892103990437e-07,7.766991494406739e-09
1875,7.655403084783075e-07,8.925582539731636e-08
1876,9.304816588340259e-07,4.0508300713781864e-08
1877,9.036016432872884e-07,9.27722432209066e-09
1878,1.0157746879180252e-06,2.113680963589104e-08
1879,9.115113224211768e-07,2.3215436684154156e-08
1880,8.003054254857034e-07,8.343199908722454e-09
1881,8.499486616742047e-07,2.5101027034679646e-08
1882,8.139536280538096e-07,1.7304001787010748e-08
1883,8.436317351367961e-07,1.2638677659992936e-08
1884,8.410561962435281e-07,5.281357573494461e-09
1885,7.77988214295533e-07,2.3848851837815488e-08
1886,7.660261474029539e-07,1.5488312854472497e-08
1887,7.99140387641728e-07,2.8074376601239237e-08
1888,8.680301668562151e-07,6.340614699951175e-10
1889,9.360114123779795e-07,2.1927978877123167e-08
1890,9.235130476459297e-07,2.4906667839275087e-08
1891,7.445089265090132e-07,2.549687994068961e-08
1892,8.45622319500805e-07,3.384996594135714e-08
1893,6.731149327365848e-07,1.1085149687062312e-08
1894,7.208960894899974e-07,3.08775427448893e-08
