year,excellents_ADJ effets_NOUN
1800,2.2009151834367913e-08
1801,2.3811825844433088e-09
1802,0.0
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,1.9900143755080535e-08
1806,8.645007376628655e-09
1807,0.0
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,2.106114038724627e-08
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,0.0
1815,8.091670444798638e-09
1816,3.7081662185300956e-08
1817,0.0
1818,1.5497530370112145e-08
1819,6.210630232317271e-09
1820,1.3053129244156025e-08
1821,8.875339574387908e-09
1822,2.0051231786055723e-08
1823,1.1859224713361982e-08
1824,8.421112696055388e-09
1825,2.289415235168235e-08
1826,2.7304752237000685e-08
1827,1.3825909306319772e-08
1828,2.384798314380987e-08
1829,8.573175946935407e-09
1830,2.7135772739939057e-08
1831,2.6505050598757407e-08
1832,3.2471927369215337e-08
1833,2.548398292390175e-08
1834,1.120143711119681e-08
1835,3.479020449503878e-08
1836,5.645430078971003e-08
1837,1.196757182242436e-07
1838,1.0541310047074148e-07
1839,1.3283802502428443e-07
1840,1.1210651962301199e-07
1841,1.6372398192743276e-07
1842,2.1466448174578545e-07
1843,1.559424589459013e-07
1844,2.0033247949413635e-07
1845,1.8191542494605528e-07
1846,1.7973319188513415e-07
1847,1.963133371418735e-07
1848,2.6307876055398083e-07
1849,2.052956631359848e-07
1850,2.9600022344311583e-07
1851,2.147663167306746e-07
1852,2.3633279511159344e-07
1853,2.526127218516194e-07
1854,2.187374690265642e-07
1855,2.080319347896875e-07
1856,2.127824814124324e-07
1857,2.3919395175653335e-07
1858,2.2364099550031824e-07
1859,2.210003202662847e-07
1860,2.128390548250536e-07
1861,1.810930143619771e-07
1862,2.1957413309792173e-07
1863,2.0427998492777988e-07
1864,2.3925693426463113e-07
1865,2.58876440284439e-07
1866,2.1506009773020196e-07
1867,2.518609107937664e-07
1868,2.93922511218625e-07
1869,1.6750470877013868e-07
1870,2.1330662036689318e-07
1871,1.7843578348220035e-07
1872,2.2193735560449568e-07
1873,2.3944016902532894e-07
1874,1.3442870283597586e-07
1875,1.8480533015008405e-07
1876,2.0858750815477833e-07
1877,1.459616640886452e-07
1878,1.6788666812317388e-07
1879,1.606752562111069e-07
1880,1.6237150646247756e-07
1881,1.9871646372848772e-07
1882,1.630569386179559e-07
1883,2.2307266078769317e-07
1884,2.389814426351222e-07
1885,1.7983323630232917e-07
1886,2.084468775365167e-07
1887,2.00437980879542e-07
1888,1.616856764030672e-07
1889,2.1740024180871842e-07
1890,1.7893475501296052e-07
1891,2.058873036503428e-07
1892,2.093683093562504e-07
1893,1.7551487019318301e-07
1894,1.7644309480147058e-07
1895,1.5889142446212645e-07
1896,1.757314578298974e-07
1897,2.20832447439534e-07
1898,1.5503891859225405e-07
1899,1.956762787358457e-07
1900,1.73381181411969e-07
1901,1.45307211596446e-07
1902,1.369969169218166e-07
1903,1.6038654848671285e-07
1904,1.7198800605910947e-07
1905,1.5585492008085566e-07
1906,1.553543711452221e-07
1907,1.5994243085515336e-07
1908,1.4685053884022636e-07
1909,1.6502950472840894e-07
1910,1.736848957989423e-07
1911,1.3034916435117339e-07
1912,1.4325908637147222e-07
1913,1.219687675302339e-07
1914,1.5737347780486743e-07
1915,1.0484878032457345e-07
1916,9.449217230894646e-08
1917,1.0198774447189862e-07
1918,9.878283435682533e-08
1919,9.57616208552281e-08
1920,9.843900983241838e-08
1921,1.1510576314321952e-07
1922,1.0550447626656023e-07
1923,9.129715294875496e-08
1924,9.668718092825657e-08
1925,9.898359820681435e-08
1926,6.799144358637932e-08
1927,4.6826745148109694e-08
1928,6.284322751071159e-08
1929,7.798284684668033e-08
1930,8.507918636269096e-08
1931,5.5886246741465584e-08
1932,5.8085543486186e-08
1933,7.341223806633934e-08
1934,6.350237669039416e-08
1935,4.0692164304800826e-08
1936,5.2136272188363364e-08
1937,4.5328025777280345e-08
1938,5.8343463393839556e-08
1939,3.058810094103137e-08
