year,autres_ADJ ondes_NOUN,autres_ADJ mondes_NOUN
1800,0.0,2.138031902632065e-07
1801,1.1905912700171939e-08,1.666827849078345e-07
1802,0.0,1.1860552717735118e-07
1803,1.3652374342143503e-08,2.0088494068204454e-07
1804,1.2359254952798437e-08,2.3482583344502928e-07
1805,0.0,1.051864728651708e-07
1806,1.729001475325731e-08,1.5849180101668026e-07
1807,0.0,6.832692633906845e-08
1808,0.0,1.9261628381173068e-07
1809,4.969867006821005e-08,1.2650570901939773e-07
1810,0.0,1.1466620808420203e-07
1811,2.5070767684098882e-09,1.1532553401139012e-07
1812,0.0,1.8670457180292033e-08
1813,2.8757416448144113e-09,3.163315653864629e-08
1814,6.293354459785405e-08,8.810695817373926e-08
1815,0.0,1.3486118000116676e-07
1816,2.3176038865813098e-09,2.665244469568506e-07
1817,5.4490570278176165e-08,1.5257359109455138e-07
1818,2.384235475716423e-09,2.1219695600649402e-07
1819,7.24573512300708e-09,2.4117946795243483e-07
1820,0.0,1.7325062628970045e-07
1821,2.9584463767662328e-09,1.7652064343565144e-07
1822,7.017931125119503e-09,1.7544827812798758e-07
1823,1.7788837070042973e-08,2.1247777226562903e-07
1824,1.2631669044083083e-08,1.5410635967327835e-07
1825,7.044354433105582e-09,1.5409524678489106e-07
1826,9.688783109140786e-09,1.444509365455815e-07
1827,9.217273166939322e-09,1.0046827725318508e-07
1828,0.0,7.888178998882722e-08
1829,0.0,1.6203303232487087e-07
1830,2.6092090266160994e-08,1.450720219509094e-07
1831,1.870944643656003e-08,1.7773975002910447e-07
1832,4.058990921151917e-09,1.718306066322839e-07
1833,4.6334514003376626e-09,2.6526510055191466e-07
1834,7.467624740797874e-09,1.6895501175895333e-07
1835,1.9664028627630614e-08,1.6109377298789695e-07
1836,6.048674894287842e-09,1.646583751013786e-07
1837,6.957890930081589e-10,1.2037151009280933e-07
1838,1.8936485712828244e-09,1.6096012700472784e-07
1839,1.3283802502428443e-08,1.1745678074603916e-07
1840,2.229391071750797e-08,1.2675680949314483e-07
1841,1.0272877659645019e-08,1.4510439427795063e-07
1842,2.683306021822318e-09,1.4288605143519817e-07
1843,7.088293507706567e-09,1.9788152189059716e-07
1844,5.488561272137815e-10,1.1306436414892929e-07
1845,6.138250796539069e-09,1.311353514665825e-07
1846,3.5127007969038004e-09,1.4811888604526757e-07
1847,8.089835468183537e-09,1.7042586364368617e-07
1848,1.6090443422100975e-09,1.3274615184855065e-07
1849,1.1731181359664333e-08,7.792855982735603e-08
1850,7.467895635215882e-09,2.1113777837200587e-07
