year,petits_ADJ êtres_NOUN,petits_ADJ etres_NOUN,petits_ADJ maîtres_NOUN
1800,4.181738688657788e-07,0.0,1.5720821844311672e-07
1801,1.7620750725200196e-07,0.0,1.9049460076026037e-07
1802,2.618272958443413e-07,0.0,1.3650824826072494e-07
1803,3.56912067900339e-07,0.0,1.0531832117521844e-07
1804,1.3100809326260787e-07,0.0,1.3842365831351344e-07
1805,1.9331568523739406e-07,3.695740957709859e-08,1.9047280908068842e-07
1806,1.0662175498055149e-07,3.458002950651462e-08,2.1612517908664586e-07
1807,1.366538526781369e-07,0.0,2.7900161558847003e-07
1808,1.948823609154715e-07,0.0,3.693700469931116e-07
1809,7.00299480627109e-08,2.259030518203531e-09,1.3328279635516083e-07
1810,1.4040760731859336e-07,0.0,1.942305232205399e-07
1811,5.264861258069686e-08,1.504245972228091e-08,9.025476366275598e-08
1812,9.868670503010435e-08,0.0,1.947062044926895e-07
1813,9.489947672136623e-08,0.0,2.703197072850827e-07
1814,1.195737269199526e-07,0.0,1.384537871018665e-07
1815,1.6183341244868643e-07,0.0,1.0249449267085708e-07
1816,2.734772692747356e-07,0.0,8.111613958305952e-08
1817,1.6969920579867903e-07,0.0,1.8371106913495083e-07
1818,2.9206884732957406e-07,0.0,1.3709353652302525e-07
1819,2.3496883727602835e-07,0.0,1.1800197086131448e-07
1820,2.2427649071232736e-07,1.1866481131050932e-09,7.475883290197771e-08
1821,1.5876996428687562e-07,9.86148829262845e-10,1.8440982785250526e-07
1822,3.559093784133438e-07,0.0,1.31335568198665e-07
1823,1.660291388816404e-07,0.0,9.092071706628957e-08
1824,2.576860538283654e-07,3.3684450784221553e-09,8.421112518419704e-08
1825,1.7875049707072321e-07,0.0,1.479314419849942e-07
1826,2.71285927055942e-07,0.0,8.103345550125596e-08
1827,2.755964771949948e-07,0.0,5.991227547408329e-08
1828,2.577416751137207e-07,1.8344602503717056e-09,6.604057034564903e-08
1829,2.503367397821421e-07,0.0,7.887321890054366e-08
1830,3.204108622867352e-07,0.0,7.827626546941246e-08
1831,2.525775357753446e-07,0.0,5.1450978366673894e-08
1832,1.9483155710986466e-07,1.3529969367098715e-09,1.041807635715486e-07
1833,2.710569049213518e-07,0.0,1.1699464919079361e-07
1834,3.640467127752345e-07,0.0,1.0174638909177247e-07
1835,3.985747412116325e-07,0.0,5.52105419160398e-08
1836,3.777061579057772e-07,1.3441500135158435e-09,1.0282747409107174e-07
1837,4.564376467897091e-07,6.957890930081589e-10,5.6358917532861597e-08
1838,4.0145349089470983e-07,6.312161904276081e-10,4.986607748946881e-08
1839,3.628575484526664e-07,1.3982950353153e-09,5.3135210009713774e-08
1840,3.1593654625794443e-07,3.821813254756279e-09,6.17859825524647e-08
1841,4.1027305996976793e-07,2.5682194149112547e-09,5.5216717864681186e-08
1842,4.0316672311746515e-07,0.0,5.970355942963579e-08
