year,deux_DET eaux_NOUN,deux_DET maux_NOUN
1800,3.8673223912155663e-07,2.138031902632065e-07
1801,3.119349116786907e-07,3.52415026272368e-07
1802,7.250602038766374e-07,1.208433673127729e-07
1803,2.554944273924775e-07,1.6772917987850633e-07
1804,2.644880510160874e-07,1.9033252840472414e-07
1805,3.0703080255989335e-07,1.8194417350514414e-07
1806,1.556101381083863e-07,2.2765186713513685e-07
1807,1.9074599322266295e-07,1.8505208743135881e-07
1808,3.580396992219903e-07,1.8808414381510374e-07
1809,4.947276579514437e-07,1.2876473931555665e-07
1810,2.0593115834799391e-07,1.8955026348521642e-07
1811,2.1310152220621603e-07,1.2284675676710322e-07
1812,1.2802598803318688e-07,1.8670458246106136e-07
1813,3.077043686516845e-07,1.6679301495514665e-07
1814,9.125363931161701e-08,1.7306724942045548e-07
1815,1.4834729711310501e-07,1.942000902310781e-07
1816,3.383701709935849e-07,2.8738287483065506e-07
1817,1.977229260319291e-07,1.7904044113947748e-07
1818,2.84916149784209e-07,2.2650237707644294e-07
1819,2.6291667154509923e-07,1.6872211361373957e-07
1820,1.96983592104516e-07,2.7055576978796125e-07
1821,2.1202200173320307e-07,3.3134600208040155e-07
1822,1.5539704634193185e-07,2.76706998647569e-07
1823,1.9765373338032077e-07,2.3224313849823375e-07
1824,1.8779081756292726e-07,2.1052782273045523e-07
1825,2.606411271255382e-07,1.6906451172360448e-07
1826,3.805049288985174e-07,1.95537249947364e-07
1827,2.562401846262219e-07,2.0738863781843975e-07
1828,1.742737225640667e-07,1.5592911939421583e-07
1829,2.734843072005333e-07,1.8518060262984193e-07
1830,2.2752301731543412e-07,2.2021723111720348e-07
1831,2.229542468423773e-07,1.8553535330312343e-07
1832,2.1783250758744543e-07,2.7195238772037555e-07
1833,2.6294836175111413e-07,1.4711207541040494e-07
1834,2.5016544213940506e-07,2.454981689048452e-07
1835,2.9269151013977535e-07,1.754636400619347e-07
1836,2.1371985781115654e-07,2.0565494618374203e-07
1837,3.082345728655511e-07,2.470051221337144e-07
1838,2.379685055675651e-07,1.9946432106010548e-07
1839,1.8177836125232716e-07,2.405067505151237e-07
1840,1.9554944685751252e-07,2.184803178373329e-07
1841,2.3370796498056734e-07,1.727127565409603e-07
1842,1.9319803179485007e-07,2.461933403807848e-07
1843,1.9374668625005143e-07,2.3509506030805483e-07
1844,1.877087925095111e-07,2.2612871930505207e-07
1845,2.2209307815046486e-07,1.9754007629657622e-07
1846,2.3944911009543546e-07,2.4354725525199683e-07
1847,1.65032645327301e-07,2.2327945714550879e-07
1848,1.5125016261663404e-07,2.7031944771493954e-07
1849,1.5585712276333652e-07,1.491535910336239e-07
1850,1.6904599853262425e-07,1.7855059564197973e-07
1851,1.5027193001060368e-07,1.9735282807964438e-07
1852,2.0833745395520964e-07,1.4127882907999378e-07
1853,2.538071157687227e-07,2.1021200402593365e-07
1854,1.8964175563240815e-07,2.332853323849804e-07
1855,2.3668939874710304e-07,1.6186158191544564e-07
1856,1.8275478141926982e-07,1.9983949783863864e-07
1857,2.7580525463477557e-07,1.5083863236231565e-07
1858,2.025981833408963e-07,1.5904446470926814e-07
1859,2.597008528226752e-07,1.6855093964984746e-07
1860,2.4716792201839866e-07,2.055155515767737e-07
1861,2.1316155418560356e-07,2.2353667772367913e-07
1862,2.512000492060906e-07,2.037611752658819e-07
1863,2.2625632700723486e-07,2.717073677160897e-07
1864,3.1932889443808676e-07,1.9658384342591262e-07
1865,3.0406213258338255e-07,2.734676520788071e-07
1866,3.0604706369175005e-07,2.1165416552726413e-07
1867,2.0964146330015865e-07,1.9168605014385776e-07
1868,3.7197252522602753e-07,2.4402977238935364e-07
1869,2.500361775403803e-07,2.6615178594369127e-07
1870,2.9645032917358094e-07,2.2878855254759856e-07
1871,3.313807326321694e-07,1.7206306779371516e-07
1872,2.3100835733202985e-07,2.6850185363969103e-07
1873,2.4722197355941944e-07,1.7598853285782923e-07
1874,2.4973866263877653e-07,1.9656463584594164e-07
1875,3.2269414429464405e-07,1.6878504993655952e-07
1876,2.9867314310649817e-07,1.8984486871431727e-07
1877,3.6861502650253897e-07,1.7626725234975993e-07
1878,2.6571990474622e-07,2.3492055101215215e-07
1879,3.048553307571922e-07,1.9977494025713582e-07
1880,2.7147488346201953e-07,2.0665465538804995e-07
1881,3.158545851533745e-07,1.9523021421719022e-07
1882,3.108064907664243e-07,1.7703324473039572e-07
1883,3.4756363653798417e-07,1.611431477144265e-07
1884,3.630933216314247e-07,1.9673057227720392e-07
1885,2.945655560582239e-07,1.9272450130225494e-07
1886,3.4913240387624e-07,1.529470896599605e-07
1887,3.832478638887693e-07,1.9325617195420364e-07
1888,3.265416665954035e-07,1.6549003856169975e-07
1889,2.618827292799608e-07,2.1050858745041978e-07
1890,2.91670203989014e-07,1.5664983266105992e-07
1891,2.5305653839069464e-07,1.7274136854261712e-07
1892,2.3757662592771567e-07,1.611007718338442e-07
1893,2.4818419330774333e-07,1.6073467179467116e-07
1894,2.6340435121952055e-07,1.4619571686580457e-07
1895,2.5518925816925275e-07,1.847714647951193e-07
1896,2.2054888337841305e-07,1.833975966647472e-07
1897,3.123118581527251e-07,1.549905811470964e-07
1898,2.3878257504605926e-07,1.9068655676690582e-07
1899,3.0346405388570474e-07,1.503501305677446e-07
1900,2.922562937213158e-07,1.5157875421500933e-07
1901,2.0957771351692855e-07,1.9281149499228434e-07
1902,2.563168124414261e-07,1.1833783802872588e-07
1903,2.543503780927381e-07,1.6146658299298622e-07
1904,3.257022891389738e-07,1.4672726145192883e-07
1905,3.158384638268785e-07,1.5121024432573904e-07
1906,2.6441109790553696e-07,1.4506600964914185e-07
1907,3.342848184928471e-07,1.259996658120599e-07
1908,3.153111804987674e-07,1.5569103561929865e-07
1909,3.2455802134734313e-07,1.8813363911185377e-07
1910,3.014100866671754e-07,1.474985554805741e-07
1911,2.2185960579790276e-07,1.6705974714703586e-07
1912,2.7870402474761136e-07,1.6409676462103562e-07
1913,2.487102257475726e-07,1.5166550926259958e-07
1914,2.2634993790404678e-07,1.419709598771135e-07
1915,4.1703897180056515e-07,1.7082104963872524e-07
1916,2.5820535798359856e-07,1.274545553542339e-07
1917,2.9499682341338485e-07,1.8094600306994835e-07
1918,2.6533529240424514e-07,1.8033610693635183e-07
1919,2.0349345597470148e-07,1.878401068022839e-07
1920,2.1126525950876385e-07,1.5144462928162739e-07
1921,2.0219235352669784e-07,1.522122277108906e-07
1922,2.7150802139885855e-07,1.7338148872170223e-07
1923,2.590291372506215e-07,2.1975012431951768e-07
1924,2.6427831256725653e-07,1.4954284210944024e-07
1925,2.111650161396028e-07,1.4077668009093713e-07
1926,3.2546725425852685e-07,1.8391128264738654e-07
1927,3.177529165343529e-07,1.3602054593775392e-07
1928,2.742249889386983e-07,1.4968114347979622e-07
1929,2.428608536497734e-07,1.2922871350795617e-07
1930,2.2897855211923002e-07,1.4810080983806984e-07
1931,2.2582605918586296e-07,1.653776715571098e-07
1932,1.9727166034044785e-07,1.1617108530703746e-07
1933,2.7070761943193133e-07,1.4108914658805816e-07
1934,2.132721306224994e-07,1.4377896206951846e-07
1935,2.1901960156611722e-07,1.8550840685804815e-07
1936,2.012702564613278e-07,1.4185916219489059e-07
1937,2.0523522925586235e-07,9.191516170403702e-08
1938,1.9966430764295495e-07,1.1798344823343854e-07
1939,3.3646911745677244e-07,1.1164656577022924e-07
1940,3.575453888515767e-07,8.621662117569429e-08
1941,2.774412468653509e-07,1.1806010036252701e-07
1942,2.973527655214525e-07,1.0619741419581885e-07
1943,3.280655676007882e-07,1.451617634984359e-07
1944,2.634812688029342e-07,1.0603514510876266e-07
1945,3.7034567412774777e-07,8.49616608178394e-08
1946,3.549881455455761e-07,1.1415305323225766e-07
1947,3.0159803565688037e-07,1.0728783905733508e-07
1948,2.989769223304961e-07,1.5111923956645512e-07
1949,2.7487622922262034e-07,1.3645640861703612e-07
1950,2.190884502706325e-07,1.2124311865591153e-07
1951,2.9851923954993254e-07,1.3859822223238893e-07
1952,2.4463944647834523e-07,1.0017563845110544e-07
1953,2.95202881805956e-07,1.249764003397047e-07
1954,3.3422074663391754e-07,1.0749789680630784e-07
1955,3.0127802119750413e-07,7.133062274178315e-08
1956,2.9739092788361177e-07,8.372296034231397e-08
