year,tels_ADJ êtres_NOUN,tels_ADJ maîtres_NOUN
1800,9.118077315406481e-08,6.917161821107243e-08
1801,3.809892135109294e-08,1.381085894536227e-07
1802,3.8043282302169246e-08,1.8126505096915935e-07
1803,5.265916058760922e-08,1.3652375230321923e-07
1804,3.707776485839531e-08,4.9437020477327565e-08
1805,3.4114531644036106e-08,1.6772978028711805e-07
1806,5.4751712497136396e-08,6.339671898558663e-08
1807,3.131650672116848e-08,1.366538526781369e-07
1808,2.2660739062985158e-08,8.611080914988634e-08
1809,2.710836710662079e-08,7.228897858091443e-08
1810,2.574139479349924e-08,1.5210824244604737e-07
1811,4.011322829455821e-08,3.259199843341776e-08
1812,1.8670457180292033e-08,9.068507722531649e-08
1813,6.901780125190271e-08,8.052076339026826e-08
1814,6.922689976818219e-08,5.97868634599763e-08
1815,4.045835311217161e-08,9.440282155992463e-08
1816,3.476405652236281e-08,4.8669683394564345e-08
1817,1.2454987263765815e-08,1.4478922916172365e-07
1818,5.364529798157491e-08,1.0609848044573766e-07
1819,5.072014630513877e-08,7.349245179089081e-08
1820,9.493184904840746e-08,1.5189095847745193e-07
1821,3.648750634965836e-08,1.7652064343565144e-07
1822,6.717162648328667e-08,1.9850719468195166e-07
1823,8.499110748516614e-08,1.5812298670425662e-07
1824,9.010590673597108e-08,8.336901657912676e-08
1825,4.6668848341369085e-08,9.333769668273817e-08
1826,5.19671061738336e-08,7.574866600634778e-08
1827,6.267745789045875e-08,9.493790997794349e-08
1828,8.6219628769868e-08,1.0089531565782295e-07
1829,3.429270378774163e-08,1.1745251526917855e-07
1830,5.9489963177838945e-08,5.7402597564149005e-08
1831,2.6505050598757407e-08,1.1225668572478753e-07
1832,5.547287429408243e-08,8.794479811058409e-08
1833,4.51761508202253e-08,7.645194699534841e-08
1834,4.947301235347368e-08,4.7606107722586444e-08
1835,6.958040899007756e-08,7.563087933704082e-08
1836,9.207427353885578e-08,5.107770206791429e-08
1837,4.244313345225237e-08,5.287997240088771e-08
1838,5.5547026533986354e-08,7.32210807541378e-08
1839,4.1249702320556025e-08,3.705481976812308e-08
1840,5.796416857606346e-08,6.051204193280313e-08
1841,4.8796167106957e-08,8.924562555634452e-08
1842,7.177843741601464e-08,5.433694738599115e-08
1843,6.497602100807853e-08,1.0632439995106324e-07
1844,3.0187088384536764e-08,9.275668588770714e-08
1845,5.0780073479472776e-08,8.091330272463892e-08
1846,3.1614305839866574e-08,5.620321275046081e-08
1847,8.952751073820764e-08,5.9325458323655766e-08
1848,3.137636639394259e-08,5.873011943435813e-08
1849,3.1841775438579134e-08,1.2569122986860748e-07
1850,3.530277936647508e-08,7.467895724033724e-08
1851,3.031236062156495e-08,5.482023013314574e-08
1852,3.580800012059626e-08,6.966283905285309e-08
1853,7.942669100202693e-08,8.539862506040663e-08
1854,2.234135720868835e-08,7.325886741682552e-08
1855,3.131092896069276e-08,6.899018245576372e-08
1856,2.7956822634678247e-08,9.422484259502539e-08
1857,6.297146626366157e-08,1.1032210522898822e-07
1858,3.3766365703513657e-08,7.193703766006365e-08
1859,7.434572779629889e-08,7.434572779629889e-08
1860,3.9363783344015246e-08,6.499600857523546e-08
1861,2.9238975685075275e-08,6.838147470489275e-08
1862,4.292087041335435e-08,7.770936605311363e-08
1863,2.7470415275843152e-08,7.14230807830063e-08
1864,6.520829742839851e-08,1.0884032519697939e-07
1865,3.106517354467542e-08,6.448377121159865e-08
1866,3.5518972651971126e-08,5.400830360713371e-08
1867,2.5719900875742496e-08,5.920430012906763e-08
1868,3.013323279787983e-08,5.532658808871105e-08
1869,5.518376511304268e-08,7.325278517100742e-08
1870,2.6376625328339287e-08,7.568944226932217e-08
1871,3.823623728749226e-08,7.434824311758348e-08
1872,3.749350341308855e-08,1.009905687965329e-07
1873,5.3874039451784483e-08,6.405024777222934e-08
1874,2.0313670745508716e-08,9.081406204813902e-08
1875,3.3757011408397375e-08,7.266339707712177e-08
1876,5.9250943706956605e-08,6.16693476285235e-08
1877,2.783167118991514e-08,7.916564148668925e-08
1878,3.5026715750063886e-08,8.575506171837333e-08
1879,4.459807456669296e-08,9.102894593659983e-08
1880,2.759673911612026e-08,6.353668013936442e-08
1881,3.834879080955034e-08,5.787181223126936e-08
1882,2.1297232422057277e-08,8.186123778841647e-08
1883,3.4756364897248204e-08,6.824885900869049e-08
1884,2.442627788923346e-08,6.46966284989503e-08
1885,3.7384687345820566e-08,5.414333870135124e-08
1886,3.355801325710672e-08,6.582533274013258e-08
1887,3.1991731930247624e-08,8.552891334057122e-08
1888,4.6920547447371064e-08,9.70114015785839e-08
1889,1.9421923624918236e-08,9.147099405693027e-08
1890,1.8352281472289178e-08,6.816561892719619e-08
1891,3.1871099537283953e-08,4.971891698346553e-08
1892,4.576013878931917e-08,7.522214673372218e-08
1893,4.187723234849727e-08,4.8035648403388365e-08
1894,3.150769600779313e-08,8.696124242923986e-08
1895,3.671354775747204e-08,8.426060138511104e-08
1896,2.7126333179694484e-08,4.65865284127176e-08
1897,3.3212266714599536e-08,6.409384667449558e-08
1898,5.828105642535775e-08,5.318853624203257e-08
1899,3.15071986278781e-08,6.190887802404177e-08
1900,4.1009318607621026e-08,5.3467847038746186e-08
1901,5.4210769206974874e-08,6.818261510943557e-08
1902,3.535404502486017e-08,6.825294462942111e-08
1903,4.482182802689749e-08,5.994244656193359e-08
1904,3.6009989656804464e-08,5.482117870769798e-08
1905,3.767354073147544e-08,6.502556715304308e-08
1906,3.9095802151223324e-08,4.629766170438643e-08
1907,3.445705232252294e-08,4.628558930575011e-08
1908,4.714933510285846e-08,8.054678080071653e-08
1909,5.721022944271681e-08,6.766209548203506e-08
1910,5.1303846504424655e-08,5.611358278034828e-08
1911,4.203095471666529e-08,8.246580185389263e-08
1912,5.62617508137464e-08,4.8447616363134216e-08
1913,4.454511426388308e-08,6.999946500219068e-08
1914,5.2234600644851525e-08,6.027069388014894e-08
1915,5.654765544704787e-08,3.1808056522031336e-08
1916,5.16410700868164e-08,4.724608748674086e-08
1917,5.04455535121906e-08,5.8122049062525605e-08
1918,4.479686666059024e-08,6.891826043187166e-08
1919,8.379142002468143e-08,6.169258259802746e-08
1920,5.982062845077962e-08,6.436396660092214e-08
1921,6.966927657003907e-08,9.087296604093353e-08
1922,6.64014194740048e-08,5.385892770659595e-08
1923,9.342033990833443e-08,4.671017039825642e-08
1924,7.219309594574952e-08,3.867487263775615e-08
1925,5.939016034517408e-08,5.829034321891413e-08
1926,7.133528612257578e-08,5.461607699430715e-08
1927,7.469980545238286e-08,9.588333682586381e-08
1928,4.570416578530967e-08,4.7989372364831695e-08
1929,5.124586976990031e-08,3.4535258208734376e-08
1930,4.096405348263943e-08,5.4618739087075596e-08
1931,4.5621426636444085e-08,7.52753521737759e-08
1932,4.822195975862087e-08,8.000461637625023e-08
1933,4.7029715233293246e-08,5.3912111885878744e-08
1934,4.912448048344231e-08,4.553000465534751e-08
1935,7.540018742702159e-08,5.744776387928141e-08
1936,4.364897421282876e-08,5.8198629915295896e-08
1937,5.288269733227935e-08,6.043736844318914e-08
1938,8.557041297763135e-08,4.5378251711802875e-08
1939,8.870549095263414e-08,4.894096239382861e-08
1940,6.593035806190528e-08,3.550096039361961e-08
1941,3.5418032950929046e-08,6.493305493293633e-08
1942,7.282108072104165e-08,7.585529493425724e-08
1943,7.83873517207212e-08,7.548411673496958e-08
1944,9.639558129492798e-08,4.177142187700156e-08
1945,1.0456819410364915e-07,7.189063477852642e-08
1946,7.9350293447078e-08,5.8468637931241574e-08
1947,1.299374901009287e-07,4.5299308082391576e-08
1948,9.675979839585125e-08,5.109787237778107e-08
1949,6.773736060949886e-08,4.319483515313749e-08
