year,deux_DET arbres_NOUN,deux_DET marbres_NOUN
1800,4.2446221115710614e-07,1.2576657937302116e-08
1801,6.595875774451088e-07,3.5717739876872656e-08
1802,4.2295178559470514e-07,6.042168365638645e-08
1803,1.7806597583103212e-06,7.801356671777171e-09
1804,7.094212448599535e-07,0.0
1805,1.2167517056127508e-06,2.558589873302708e-08
1806,4.581853998431029e-07,8.645007198992971e-08
1807,3.3309373748124926e-07,3.701041606518629e-08
1808,4.5774693724354165e-07,8.157866204783204e-08
1809,6.777091567933269e-07,3.388545821714217e-08
1810,5.241884224460591e-07,4.212228077449254e-08
1811,4.1617474266786303e-07,1.0028307073639553e-08
1812,5.307744599392095e-07,3.467370746079723e-08
1813,4.5724291908300074e-07,2.3005932492381476e-08
1814,1.9824065589091333e-07,0.0
1815,3.66822407116274e-07,0.0
1816,1.207471584052655e-06,2.5493642752394408e-08
1817,6.383180988223103e-07,4.0478710161551135e-08
1818,5.531426170435338e-07,2.026600220972341e-08
1819,4.76148304784374e-07,0.0
1820,3.4175465124519633e-07,1.779972080839798e-08
1821,3.737504057355068e-07,4.437669787193954e-08
1822,2.947530930441644e-07,1.303330066093622e-08
1823,3.8147172354285885e-07,2.9648061783404955e-09
1824,2.795809326272547e-07,1.0105335235266466e-08
1825,4.015282053515534e-07,1.4088708866211164e-08
1826,3.4174978225109953e-07,2.3781558056157337e-08
1827,2.848137453659305e-07,1.8434546111834038e-08
1828,2.8434132559596037e-07,3.668920500743411e-09
1829,2.6834040944834214e-07,1.2859763920403111e-08
1830,4.039055454541085e-07,4.174734336004349e-09
1831,4.786500156228612e-07,0.0
1832,3.639561638735245e-07,1.3529969367098715e-09
1833,3.44033759702711e-07,2.3167257001688313e-09
1834,3.220413207216666e-07,9.334531370086552e-09
1835,3.448768026714788e-07,1.5126175867408165e-09
1836,2.990733767305187e-07,5.376600054063374e-09
1837,2.9362298636925743e-07,1.2524203452102256e-08
1838,3.408567383900163e-07,7.574594285131298e-09
1839,3.698490251835551e-07,2.0974424863595686e-08
1840,2.5032876216357636e-07,1.0828470564661075e-08
1841,4.224720893120093e-07,1.1556987811189856e-08
1842,3.307174587519057e-07,2.4149754196400863e-08
1843,2.8648519423413177e-07,7.678984559333912e-09
1844,2.508272506362985e-07,1.1525978393933656e-08
1845,3.2644333458620167e-07,1.0044410636567136e-08
1846,3.290229670938061e-07,2.1076203893244383e-08
1847,2.0817843449094653e-07,1.240441438454809e-08
1848,2.6951491705062836e-07,8.84974404868899e-09
1849,3.0249687998917807e-07,3.3517659758786067e-09
1850,3.421653920199219e-07,1.765138968323754e-08
1851,3.044135041818663e-07,1.9348316282474798e-09
1852,3.3268887911219736e-07,1.3021090872200602e-08
1853,3.6607942810462646e-07,5.971931837933653e-09
1854,3.3615950201237865e-07,1.2989160858012383e-08
1855,2.8657461115244587e-07,1.6451505047143655e-08
1856,3.339287122372525e-07,4.6076984894227735e-08
1857,3.729473014857376e-07,3.905207268672939e-09
1858,2.5838610717698884e-07,7.829881631948865e-09
1859,3.1418708612562796e-07,1.2730433596175317e-08
1860,2.984323952404111e-07,1.373155145145688e-08
1861,3.1266840005983454e-07,1.4619487231914974e-08
1862,3.158072363618203e-07,3.298130135664934e-08
1863,4.2654061260805065e-07,1.0488703794386822e-08
1864,3.826192855882482e-07,2.2535221688713136e-08
1865,4.796274311047455e-07,4.000817588334371e-08
1866,3.5470318238139953e-07,1.751620715140234e-08
1867,3.7172534916862787e-07,1.358787216076962e-08
1868,3.843222096122645e-07,1.6301584082611953e-08
1869,2.7689552517529137e-07,1.8069020946143155e-08
1870,3.9335574086862835e-07,2.465641069093749e-08
1871,2.9208238139233345e-07,1.911811864374613e-08
1872,3.7493504745356176e-07,1.2094678703000739e-08
1873,3.926819047705976e-07,3.83104287737801e-08
1874,4.6482460192009967e-07,1.9716210886144836e-08
1875,3.7189925805591884e-07,2.9751941355016243e-08
1876,5.36281500096436e-07,3.0230073333470386e-08
1877,4.10053292654311e-07,2.1646856751544874e-08
1878,4.58366834266144e-07,2.7779808675632012e-08
1879,4.954662884415484e-07,1.344051525631329e-08
1880,6.0777004762258e-07,2.631317030932223e-08
1881,2.998178150193098e-07,2.022027167924989e-08
1882,2.7886062792248367e-07,8.652000893505374e-09
1883,3.2102242819576077e-07,2.3381553249102183e-08
1884,4.3241115577075107e-07,2.44262796655903e-08
1885,4.170326306507377e-07,1.2891271383708158e-08
1886,4.207658559352012e-07,2.452316216761119e-08
1887,4.0871069373338287e-07,3.4603299781110763e-08
1888,3.2210323386294704e-07,2.53624587998047e-08
1889,4.1475205314611685e-07,2.255449249588537e-08
1890,3.958849479346327e-07,2.2940352395472985e-08
1891,4.3854633346995797e-07,1.0198752065093686e-08
1892,4.0996070449494937e-07,2.7581453565517222e-08
1893,3.245485533653891e-07,8.621783287310336e-09
1894,4.1023021779551527e-07,1.7644309791009505e-08
1895,3.1718098902899783e-07,5.416753268150387e-09
