year,divers_DET êtres_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,2.8469550272802735e-08
1808,0.0
1809,0.0
1810,3.7442028144596406e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,1.556873407970727e-09
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,1.4239777357261119e-08
1821,9.86148829262845e-10
1822,9.023054303725075e-09
1823,0.0
1824,1.6842225392110777e-09
1825,1.7610886082763955e-09
1826,8.807984341885344e-10
1827,2.7651818612639545e-08
1828,6.420610709767516e-09
1829,5.143905745796928e-09
1830,7.305785310052215e-09
1831,0.0
1832,0.0
1833,6.950177322551099e-09
1834,6.534171426153534e-09
1835,1.1344631900556124e-08
1836,2.2178475944656384e-08
1837,6.262101948095733e-09
1838,7.574594285131298e-09
1839,1.2584655095793096e-08
1840,2.5478754661634184e-09
1841,1.733548060656176e-08
1842,1.475818312002275e-08
1843,1.1813821920725331e-08
1844,8.781698035420504e-09
1845,8.928364714222425e-09
1846,4.0981511517657054e-09
1847,4.314578916364553e-09
1848,7.24069959545659e-09
1849,8.379414495607307e-09
1850,5.431196825611551e-09
1851,3.2247193804124663e-09
1852,1.0416872697760482e-08
1853,1.5527023222716707e-08
1854,1.1430461910322265e-08
1855,1.1144567935161831e-08
1856,2.0708757375587084e-08
1857,2.0990489346672803e-08
1858,1.9574704079872163e-09
1859,8.147477359443656e-09
1860,6.865775947773045e-09
1861,9.431927239234028e-09
1862,1.1746764450037972e-08
1863,4.994620717013731e-09
1864,1.4863656971897399e-08
1865,4.23615986733239e-09
1866,1.2650593461671633e-08
1867,1.3102591012170706e-08
1868,4.939874287401835e-09
1869,6.8369265804335555e-09
1870,8.601073631098188e-09
1871,3.611200227737754e-08
1872,5.442605477412599e-09
1873,1.3767810003173508e-08
1874,4.779687312606029e-09
1875,5.721527251978387e-09
1876,8.464420275799966e-09
1877,1.36065949618569e-08
1878,1.1474268646338714e-08
1879,1.588424503040642e-08
1880,1.9895322722618403e-08
1881,1.3945014920579979e-08
1882,6.655385131892899e-09
1883,6.951272890631799e-09
1884,1.1883054540362536e-08
1885,1.4180398189012067e-08
1886,4.5174246565693466e-09
1887,3.9173548849191775e-09
1888,8.242799331981132e-09
1889,5.012109394186837e-09
1890,6.554386478008212e-10
1891,4.461953917456185e-09
1892,3.1342561879199593e-09
1893,1.0469308087124318e-08
1894,5.671385139294216e-09
1895,1.3842813118003505e-08
1896,8.845543852942228e-09
1897,4.661370844871726e-09
1898,3.960848538042683e-09
1899,5.527578395003729e-09
1900,7.26747462209687e-09
1901,5.58873880507349e-09
1902,6.38336894454028e-09
1903,4.320176216765503e-09
1904,6.449550227216605e-09
1905,5.676835002077496e-09
1906,9.773950537805831e-09
1907,3.599990305858114e-09
1908,5.40252820258047e-09
1909,1.1001967337165297e-08
1910,9.619471441624228e-09
1911,8.51259862599818e-09
1912,7.293189607793238e-09
1913,6.893886794756554e-09
1914,4.018046340092951e-09
1915,1.0602685840410686e-08
1916,1.0987461607214755e-08
1917,6.57985488317081e-09
1918,9.189101035644853e-09
1919,1.3811772170413406e-08
1920,3.786115865267448e-09
1921,3.0290989716519334e-09
1922,1.475587119159627e-08
1923,4.246379248229459e-09
1924,1.1602462102189293e-08
1925,2.0896537833436923e-08
1926,1.3375366592072169e-08
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,4.4561625500705304e-09
1930,5.2518016602221e-09
1931,6.843213995466613e-09
1932,7.6716757391182e-09
1933,3.4411986593596566e-09
1934,1.0783422155213884e-08
1935,7.180970484910176e-09
1936,4.849885826274658e-09
1937,7.554670666820584e-09
1938,7.779128452511941e-09
1939,9.176430282309411e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,1.8205270180260413e-08
1943,2.322588166236983e-08
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,1.1136883415474585e-08
1947,1.3112957830685446e-08
1948,9.784699273041042e-09
1949,1.1780409536754632e-08
1950,1.3825969702452312e-08
1951,9.595261474260042e-09
1952,1.1599284199803606e-08
