year,six_DET oies_NOUN,six_DET mois_NOUN
1800,0.0,1.5258630668313344e-05
1801,0.0,1.3865625874132093e-05
1802,0.0,1.472051221185211e-05
1803,1.1702034896643454e-08,1.5709982534417577e-05
1804,2.7190360185613827e-08,1.7021166257791265e-05
1805,3.980028751016107e-08,1.6247045891759626e-05
1806,0.0,1.8240964777760382e-05
1807,2.8469551160981155e-09,2.1355010972001764e-05
1808,1.3596443970698147e-08,1.78815899687379e-05
1809,1.581321384946932e-08,1.896681988000637e-05
1810,0.0,2.0782666382501702e-05
1811,0.0,2.0808737531297083e-05
1812,0.0,1.751022236362587e-05
1813,0.0,2.1286240439621906e-05
1814,0.0,1.7885712225051975e-05
1815,0.0,1.799857284368045e-05
1816,0.0,1.5361078908426862e-05
1817,0.0,1.6560462370307505e-05
1818,1.668964877410417e-08,1.94100614976378e-05
1819,0.0,1.7338009570266877e-05
1820,0.0,1.7494752881930253e-05
1821,0.0,1.7534712640099315e-05
1822,2.0051231786055723e-09,1.5477545758812994e-05
1823,1.9765373782121287e-09,1.7637630662648007e-05
1824,0.0,1.549821570279164e-05
1825,0.0,1.7565097607530333e-05
1826,0.0,1.7447735501718853e-05
1827,1.8434546111834038e-09,1.9857692905134172e-05
1828,1.8344602503717056e-09,1.7663099811215943e-05
1829,0.0,1.7950516166820307e-05
1830,2.0873671680021744e-09,1.7414904334600578e-05
1831,0.0,1.8643963471731695e-05
1832,9.470978667991403e-09,1.9377622550109663e-05
1833,0.0,1.8028759825483576e-05
1834,0.0,1.8701731903547625e-05
1835,0.0,1.8201327577571647e-05
1836,1.6129799718100912e-08,1.81460250132659e-05
1837,4.174734336004349e-09,1.850729455554756e-05
1838,0.0,1.769109667293378e-05
1839,0.0,1.6532741085484304e-05
1840,1.2739377330817092e-09,1.6270094960191273e-05
1841,1.926164561183441e-09,1.6536764178454177e-05
1842,2.683306021822318e-09,1.7265061728721776e-05
1843,1.1813822142769936e-09,1.6031356437906652e-05
1844,2.7442805805577564e-09,1.6666017188526894e-05
1845,0.0,1.7244578145891865e-05
1846,3.5127007969038004e-09,1.5962884219788975e-05
1847,9.707802561820245e-09,1.819781550693733e-05
1848,8.045221711050488e-10,2.0097767560400825e-05
1849,8.379414939696517e-10,1.9782961373948638e-05
1850,4.073397619208663e-09,1.7583500323326007e-05
1851,5.8044946626978344e-09,1.8578898902887886e-05
1852,1.9531636308300904e-09,1.7533549510062585e-05
1853,1.1346670270029335e-08,1.693819012871245e-05
1854,1.0391328908454511e-09,1.657261032050883e-05
1855,5.306937111981824e-09,1.7174840706957184e-05
1856,0.0,1.6613082777894306e-05
1857,9.763018171682347e-10,1.7107249277614756e-05
1858,1.468102750479261e-09,1.6536709949832584e-05
1859,1.5276520048956854e-09,1.57027346290306e-05
1860,2.288591982591015e-09,1.650761311111637e-05
1861,5.187560159214399e-09,1.692559339971922e-05
1862,4.969785055708442e-09,1.7446204083171324e-05
1863,4.994620717013731e-09,1.7518132381155738e-05
1864,2.3973640850272204e-09,1.774145277977368e-05
1865,2.3534221238463715e-09,1.684579649463558e-05
1866,1.9462451650298362e-09,1.6386898209930223e-05
1867,3.396968040192405e-09,1.651217672815619e-05
1868,9.87974813071446e-10,1.6364320117645548e-05
1869,1.953407657850903e-09,1.66562189178876e-05
1870,1.1468097582678638e-09,1.629903351840767e-05
1871,1.0621177271019633e-09,1.8430928889756615e-05
1872,3.0236697590169115e-09,1.784146593308833e-05
1873,4.788803575905831e-09,1.701461837910756e-05
1874,3.5847653734322193e-09,1.7666322037257487e-05
1875,2.2886108563824337e-09,1.806057252906612e-05
1876,6.04601479992084e-09,1.6901028857319034e-05
1877,5.566334282391949e-09,1.6459031598969887e-05
1878,5.435179861734696e-09,1.6432361121587746e-05
1879,5.498392852132383e-09,1.755759012667113e-05
1880,8.984984978255284e-09,1.8638709548213228e-05
1881,6.972507571312292e-10,1.889828445200692e-05
1882,4.658769592325029e-09,1.7410487600955094e-05
1883,6.951272890631799e-09,1.641511414618435e-05
1884,9.242375753615306e-09,1.778761190962541e-05
1885,6.445635636342928e-09,1.8161222214985173e-05
1886,3.2267319927115068e-09,1.768571831917143e-05
1887,6.528924623161458e-10,1.7790667357076018e-05
1888,1.268122939990235e-09,1.797120370383709e-05
1889,5.012109394186837e-09,1.708753381990391e-05
1890,2.6217545912032847e-09,1.7633920720072638e-05
1891,1.9122659011827636e-09,1.753229230416764e-05
1892,3.761107425503951e-09,1.7564998756824934e-05
1893,8.005941687372342e-09,1.7646327592046873e-05
1894,3.150769645188234e-09,1.7519539028398867e-05
1895,6.018614495673091e-10,1.859390795289073e-05
1896,2.948514543632541e-09,1.7701111573842354e-05
1897,6.409385022720926e-09,1.8554586063146417e-05
1898,1.13167097914868e-09,1.837380989400117e-05
1899,2.2110313580014918e-09,1.8861755393118074e-05
1900,3.114631885736685e-09,1.7787144315661862e-05
1901,9.500856101851696e-09,1.8818402395481826e-05
1902,9.820567692386817e-10,1.6478913039463805e-05
1903,1.0800440541913758e-09,1.828460619890393e-05
1904,2.1498500757388683e-09,1.8505909110899665e-05
1905,6.708986699521802e-09,1.953811715793563e-05
1906,3.0865106026567446e-09,1.9080295032836148e-05
1907,6.1714118260169926e-09,1.841086407239345e-05
1908,7.367083831866239e-09,1.7655460737842077e-05
