year,vrais_ADJ auteurs_NOUN,vrais_ADJ moteurs_NOUN
1800,1.3834323908668011e-07,1.2576657937302116e-08
1801,1.3572740442668874e-07,0.0
1802,1.096541666356643e-07,0.0
1803,1.2677205063482688e-07,9.751696339321825e-09
1804,6.42681232676523e-08,0.0
1805,8.244345273134002e-08,0.0
1806,1.671368039524168e-07,0.0
1807,5.4092146317685774e-08,0.0
1808,8.611080914988634e-08,9.064295980465431e-09
1809,3.6144488291256494e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,1.1031138091865955e-07,0.0
1812,4.5342538612658245e-08,0.0
1813,6.901779880941206e-08,2.8757416004054903e-08
1814,5.97868634599763e-08,3.1466771410748606e-09
1815,1.4834729711310501e-07,5.394447111228828e-09
1816,5.0987285504788815e-08,0.0
1817,8.718490751569163e-08,0.0
1818,1.0252212234718172e-07,1.1921177378582115e-09
1819,7.763287668272056e-08,1.0351049795076506e-08
1820,5.93324074316115e-08,0.0
1821,1.015733275266939e-07,6.903041693817613e-09
1822,6.115625694746996e-08,0.0
1823,7.412015445851239e-08,8.894418535021487e-09
1824,1.229482506914792e-07,0.0
1825,8.629334047327575e-08,0.0
1826,7.398706713956926e-08,7.0463874735082754e-09
1827,5.622536392024813e-08,7.373818444733615e-09
1828,7.521286704559316e-08,9.172301140836225e-09
1829,1.1059397309054475e-07,1.3717081692732336e-08
1830,4.696576283436116e-08,1.0436835840010872e-09
1831,5.456922025359745e-08,3.1182412207897414e-09
1832,4.329590197471589e-08,0.0
1833,7.645194755045992e-08,1.0425265983826648e-08
1834,1.1201436933561126e-07,1.213489042584115e-08
1835,6.126101226300307e-08,4.5378527602224494e-09
1836,3.629205025390547e-08,6.720750067579218e-10
1837,2.5048407792382932e-08,2.7831563720326358e-09
1838,5.680945847075236e-08,6.312161904276081e-09
1839,5.872839281551023e-08,0.0
1840,3.7581162348754305e-08,0.0
1841,6.741576186186649e-08,1.926164561183441e-09
1842,4.360372329870188e-08,5.366612043644636e-09
1843,5.1390127708828004e-08,1.7720733769266417e-09
1844,6.092302839988406e-08,1.6465684371524958e-09
1845,1.428538354275588e-07,5.580227946389016e-10
1846,4.859236213405893e-08,0.0
1847,1.0354989399274928e-07,2.1572894581822766e-09
1848,4.103063133698015e-08,0.0
1849,8.128032646936845e-08,0.0
1850,5.499086785931695e-08,6.788996032014438e-10
