year,quelques_DET ondes_NOUN,quelques_DET mondes_NOUN
1800,5.973912209356058e-08,0.0
1801,2.6193008650921e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,6.241085515057421e-08,1.1702034896643454e-08
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,5.187004603612877e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,5.034683425719777e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,7.005930058312515e-08,1.556873407970727e-09
1818,2.026600220972341e-08,0.0
1819,4.140419918030602e-08,0.0
1820,2.1359666035891678e-08,8.306536791735653e-09
1821,2.9584464655840748e-08,0.0
1822,1.7043547018147365e-08,1.0025615893027862e-09
1823,1.976537300496517e-08,0.0
1824,4.210556348027694e-09,1.6842225392110777e-09
1825,7.044354433105582e-09,2.641632912414593e-09
1826,5.284790383086602e-09,0.0
1827,1.935627302884768e-08,0.0
1828,2.935136400594729e-08,9.172301251858528e-10
1829,9.430493719264632e-09,0.0
1830,1.1480519646056564e-08,1.0436835840010872e-09
1831,1.7150327380477393e-08,0.0
1832,2.0294953273491956e-08,1.352996914505411e-08
1833,3.01174338801502e-08,0.0
1834,8.401078055442213e-09,3.733812370398937e-09
1835,2.193295500774184e-08,7.563087933704082e-10
1836,8.736974699274924e-09,5.376600054063374e-09
1837,1.3915782304252389e-08,7.653679912067446e-09
1838,7.574594285131298e-09,3.787297142565649e-09
1839,2.516931019158619e-08,0.0
1840,8.280594876453051e-09,4.458782232319436e-09
1841,1.0914932513372833e-08,6.420548537278137e-10
1842,4.024959032733477e-09,4.024959032733477e-09
1843,5.31621990873532e-09,1.1813822142769936e-09
1844,1.1525978393933656e-08,5.488561272137815e-10
1845,2.2320911785556063e-09,1.674068439427856e-09
1846,6.439951683034906e-09,1.1709002656346001e-09
1847,5.393223645455691e-10,2.6966118227278457e-09
1848,9.65426583121598e-09,0.0
1849,0.0,0.0
1850,1.2220192857625989e-08,5.431196825611551e-09
1851,3.2247193804124663e-09,0.0
1852,1.3021090872200602e-09,4.557382027314816e-09
1853,5.971931837933653e-09,0.0
1854,1.506742641765868e-08,2.0782657816909023e-09
1855,9.021793090369101e-09,1.5920811335945473e-09
1856,3.1063134287023786e-09,0.0
1857,4.393358121745905e-09,5.3696598834029885e-09
1858,4.893676019968041e-10,4.893676019968041e-10
1859,9.675129142294736e-09,3.055304009791371e-09
1860,2.288591982591015e-09,3.661747127736703e-09
1861,8.017138064531082e-09,2.357981809808507e-09
1862,4.066187719864445e-09,3.6143890658202338e-09
1863,2.4973103585068657e-09,1.3485475847119233e-08
1864,1.9178911792039344e-09,1.4384183844029508e-09
1865,5.177528628053096e-09,4.706844358715045e-10
1866,4.865612801552288e-09,4.865612912574591e-09
1867,9.7056229719783e-10,4.85281148598915e-10
1868,6.421836395986702e-09,4.93987406535723e-10
1869,5.860222973552709e-09,4.883519366671862e-09
1870,1.1468097582678638e-09,2.8670243956696595e-09
1871,0.0,1.0621177271019633e-09
1872,6.047339295989218e-09,6.047339295989218e-10
1873,4.1902030178953e-09,0.0
1874,1.7923827755339516e-08,5.974609140757536e-10
1875,4.577221712764867e-09,0.0
1876,4.836811839936672e-09,5.441413541973361e-09
1877,1.608052180301911e-08,4.9478527941460015e-09
1878,1.2078177347163432e-09,4.831270938865373e-09
1879,6.720257683667796e-09,4.887460214320072e-09
1880,1.2835692508872398e-09,1.2835692508872398e-09
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,9.983077253750139e-09,6.655385131892899e-10
1883,5.0554711528150165e-09,1.2638677882037541e-09
1884,3.9610181801208455e-09,2.6406787867472303e-09
1885,1.2891271383708158e-09,1.2891271383708158e-09
1886,3.872078213618124e-09,1.2906927748801422e-09
1887,1.9586774424595887e-09,1.9586774424595887e-09
1888,1.9021844099853524e-09,1.9021844099853524e-09
1889,6.891650528029203e-09,0.0
1890,4.5880703680722945e-09,0.0
1891,7.0116419337296065e-09,0.0
1892,3.1342561879199593e-09,5.014809900671935e-09
1893,5.173069800301633e-08,7.3900996988562895e-09
1894,1.0082462864602348e-08,1.8904617871129403e-09
1895,1.2037228769301578e-08,0.0
1896,5.897029087265082e-09,1.179405795248556e-09
1897,4.661370844871726e-09,1.1653427112179315e-09
1898,1.6975064687230201e-09,5.6583548957434e-10
1899,0.0,1.6582735185011188e-09
1900,1.8168686111152965e-08,5.191053142894475e-10
1901,6.706486921359556e-09,1.1177477832191585e-09
1902,5.4013122863239005e-09,8.838511256215043e-09
1903,1.0800440541913758e-09,5.400220270956879e-10
1904,1.0749250378694342e-08,1.0749250378694342e-09
1905,3.096455536422127e-09,5.160759042333041e-10
1906,6.6874399351490865e-09,0.0
1907,1.0285686968813934e-08,0.0
1908,8.840499887696751e-09,0.0
1909,4.400786846048277e-09,3.850688656825696e-09
1910,9.085056262847502e-09,2.137660271017694e-09
1911,1.4897047595496815e-08,0.0
1912,1.3023552902780011e-08,1.0418842455450772e-09
1913,9.545381596254288e-09,2.121195885607108e-09
1914,5.357394972094198e-09,1.808120853041828e-08
1915,1.1780762143587253e-08,2.3561523843085297e-09
1916,1.0987462051303964e-09,0.0
1917,1.4256351654751143e-08,1.2063066989753679e-08
1918,1.033773866510046e-08,1.1486376294556067e-09
1919,1.2890987832747669e-08,1.8415696745321952e-09
1920,7.572231730534895e-09,3.028892692213958e-09
1921,9.087297137000405e-09,3.0290989716519334e-09
1922,1.0329110011753073e-08,0.0
1923,1.0615948120573648e-08,0.0
1924,7.734974438733389e-09,7.734974438733389e-09
1925,1.2097995494286806e-08,6.598906754362588e-09
1926,1.2260752413340015e-08,2.229227691330493e-09
1927,5.574612327308159e-09,2.2298449753321847e-09
1928,7.998228745975666e-09,3.4278122562625413e-09
1929,1.0026365515614089e-08,3.342121912552898e-09
1930,8.402882833991043e-09,0.0
1931,1.3686427990933225e-08,2.2810713318222042e-09
1932,1.8631212572728373e-08,0.0
1933,4.244145057619164e-08,0.0
1934,3.354842448288764e-08,5.990790086229936e-09
1935,7.180970484910176e-09,0.0
1936,3.031178685830582e-08,2.424942913137329e-09
1937,3.147779614742774e-08,3.777335444432595e-09
1938,2.463390735840676e-08,3.8895642262559704e-09
1939,1.6823456405745674e-08,1.2235240376412548e-08
1940,3.296517903095264e-08,0.0
1941,2.9515025534720962e-08,8.854508237732261e-09
1942,1.517105863158008e-08,0.0
1943,2.6129116648121453e-08,0.0
1944,3.2131861615880553e-09,0.0
1945,1.742803235060819e-08,0.0
1946,9.744772988540262e-09,1.3921104269343232e-09
1947,1.5497132244135514e-08,0.0
1948,1.1959077061973744e-08,1.0871887834440486e-09
1949,1.3743811200228606e-08,3.926803215925645e-09
1950,1.808011518278363e-08,4.2541445921528975e-09
1951,2.1322804077961166e-08,1.0661401761424827e-09
1952,2.530752918339374e-08,1.0544803918932644e-09
1953,1.723812381726475e-08,0.0
1954,1.563605755983133e-08,1.9545072227344917e-09
1955,3.660386926895853e-08,9.385607846468247e-10
1956,2.703553825256222e-08,0.0
1957,7.068030161150318e-09,0.0
1958,5.128790869779465e-08,1.6544486891589827e-09
1959,2.1702093455644444e-08,3.100299128533379e-09
1960,1.2457500420115508e-08,2.076250060767393e-09
1961,2.640300600376122e-08,2.779263652552544e-09
1962,2.09284568564172e-08,4.439369538644655e-09
1963,3.9442925814370255e-08,1.9398159745165344e-09
1964,1.7035111044005902e-08,1.8251904432275978e-09
1965,2.8454626210816514e-08,1.0944086747954884e-09
1966,1.9386761085371518e-08,5.539074754423723e-10
1967,1.3311905744384234e-08,3.9442684118817795e-09
