year,ses_DET amants_NOUN,ses_DET mamans_NOUN
1800,6.288328657788611e-08,0.0
1801,1.8811342750169047e-07,0.0
1802,1.096541666356643e-07,0.0
1803,5.265916058760922e-08,0.0
1804,3.4605911691798497e-08,0.0
1805,7.391481915419718e-08,0.0
1806,8.645007198992971e-08,0.0
1807,7.117387923472052e-08,5.693910232196231e-09
1808,2.7872710361975805e-07,0.0
1809,1.6716825657070444e-07,6.7770917766551975e-09
1810,3.533591268478631e-07,0.0
1811,1.6295998994664274e-07,0.0
1812,3.6007310333374676e-07,5.3344164641089264e-09
1813,1.9267469042461016e-07,0.0
1814,1.0384034254684593e-07,0.0
1815,8.091670955501229e-08,0.0
1816,1.6686747450478379e-07,2.3176038865813098e-09
1817,1.634717108345285e-07,1.556873407970727e-09
1818,2.3007872540503627e-07,1.1921177378582115e-09
1819,2.0081037099828336e-07,4.140420006848444e-09
1820,1.946102914374137e-07,0.0
1821,3.589581767382555e-07,0.0
1822,2.1855842646800738e-07,0.0
1823,2.6782081552489956e-07,0.0
1824,2.972652737298631e-07,1.6842225392110777e-09
1825,2.49194039181333e-07,3.522177216552791e-09
1826,2.0258363564451543e-07,8.807984341885344e-10
1827,2.0278000323337153e-07,3.6869092223668076e-09
1828,2.173835345620212e-07,9.172301251858528e-10
1829,3.0349042390298564e-07,2.571952872898464e-09
1830,1.0228098834552668e-07,0.0
1831,1.216114071667107e-07,7.795603274018958e-09
1832,1.5830064215016648e-07,0.0
1833,1.8997150164068444e-07,1.1583628500844156e-09
1834,1.6148738346544178e-07,3.733812370398937e-09
1835,1.459675971204888e-07,0.0
1836,1.7608365077137478e-07,0.0
1837,2.393514537679664e-07,0.0
1838,3.1687051738060745e-07,0.0
1839,1.9156641806183927e-07,0.0
1840,2.98101430651343e-07,6.369688665408546e-10
1841,2.343500264956333e-07,1.2841097074556274e-09
1842,3.723087123042035e-07,2.683306021822318e-09
1843,3.2428940516249227e-07,3.5441467538532834e-09
1844,3.397419479078678e-07,0.0
1845,4.107047688606258e-07,5.580227946389016e-10
1846,2.335946018838797e-07,0.0
1847,2.831442360573533e-07,5.393223645455691e-10
1848,2.3250690922571593e-07,8.045221711050488e-10
1849,2.0445773118993316e-07,0.0
1850,2.0095428698851947e-07,0.0
1851,3.418202654259517e-07,1.9348316282474798e-09
1852,3.0599562550470694e-07,6.510545436100301e-10
1853,3.362197522616128e-07,5.971931837933653e-10
1854,2.722528216203557e-07,5.195664454227256e-10
1855,4.537431159690186e-07,5.306937111981824e-10
1856,3.8311201677743156e-07,1.0354378465748937e-09
1857,3.617198096605989e-07,4.881509085841174e-10
1858,4.663673136562352e-07,4.893676019968041e-10
1859,3.630719465075316e-07,0.0
1860,3.8173714322908836e-07,9.154367819341758e-10
1861,3.654872033909129e-07,1.4147891747029462e-09
1862,3.858360253516935e-07,4.517986262886353e-10
1863,3.531196823836069e-07,4.994620828036034e-10
1864,2.6562792188045137e-07,1.9178911792039344e-09
1865,2.772331397782324e-07,1.4120533631256649e-09
1866,3.055605042323606e-07,4.865612912574591e-10
1867,3.11065210922834e-07,4.85281148598915e-10
1868,3.1516396692410353e-07,0.0
1869,2.944762167444992e-07,2.9301114867763545e-09
1870,3.5264401487822283e-07,2.8670243956696595e-09
1871,2.3685224626035506e-07,1.0621177271019633e-09
1872,2.376604317788633e-07,6.047339295989218e-10
1873,2.0472135897620092e-07,2.9930022904522957e-09
1874,2.557132585678801e-07,0.0
1875,2.9751939756295087e-07,0.0
1876,4.2140722644745665e-07,6.04601479992084e-10
1877,2.9934510159534966e-07,6.184815992682502e-10
1878,2.1619936996231104e-07,6.039088673581716e-10
1879,4.26430891486973e-07,9.163987790827832e-09
1880,2.4387814878679137e-07,6.417846254436199e-10
1881,3.1097384933787e-07,6.972507571312292e-10
1882,3.041511020818177e-07,1.3310770263785798e-09
1883,3.235501413456632e-07,6.319338941018771e-10
1884,2.3171956264889104e-07,1.9805090900604227e-09
1885,2.397776457385703e-07,3.2228177904158883e-09
1886,2.6652804674398567e-07,1.936039106809062e-09
1887,1.9456195854417047e-07,3.264462256069578e-09
1888,2.238236918028491e-07,6.340614699951175e-10
1889,2.1426767027321603e-07,6.265136742733546e-10
1890,2.3530247528213977e-07,1.3108772956016423e-09
1891,2.524191113906227e-07,0.0
1892,2.450988385582775e-07,6.268512375839919e-09
1893,2.432574608413063e-07,6.158416554491453e-10
1894,2.0290956914692515e-07,0.0
1895,2.1366081526252856e-07,6.018614495673091e-10
1896,2.293944323383812e-07,0.0
1897,2.528793618949976e-07,1.1653427112179315e-09
1898,2.438751076638823e-07,1.13167097914868e-09
1899,2.4321345648559145e-07,3.3165470370022376e-09
1900,1.957027071508577e-07,0.0
1901,2.0622446017526386e-07,1.676621730339889e-09
1902,2.2734614191222136e-07,9.820567692386817e-10
1903,2.2896934304128536e-07,1.6200660812870638e-09
1904,2.1229770030828377e-07,1.0749250378694342e-09
1905,2.3016985428725434e-07,5.160759042333041e-10
1906,2.6595433677556457e-07,0.0
1907,2.658849984626954e-07,2.5714217422034835e-09
1908,2.927188018642113e-07,0.0
1909,3.185069479272329e-07,2.7504918342913243e-09
1910,3.2866527099884024e-07,0.0
1911,3.133700463564537e-07,2.128149656499545e-09
1912,2.2504699614955825e-07,0.0
1913,2.66740393328746e-07,0.0
1914,2.544762605083406e-07,0.0
1915,1.2487607370381681e-07,0.0
1916,1.42837009775576e-07,4.394984820521586e-09
1917,1.9958893116012177e-07,2.1932848870420685e-09
1918,1.5736335345906127e-07,1.1486376294556067e-09
1919,2.532158372425819e-07,4.603924352863942e-09
1920,3.23334292673394e-07,4.543339038320937e-09
1921,3.3925909015408706e-07,7.572747429129834e-10
1922,3.65945614255736e-07,0.0
1923,3.853589203295371e-07,0.0
1924,3.429171959723476e-07,0.0
1925,3.4644261237559704e-07,1.0998177923937646e-09
1926,3.867710056670859e-07,0.0
1927,4.2590039228684873e-07,0.0
1928,3.519220594938588e-07,0.0
1929,3.4201047327542256e-07,0.0
1930,2.6784188733586234e-07,0.0
1931,2.3609087573817078e-07,1.1405356659111021e-09
1932,2.454936329776558e-07,1.0959536611565568e-09
1933,2.695605538782786e-07,0.0
1934,2.647929271404337e-07,2.3963160344919743e-09
1935,3.710168012815984e-07,2.393656828303392e-09
1936,2.2794462894992762e-07,0.0
1937,2.3923124947700103e-07,1.2591118148108649e-09
1938,2.839382003960722e-07,0.0
1939,2.645870837980624e-07,0.0
1940,1.7750480996170381e-07,0.0
1941,2.243141921098868e-07,2.9515025978810172e-09
1942,2.8521589978680595e-07,0.0
1943,2.9322676287080185e-07,2.9032352077962287e-09
1944,3.0203948853113616e-07,0.0
1945,2.5706346473697295e-07,0.0
1946,3.1183273740964523e-07,0.0
1947,3.421289900273905e-07,0.0
1948,2.739715618815808e-07,0.0
1949,2.660409190724522e-07,0.0
1950,3.265056118806342e-07,0.0
1951,3.05982237325253e-07,0.0
1952,3.4797851666823476e-07,2.1089607837865287e-09
1953,3.0166717324142667e-07,0.0
1954,3.772198811091698e-07,9.772536113672459e-10
1955,4.035811329572425e-07,0.0
1956,4.255916952189409e-07,1.744228317335228e-09
1957,3.180613470377125e-07,0.0
1958,4.0285825697594646e-07,0.0
1959,3.4413319216497484e-07,3.8753737996444215e-09
1960,3.4742583387981085e-07,0.0
1961,3.918761866117393e-07,0.0
1962,3.938355019883488e-07,1.2683912808952869e-09
1963,3.6533200020727463e-07,5.819448034571906e-09
1964,3.7112205886202787e-07,2.4335873316516654e-09
1965,3.819486380507442e-07,0.0
1966,3.6557894489419596e-07,0.0
1967,3.594214614821567e-07,9.860671168482327e-10
1968,4.3117590919905524e-07,4.4914158503495116e-10
1969,3.46081932001141e-07,4.5417578031781147e-10
1970,3.3294770318548217e-07,3.219107425067591e-09
1971,3.370788750345355e-07,5.138397485282553e-10
1972,3.2166022068125244e-07,1.0260293725750103e-09
1973,2.8282736064255687e-07,0.0
