year,anciens_ADJ arrêts_NOUN,anciens_ADJ marais_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,9.524730337773235e-09,3.095537381980762e-08
1802,1.1189200677108602e-08,2.0140561218795483e-08
1803,4.290746247193056e-08,1.950339267864365e-08
1804,1.9774807569206132e-08,2.2246657849223084e-08
1805,3.4114531644036106e-08,5.685755422035754e-09
1806,2.881669125542885e-08,1.152667650217154e-08
1807,1.3380689267705748e-07,8.540865792383556e-09
1808,1.540930298915555e-07,1.8128591960930862e-08
1809,1.2650571079575457e-07,0.0
1810,9.126494404654295e-08,1.6380887757350138e-08
1811,6.016983888912364e-08,7.521229861140455e-09
1812,2.453831484672264e-07,2.1337665856435706e-08
1813,1.8692320225000003e-07,6.039057609541487e-08
1814,4.72001566720337e-08,0.0
1815,8.90083740046066e-08,0.0
1816,6.721051448721482e-08,2.3176038865813098e-09
1817,4.826307531402563e-08,2.3353100786493997e-08
1818,5.841376893300776e-08,2.026600220972341e-08
1819,1.1800197141642599e-07,1.1386155129855524e-08
1820,5.577246042776096e-08,2.4919611263385377e-08
1821,1.2228245793721726e-07,1.577838126820552e-08
1822,7.719724237631453e-08,3.0076847679083585e-09
1823,1.0080340473450633e-07,2.9648061783404955e-09
1824,1.6505380528997193e-07,8.421112696055388e-09
1825,1.012625929774913e-07,2.0252519661312363e-08
1826,2.166764119237996e-07,1.6735169694470642e-08
1827,2.5439672413085646e-07,1.935627302884768e-08
1828,2.595761353640924e-07,1.1006761724274838e-08
1829,2.2547453681909246e-07,1.1145129263923081e-08
1830,1.9621250690882164e-07,9.39315203396518e-09
1831,9.510635834431014e-08,2.8064171431196883e-08
1832,1.7453660294819429e-07,9.470978667991403e-09
1833,1.4942880766088962e-07,1.7375443306377747e-08
1834,1.250827199594795e-07,1.773560920348416e-08
1835,8.697551123759695e-08,1.663879345414898e-08
1836,6.317505202302343e-08,2.755507466645213e-08
1837,9.045258486661822e-08,1.8090515752078318e-08
1838,7.195864304421207e-08,2.4617431648721322e-08
1839,7.830452375401364e-08,3.705481788074394e-08
1840,8.153201180860492e-08,4.649872664685972e-08
1841,6.805781538332667e-08,3.5955071808757566e-08
1842,8.586579181013576e-08,1.475818312002275e-08
1843,6.615740488769006e-08,3.6622846977252266e-08
1844,9.934295741587107e-08,1.6465683927435748e-08
1845,1.3783163410607813e-07,3.2923345827384765e-08
1846,9.894107222407911e-08,1.8734404250153602e-08
1847,1.1002176325547453e-07,3.020205241455187e-08
1848,6.597081636527946e-08,2.735375304041554e-08
1849,7.373885324568619e-08,3.6869426622843093e-08
1850,1.3917441599176072e-07,3.394497838371535e-08
1851,5.159551053068867e-08,1.4188765717904062e-08
1852,1.3411722932232806e-07,2.669323606596663e-08
1853,1.42131971525572e-07,3.4040009921909586e-08
1854,7.63762670885626e-08,2.7017454939937124e-08
1855,1.0189318899733735e-07,6.315255518529739e-08
1856,8.594134087713812e-08,2.6403665032148638e-08
1857,8.493825864874793e-08,4.3445432140742923e-08
1858,5.0894229275399994e-08,2.4468379322684086e-08
1859,9.878816120689748e-08,2.0877910955618972e-08
1860,3.707519011242333e-08,1.9224172476128842e-08
1861,4.008569121083383e-08,5.1875602480322414e-08
1862,1.0526908056363027e-07,1.8071945717679228e-08
1863,6.293222432063317e-08,2.6471489888990618e-08
1864,2.7809422320501653e-08,2.349416661218129e-08
1865,4.8480496728231515e-08,3.7654753981541944e-08
1866,4.816956666875427e-08,3.5518972651971126e-08
1867,3.299911632836938e-08,3.591080499631971e-08
1868,4.4952855660085334e-08,3.1615194018286275e-08
1869,3.613804011592947e-08,2.9789467559382388e-08
1870,4.243196016773254e-08,4.4152174805134337e-08
1871,4.991953161948004e-08,2.549082545044712e-08
1872,4.354084115476553e-08,1.9956219787786722e-08
1873,4.42964314117944e-08,3.05286218527101e-08
1874,7.647499700169647e-08,3.1067965977626955e-08
1875,5.2065896483100005e-08,2.7463329388410784e-08
1876,3.627608791134662e-08,3.3253080289341597e-08
1877,7.978412697173809e-08,5.6281827198745304e-08
1878,4.7104890654736664e-08,2.294853729267743e-08
1879,6.536978247595471e-08,6.59807142255886e-08
1880,5.904418642899145e-08,2.5671385017744797e-08
1881,5.856906426515707e-08,3.69542902944886e-08
1882,8.452339339548587e-08,3.8601232432711186e-08
1883,3.981183382961717e-08,4.107570461542309e-08
1884,4.5551708183211304e-08,6.007544328667791e-08
1885,8.443783100497981e-08,4.7053141827291256e-08
1886,6.130790808356323e-08,4.58195934527339e-08
1887,4.374379614091595e-08,3.264462478114183e-08
1888,6.911269734288794e-08,2.599652049184442e-08
1889,4.448246926358479e-08,2.8819629349641218e-08
1890,5.636772471007134e-08,1.8352282360467598e-08
1891,5.864282570655632e-08,2.8683990294098294e-08
1892,6.331197255349252e-08,4.576013878931917e-08
1893,5.542574754713314e-08,6.035248389935077e-08
1894,5.1672621736997826e-08,2.457600345451283e-08
1895,3.4306101071024386e-08,2.046328972937772e-08
1896,7.253345613023043e-08,2.5357223876198987e-08
1897,2.7385553380554484e-08,4.4865694825979574e-08
1898,3.960848360406999e-08,6.28077415631978e-08
1899,3.3165470370022376e-08,2.3768587098516036e-08
1900,3.945200244270808e-08,4.983411017178696e-08
1901,2.2913829056392387e-08,2.1237207548097103e-08
1902,2.1114219705964388e-08,1.915010727771005e-08
1903,3.0241231741001684e-08,2.8081145186931167e-08
1904,3.3860139581065596e-08,3.439760210000031e-08
1905,2.6835946798087207e-08,3.612531429553201e-08
1906,3.446603713541663e-08,4.012463905578301e-08
1907,2.0057088434555226e-08,2.931420683971453e-08
1908,4.7640472899956876e-08,3.437972395659017e-08
1909,3.795678793494517e-08,2.3104130164597336e-08
1910,5.451033757708501e-08,3.153048999671171e-08
1911,1.649315961582687e-08,4.735132819178034e-08
1912,2.8651816363911564e-08,2.5526164293410147e-08
1913,1.6969567084856862e-08,3.075734156254839e-08
1914,3.4823067096567684e-08,3.817143784390353e-08
1915,2.4739600590351074e-08,3.534228554258334e-08
1916,2.7468654906215306e-08,1.8678685265172135e-08
1917,1.0966424213165737e-08,8.773139548168274e-09
1918,1.2635013924011673e-08,3.101321510712296e-08
1919,2.8544329566670967e-08,1.1970202606903513e-08
1920,2.6502810612782923e-08,9.086678076641874e-09
1921,3.1048266180278006e-08,2.0446417892117097e-08
1922,2.4347187099760248e-08,2.4347187377316004e-08
1923,2.653987074552333e-08,1.3800733000834953e-08
1924,3.351822286390416e-08,2.191576153887098e-08
1925,1.6497267552040284e-08,1.4297631523163545e-08
1926,1.89484357093761e-08,2.3406890647947876e-08
1927,2.5643217327342427e-08,2.5643217327342427e-08
1928,3.085031252680892e-08,3.770593770546782e-08
1929,1.7824650200282122e-08,2.785101571589621e-08
1930,3.151081173768944e-08,2.7309368988426286e-08
