year,devons_VERB être_VERB,devons_VERB etre_VERB,devons_VERB mettre_VERB
1800,7.640319950041885e-07,0.0,5.973912209356058e-08
1801,8.548445293854456e-07,2.3811825844433088e-09,7.857902772911984e-08
1802,6.489736392722989e-07,0.0,1.3427040812530322e-08
1803,7.040724767648499e-07,5.851017448321727e-09,7.606323038089613e-08
1804,7.390834184661799e-07,2.4718509461507665e-09,5.6852570651244605e-08
1805,7.192480779849575e-07,1.1371510844071508e-08,1.449867568226182e-07
1806,6.829556014054106e-07,0.0,1.2679343797117326e-07
1807,4.98217161748471e-07,2.8469551160981155e-09,5.97860605466849e-08
1808,5.665185085490521e-07,0.0,1.0197332755979005e-07
1809,5.57980513349321e-07,2.259030518203531e-09,6.777091243748146e-08
1810,1.055397206073394e-06,0.0,1.778496283577624e-07
1811,3.860898232233012e-07,0.0,6.267691787797958e-08
1812,6.801381005061558e-07,0.0,6.13457871168066e-08
1813,4.6299439304675616e-07,0.0,1.2653262615458516e-07
1814,6.576555051651667e-07,3.1466771410748606e-09,1.6362720600682223e-07
1815,7.255531500049983e-07,0.0,1.7531952778426785e-07
1816,1.0429217809360125e-06,2.3176038865813098e-09,9.502176112619054e-08
1817,7.7220920502441e-07,3.113746815941454e-09,6.85024303948012e-08
1818,7.975267521942442e-07,1.1921177378582115e-09,7.033494853203592e-08
1819,7.473458367712738e-07,1.035105001712111e-09,1.1489665752151268e-07
1820,6.574030635420058e-07,1.1866481131050932e-09,8.662531314485022e-08
1821,1.1025143749066046e-06,9.86148829262845e-10,1.2425475404143072e-07
1822,9.985512861021562e-07,0.0,1.4637399203820678e-07
1823,8.340987847077486e-07,9.882686891060644e-10,8.993244904331732e-08
1824,6.863206749585515e-07,0.0,8.757957203897604e-08
1825,7.150019882828929e-07,0.0,1.5057307223287353e-07
1826,6.447444320656359e-07,0.0,1.2066938381849468e-07
1827,7.134169095479592e-07,9.217273055917019e-10,1.511632774509053e-07
1828,7.51211473470903e-07,2.7516904310687096e-09,8.805409379419871e-08
1829,6.60991872791783e-07,0.0,1.1916714726112332e-07
1830,7.504085033360752e-07,2.0873671680021744e-09,8.975678866818271e-08
1831,6.969269179535331e-07,0.0,1.091384405071949e-07
1832,7.373833454948908e-07,0.0,1.3259369779916597e-07
1833,7.598860065627377e-07,1.1583628500844156e-09,7.876867158529421e-08
1834,9.054494967131177e-07,0.0,1.157481861469023e-07
1835,9.945460988092236e-07,3.025235173481633e-09,2.2689263801112247e-07
1836,9.462816024097265e-07,0.0,1.2433388008048496e-07
1837,8.537332405467168e-07,2.7831563720326358e-09,1.3637466622640204e-07
1838,6.526775564452691e-07,6.312161904276081e-10,1.0541310047074148e-07
1839,6.138515118436771e-07,6.9914751765765e-10,1.1885507689157748e-07
1840,8.892085361367208e-07,1.2739377330817092e-09,1.1592833715212691e-07
1841,7.890853908065765e-07,1.926164561183441e-09,1.643660425543203e-07
1842,9.056157637132856e-07,6.708265054555795e-10,1.1739464156335089e-07
1843,8.736321319702256e-07,5.906911071384968e-10,1.3704033108297153e-07
1844,9.429348324374587e-07,5.488561272137815e-10,1.5422857302382909e-07
1845,1.1099073162768036e-06,2.2320911785556063e-09,1.361575669989179e-07
1846,8.811024372334941e-07,1.7563503984519002e-09,1.3465353276842507e-07
1847,6.245352892619849e-07,1.0786447290911383e-09,1.3536991616547311e-07
1848,8.077402640083164e-07,8.045221711050488e-10,1.0700144770225961e-07
1849,7.281711305040517e-07,0.0,1.8015741432009236e-07
1850,6.626059985137545e-07,1.3577992064028876e-09,8.350465208195601e-08
1851,6.417191684704449e-07,1.2898877521649865e-09,1.186696749755356e-07
1852,7.70197516430926e-07,6.510545436100301e-10,1.2955985084772692e-07
1853,8.557778414797212e-07,0.0,1.0570319375347026e-07
