year,vrais_ADJ êtres_NOUN,vrais_ADJ maîtres_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,3.8098922461315965e-08
1802,2.2378401354217203e-09,2.4616241489638924e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,9.887403784603066e-09
1805,0.0,2.2743021688143017e-08
1806,0.0,3.458002950651462e-08
1807,5.693910232196231e-09,1.1387820109121094e-07
1808,0.0,5.211970233176544e-08
1809,0.0,4.518061036407062e-09
1810,0.0,7.020380277111826e-09
1811,0.0,1.504245972228091e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,3.776012391654149e-08
1815,0.0,0.0
1816,0.0,1.3905623319487859e-08
1817,0.0,8.874178547557676e-08
1818,0.0,3.695565098382758e-08
1819,0.0,8.487860725381324e-08
1820,0.0,1.542642635854463e-08
1821,0.0,3.944595405869222e-08
1822,1.0025615893027862e-09,2.2056354964661296e-08
1823,9.882686669016039e-09,4.249555374258307e-08
1824,0.0,2.189489300974401e-08
1825,0.0,2.201360693732113e-08
1826,0.0,3.435113882233054e-08
1827,0.0,2.3964910056406552e-08
1828,0.0,4.035812395386529e-08
1829,0.0,1.457439946506156e-08
1830,0.0,2.400472176589119e-08
1831,0.0,3.274153215215847e-08
1832,1.3529969367098715e-09,3.6530916958099624e-08
1833,0.0,4.6334514003376626e-09
1834,9.334530925997342e-10,3.453776287187793e-08
1835,0.0,2.7983425354705105e-08
1836,0.0,1.8818100855355624e-08
1837,3.478945576063097e-09,2.6439986200443855e-08
1838,0.0,4.9234863297442644e-08
1839,0.0,2.7965899818127582e-08
1840,0.0,2.8026629905752998e-08
1841,0.0,1.4767261191650505e-08
1842,3.3541325272778977e-09,2.884553929050071e-08
1843,4.134837805480629e-09,3.721353891705803e-08
1844,0.0,4.50062032086862e-08
1845,1.1160455892778032e-09,3.459741293454499e-08
1846,3.5127007969038004e-09,4.2152407786488766e-08
1847,7.011190739092399e-09,2.7505439703645607e-08
1848,0.0,3.218088551193432e-08
1849,0.0,7.373885324568619e-08
1850,2.0366988096043315e-09,2.7155984128057753e-08
1851,3.8696632564949596e-09,6.642921590582773e-08
1852,0.0,6.640756566866912e-08
1853,1.1943863675867306e-09,4.001194398028929e-08
1854,5.195664454227256e-10,4.9878380536938494e-08
1855,1.5920811335945473e-09,7.111295730055645e-08
1856,6.73034605824796e-09,4.814786080942213e-08
1857,1.9526036343364694e-09,4.78387889302212e-08
1858,1.9574704079872163e-09,8.270312434888183e-08
1859,2.036869339860914e-09,7.129042933762264e-08
1860,0.0,7.781212474355925e-08
1861,4.2443675241088386e-09,9.101810150013989e-08
1862,1.3553959066214816e-09,4.698705780015189e-08
1863,2.4973103585068657e-09,7.891500786172401e-08
1864,0.0,1.2130661131148912e-07
1865,1.4120533631256649e-09,7.107334965006373e-08
1866,1.9462451650298362e-09,6.033359767343427e-08
1867,0.0,8.346835755901338e-08
1868,0.0,9.583355620179645e-08
1869,0.0,1.0206554890146435e-07
