year,tes_DET archers_NOUN,tes_DET marchés_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,7.143547753329926e-09
1802,0.0,0.0
1803,0.0,7.801356671777171e-09
1804,0.0,0.0
1805,0.0,1.1371511021707192e-07
1806,0.0,1.152667650217154e-08
1807,0.0,1.9928686700865228e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,3.5763532135746345e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,1.542642635854463e-08
1821,0.0,2.2681423739179252e-08
1822,0.0,2.5064039732569654e-08
1823,0.0,0.0
1824,0.0,1.6842225392110777e-09
1825,0.0,6.163809906922779e-09
1826,0.0,1.6735169694470642e-08
1827,0.0,9.217273055917019e-10
1828,0.0,2.0179061976932644e-08
1829,8.57317605795771e-10,6.858540846366168e-09
1830,0.0,2.6092090266160994e-08
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,0.0,1.0823975493678972e-08
1833,0.0,4.6334514003376626e-09
1834,9.334531370086552e-09,4.667265685043276e-09
1835,0.0,4.5378527602224494e-09
1836,0.0,1.8146025126952736e-08
1837,6.957890930081589e-10,7.653680356156656e-09
1838,6.943378316748294e-09,7.574594285131298e-09
1839,0.0,6.292327547896548e-09
1840,0.0,5.732719632334238e-09
1841,0.0,1.7977535904378783e-08
1842,0.0,1.475818312002275e-08
1843,0.0,1.4176587015413133e-08
1844,5.488561272137815e-10,2.7442805805577564e-09
1845,0.0,5.580227835366713e-09
1846,0.0,2.9272506640865004e-09
1847,0.0,1.77976389181822e-08
1848,0.0,2.413566457803995e-09
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,0.0,8.82569484161877e-09
1851,0.0,2.579775504329973e-09
1852,0.0,2.7344290387532055e-08
1853,0.0,8.957897534855874e-09
1854,0.0,1.0910895298366086e-08
1855,5.306937111981824e-10,8.491099379170919e-09
1856,0.0,3.1063134287023786e-09
1857,0.0,8.78671624349181e-09
1858,9.787352039936081e-10,8.808616946964776e-09
1859,0.0,6.619825576592575e-09
1860,0.0,6.408057640072684e-09
1861,0.0,1.226150558863992e-08
1862,0.0,1.445755604123633e-08
1863,0.0,1.0988165932701577e-08
1864,0.0,6.712618905169165e-09
1865,0.0,6.589582213223366e-09
