year,mes_DET airs_NOUN,mes_DET mères_NOUN
1800,9.432493452976587e-09,0.0
1801,3.333655596016172e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,5.19088700912107e-08,0.0
1805,1.7057266488151868e-08,0.0
1806,8.068673551520078e-08,0.0
1807,0.0,0.0
1808,6.798222074166915e-08,2.2660739951163578e-09
1809,1.1295152813062259e-08,0.0
1810,6.552354792077608e-08,4.680253518074551e-09
1811,5.515568801683912e-08,0.0
1812,1.0668832928217853e-08,8.00162425207418e-09
1813,4.313612333994854e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.8540831092650478e-08,2.3176038865813098e-09
1817,1.5568733857662664e-08,1.556873407970727e-09
1818,0.0,1.1921177378582115e-09
1819,4.140420006848444e-09,4.140420006848444e-09
1820,3.678609061807947e-08,2.3732962262101864e-09
1821,2.465372084259343e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,2.9648061450338048e-08,0.0
1824,2.6105450245950124e-08,0.0
1825,1.496925317034936e-08,2.641632912414593e-09
1826,1.76159691278599e-08,3.5231937367541377e-09
1827,1.3825909916942436e-08,1.935627302884768e-08
1828,2.2013523448549677e-08,1.8344602503717056e-09
1829,2.0575622983187714e-08,3.429270423183084e-09
1830,2.2961039292113128e-08,0.0
1831,9.354723218280014e-09,0.0
1832,2.5706942574643676e-08,1.3529969367098715e-09
1833,2.548398292390175e-08,1.1583628833911064e-08
1834,5.600718555598405e-09,9.334530925997342e-10
1835,1.663879345414898e-08,4.5378527602224494e-09
1836,2.419469957715137e-08,4.032449929525228e-09
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,1.7042836475411605e-08,7.574594285131298e-09
1839,6.9914749545318955e-09,7.690622472189546e-09
1840,3.184844388215424e-08,8.280594876453051e-09
1841,1.733548060656176e-08,1.2841097074556274e-09
1842,7.379091560011375e-09,0.0
1843,2.4218335781256428e-08,8.860366662588604e-09
1844,4.390849017710252e-09,1.097712254427563e-09
1845,1.0602432709561072e-08,0.0
1846,9.367202125076801e-09,1.7563503984519002e-09
1847,6.47186837454683e-09,1.4561703842730367e-08
1848,1.528592186161859e-08,4.02261068899179e-09
1849,6.703531951757213e-09,1.508294644736452e-08
1850,2.1045888587423178e-08,0.0
1851,5.804494884742439e-09,5.8044946626978344e-09
1852,1.3021090872200602e-08,6.510545436100301e-10
1853,2.20961471342207e-08,9.555090940693844e-09
1854,3.013485283531736e-08,4.1565315633818045e-09
1855,2.812676669350367e-08,5.306937111981824e-10
1856,2.8992259260007813e-08,4.141751386299575e-09
1857,1.6597130780837688e-08,1.1227471008457002e-08
1858,7.829881809584549e-08,9.297984437939277e-09
1859,3.360834455179429e-08,1.7313389832906978e-08
