year,leurs_DET yeux_NOUN
1800,1.0740466251490943e-05
1801,1.024384789616306e-05
1802,7.946570548256204e-06
1803,1.0498676260795037e-05
1804,1.033728096899722e-05
1805,1.027984586698949e-05
1806,7.451996168583719e-06
1807,8.02271915745223e-06
1808,8.926065618197754e-06
1809,8.376485482131102e-06
1810,9.985320929217778e-06
1811,6.721472885828916e-06
1812,7.113444510764566e-06
1813,8.31376901544445e-06
1814,9.156830358847401e-06
1815,8.072789967172866e-06
1816,8.790671245151316e-06
1817,1.0283148526468722e-05
1818,9.175729900334773e-06
1819,9.754829648045416e-06
1820,9.826632734188934e-06
1821,9.192879701913625e-06
1822,8.40748123209778e-06
1823,8.466498243819842e-06
1824,9.613542275133113e-06
1825,9.519564883930798e-06
1826,8.734877809501995e-06
1827,7.2798020767095295e-06
1828,9.146618481281621e-06
1829,9.318184652329364e-06
1830,8.576992001962935e-06
1831,7.870440725810113e-06
1832,8.343931952481398e-06
1833,9.226359793501615e-06
1834,8.95181514692922e-06
1835,9.263270442261273e-06
1836,8.980266670732817e-06
1837,8.490018785778375e-06
1838,8.090298337037893e-06
1839,8.287694811315305e-06
1840,8.452577262119121e-06
1841,8.721030951619468e-06
1842,8.422227054438736e-06
1843,9.030485969674373e-06
1844,9.118695260212917e-06
1845,8.36811022963957e-06
1846,8.638316558062797e-06
1847,8.179363419458241e-06
1848,7.890753423112074e-06
1849,7.73168618195541e-06
1850,7.745565369532414e-06
1851,7.294960269632611e-06
1852,7.82242054242488e-06
1853,8.30158214171206e-06
1854,8.458021838464447e-06
1855,8.224160481518084e-06
1856,8.066578587317963e-06
1857,7.992007056145667e-06
1858,8.165587900066384e-06
1859,8.537028293176263e-06
1860,8.88797563902699e-06
1861,8.756129787457212e-06
1862,7.839158200795282e-06
1863,8.164207002891999e-06
1864,8.509203453854752e-06
1865,8.362179642062983e-06
1866,8.004906277392365e-06
1867,7.3918024128261095e-06
1868,7.550103731546187e-06
1869,7.761376906501027e-06
1870,7.282815261078213e-06
1871,7.0811388184210955e-06
1872,7.467859489906914e-06
1873,7.043133066986229e-06
1874,6.366543686908699e-06
1875,6.796029879296839e-06
1876,6.749166416852859e-06
1877,6.6536250500348615e-06
1878,6.413512053882187e-06
1879,6.677492692119813e-06
1880,6.399876184559616e-06
1881,6.363110401252925e-06
1882,6.184849425494576e-06
1883,5.791674183797113e-06
1884,6.037912243073151e-06
1885,5.879709007672318e-06
1886,5.900402200609278e-06
1887,5.84534640779566e-06
1888,5.872677220963851e-06
1889,6.139834027862889e-06
1890,5.6479147900745374e-06
1891,5.562781623780211e-06
1892,5.774553642368119e-06
1893,5.517325249115856e-06
1894,5.934159446496778e-06
1895,5.800740495942591e-06
1896,5.898208428334328e-06
1897,6.150679041638796e-06
1898,5.574045587763976e-06
1899,5.669084544024372e-06
1900,5.670706372029599e-06
