year,soixante - dix auteurs
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.490148087730404e-09
1809,7.412877423007558e-09
1810,5.1285806712542126e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,1.1653853881909981e-08
1821,0.0
1822,8.771809945073983e-09
1823,0.0
1824,4.5937693649023e-09
1825,4.805352116221684e-09
1826,2.883177252499536e-09
1827,0.0
1828,0.0
1829,0.0
1830,1.141392091952298e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,5.809723813143819e-09
1836,0.0
1837,3.036395135325165e-09
1838,6.882243108741193e-10
1839,0.0
1840,6.958539300327971e-10
1841,0.0
1842,0.0
1843,0.0
1844,1.19679477439405e-09
1845,0.0
1846,1.2813209382400714e-09
1847,0.0
1848,9.689918201161163e-09
1849,7.339369112457916e-09
1850,0.0
1851,0.0
1852,7.133532098357875e-10
1853,0.0
1854,2.8415918507107563e-09
1855,0.0
1856,2.2684560896379935e-09
1857,0.0
1858,4.28879021185935e-09
1859,0.0
1860,1.0035964281840393e-09
1861,5.163843797006962e-10
1862,4.951085097459895e-10
1863,0.0
1864,2.0998158767326913e-09
1865,0.0
1866,0.0
1867,5.323331775386464e-10
1868,7.57387574878976e-09
1869,0.0
1870,2.513315333629862e-09
1871,0.0
1872,0.0
1873,6.560424425927636e-10
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,7.27484239515519e-10
1885,0.0
1886,0.0
1887,7.20262405273786e-10
1888,0.0
1889,6.91406210062695e-10
1890,0.0
1891,0.0
1892,0.0
1893,6.792941764643956e-10
1894,0.0
1895,6.64195753952157e-10
1896,0.0
1897,0.0
1898,6.242592553995507e-10
1899,0.0
1900,5.736004449197196e-10
1901,1.8502037679724026e-09
1902,0.0
1903,0.0
1904,5.93522675451652e-10
1905,0.0
1906,0.0
1907,0.0
1908,2.7124322787841493e-09
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,5.851100159937062e-10
1914,1.4773187118066744e-09
1915,0.0
1916,0.0
1917,0.0
1918,1.2637696444883773e-09
1919,0.0
1920,3.3373506180822687e-09
1921,0.0
1922,0.0
1923,0.0
1924,2.849811275851266e-09
1925,1.2185186193391928e-09
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,6.064410307260459e-09
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,5.579036344016686e-09
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,1.2032065344058651e-09
1949,0.0
1950,2.35255281921809e-09
1951,4.719623802884598e-09
1952,1.1680282296921973e-09
1953,5.954130521956813e-09
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,1.5306731437902954e-09
1961,9.201754913590321e-09
1962,1.3988515901175447e-09
1963,4.992528168656918e-09
1964,2.6845252687479615e-09
1965,2.413545363566527e-09
1966,6.110574823914305e-10
1967,5.43188660717675e-10
1968,0.0
1969,1.4978221996031493e-09
1970,1.5173632350595767e-09
1971,1.6998997764972046e-09
1972,5.65300417587622e-10
1973,6.093281434971232e-10
1974,3.1096449859546738e-09
1975,1.8946701985100844e-09
1976,6.311368094813474e-10
1977,0.0
1978,1.9630408409909705e-09
1979,1.2882890310095263e-09
1980,6.261667295781592e-10
1981,6.962825871426048e-10
1982,4.091228689162563e-09
1983,2.082579442230781e-09
1984,5.731318530877161e-09
1985,5.947572212505747e-09
1986,1.316708742038486e-09
1987,4.02820798939274e-09
1988,6.5858136721885785e-09
1989,8.438929555154573e-09
1990,2.3879982435914826e-09
1991,4.50094761461628e-09
1992,4.828028643544258e-09
1993,1.8198214046805106e-09
1994,5.196032937249129e-09
1995,1.1857715920271517e-09
1996,8.166944454046643e-09
1997,7.851360450672473e-09
1998,4.162048039546562e-09
1999,7.477714447645667e-09
2000,2.8904114657279933e-09
2001,4.29972013549218e-09
2002,5.250680779056438e-09
2003,4.084139249016516e-09
2004,1.9186614519384193e-09
2005,3.433454853762896e-09
2006,7.62861152026062e-09
2007,3.4904192869333883e-09
2008,5.113721890381839e-09
2009,1.564709029011624e-09
2010,3.1061175853608347e-09
2011,1.258927961877987e-09
2012,1.4998260411402953e-09
2013,2.4641555462778797e-09
2014,1.1975775926487131e-09
2015,1.4708498863313935e-09
2016,1.3754928307463388e-09
2017,1.3945099519574455e-09
2018,5.72998759551524e-10
2019,1.1330004712206687e-09
